## Photon energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 10 cm x 10 cm at an SSD of 100 cm 
##   10MV-FFF   ## Flattening-Filter-Free 
# E(MeV)   I(a.u.) 
0.000e+00 7.367e-07
5.000e-02 1.151e-04
1.000e-01 6.109e-05
1.500e-01 6.017e-04
2.000e-01 2.767e-03
2.500e-01 5.336e-03
3.000e-01 6.954e-03
3.500e-01 7.678e-03
4.000e-01 7.845e-03
4.500e-01 7.730e-03
5.000e-01 7.881e-03
5.500e-01 7.138e-03
6.000e-01 6.816e-03
6.500e-01 6.495e-03
7.000e-01 6.193e-03
7.500e-01 5.909e-03
8.000e-01 5.611e-03
8.500e-01 5.368e-03
9.000e-01 5.135e-03
9.500e-01 4.910e-03
1.000e+00 4.705e-03
1.050e+00 4.508e-03
1.100e+00 4.328e-03
1.150e+00 4.167e-03
1.200e+00 3.997e-03
1.250e+00 3.852e-03
1.300e+00 3.717e-03
1.350e+00 3.574e-03
1.400e+00 3.444e-03
1.450e+00 3.324e-03
1.500e+00 3.203e-03
1.550e+00 3.097e-03
1.600e+00 2.999e-03
1.650e+00 2.901e-03
1.700e+00 2.800e-03
1.750e+00 2.711e-03
1.800e+00 2.624e-03
1.850e+00 2.546e-03
1.900e+00 2.467e-03
1.950e+00 2.386e-03
2.000e+00 2.326e-03
2.050e+00 2.249e-03
2.100e+00 2.185e-03
2.150e+00 2.124e-03
2.200e+00 2.069e-03
2.250e+00 2.010e-03
2.300e+00 1.954e-03
2.350e+00 1.903e-03
2.400e+00 1.847e-03
2.450e+00 1.799e-03
2.500e+00 1.758e-03
2.550e+00 1.703e-03
2.600e+00 1.668e-03
2.650e+00 1.615e-03
2.700e+00 1.580e-03
2.750e+00 1.541e-03
2.800e+00 1.499e-03
2.850e+00 1.467e-03
2.900e+00 1.429e-03
2.950e+00 1.394e-03
3.000e+00 1.367e-03
3.050e+00 1.334e-03
3.100e+00 1.298e-03
3.150e+00 1.271e-03
3.200e+00 1.244e-03
