## Photon energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 10 cm x 10 cm at an SSD of 100 cm 
####   10MV   ####
# E(MeV)   I(a.u.) 
0.000e+00 5.271e-06
5.000e-02 6.778e-05
1.000e-01 2.849e-04
1.500e-01 5.095e-04
2.000e-01 6.947e-04
2.500e-01 8.213e-04
3.000e-01 9.108e-04
3.500e-01 9.617e-04
4.000e-01 9.977e-04
4.500e-01 1.029e-03
5.000e-01 1.221e-03
5.500e-01 1.020e-03
6.000e-01 1.028e-03
6.500e-01 1.026e-03
7.000e-01 1.025e-03
7.500e-01 1.018e-03
8.000e-01 1.016e-03
8.500e-01 1.009e-03
9.000e-01 1.002e-03
9.500e-01 9.980e-04
1.000e+00 9.869e-04
1.050e+00 9.747e-04
1.100e+00 9.672e-04
1.150e+00 9.585e-04
1.200e+00 9.464e-04
1.250e+00 9.332e-04
1.300e+00 9.221e-04
1.350e+00 9.098e-04
1.400e+00 8.941e-04
1.450e+00 8.789e-04
1.500e+00 8.639e-04
1.550e+00 8.514e-04
1.600e+00 8.421e-04
1.650e+00 8.248e-04
1.700e+00 8.100e-04
1.750e+00 7.958e-04
1.800e+00 7.820e-04
1.850e+00 7.655e-04
1.900e+00 7.521e-04
1.950e+00 7.389e-04
2.000e+00 7.254e-04
2.050e+00 7.120e-04
2.100e+00 6.982e-04
2.150e+00 6.835e-04
2.200e+00 6.718e-04
2.250e+00 6.608e-04
2.300e+00 6.454e-04
2.350e+00 6.377e-04
2.400e+00 6.230e-04
2.450e+00 6.115e-04
2.500e+00 5.979e-04
2.550e+00 5.874e-04
2.600e+00 5.748e-04
2.650e+00 5.642e-04
2.700e+00 5.545e-04
2.750e+00 5.437e-04
2.800e+00 5.331e-04
2.850e+00 5.219e-04
2.900e+00 5.130e-04
2.950e+00 5.033e-04
3.000e+00 4.937e-04
3.050e+00 4.837e-04
3.100e+00 4.772e-04
3.150e+00 4.634e-04
3.200e+00 4.591e-04
3.250e+00 4.489e-04
3.300e+00 4.408e-04
3.350e+00 4.349e-04
3.400e+00 4.263e-04
3.450e+00 4.171e-04
3.500e+00 4.098e-04
3.550e+00 4.018e-04
3.600e+00 3.948e-04
3.650e+00 3.866e-04
3.700e+00 3.803e-04
3.750e+00 3.739e-04
3.800e+00 3.658e-04
3.850e+00 3.600e-04
3.900e+00 3.540e-04
3.950e+00 3.472e-04
4.000e+00 3.403e-04
4.050e+00 3.340e-04
4.100e+00 3.310e-04
4.150e+00 3.241e-04
4.200e+00 3.174e-04
4.250e+00 3.116e-04
4.300e+00 3.088e-04
4.350e+00 3.000e-04
4.400e+00 2.973e-04
4.450e+00 2.896e-04
4.500e+00 2.854e-04
4.550e+00 2.807e-04
4.600e+00 2.761e-04
4.650e+00 2.719e-04
4.700e+00 2.666e-04
4.750e+00 2.629e-04
4.800e+00 2.590e-04
4.850e+00 2.550e-04
4.900e+00 2.498e-04
4.950e+00 2.444e-04
5.000e+00 2.418e-04
5.050e+00 2.369e-04
5.100e+00 2.342e-04
5.150e+00 2.306e-04
5.200e+00 2.274e-04
5.250e+00 2.219e-04
5.300e+00 2.194e-04
5.350e+00 2.157e-04
5.400e+00 2.125e-04
5.450e+00 2.070e-04
5.500e+00 2.043e-04
5.550e+00 2.024e-04
5.600e+00 1.973e-04
5.650e+00 1.949e-04
5.700e+00 1.918e-04
5.750e+00 1.881e-04
5.800e+00 1.869e-04
5.850e+00 1.824e-04
5.900e+00 1.797e-04
5.950e+00 1.755e-04
6.000e+00 1.714e-04
6.050e+00 1.700e-04
6.100e+00 1.685e-04
6.150e+00 1.653e-04
6.200e+00 1.621e-04
6.250e+00 1.611e-04
6.300e+00 1.579e-04
6.350e+00 1.538e-04
6.400e+00 1.525e-04
6.450e+00 1.493e-04
6.500e+00 1.466e-04
6.550e+00 1.445e-04
6.600e+00 1.437e-04
6.650e+00 1.400e-04
6.700e+00 1.374e-04
6.750e+00 1.353e-04
6.800e+00 1.339e-04
6.850e+00 1.312e-04
6.900e+00 1.281e-04
6.950e+00 1.266e-04
7.000e+00 1.247e-04
7.050e+00 1.223e-04
7.100e+00 1.205e-04
7.150e+00 1.193e-04
7.200e+00 1.164e-04
7.250e+00 1.142e-04
7.300e+00 1.117e-04
7.350e+00 1.109e-04
7.400e+00 1.087e-04
7.450e+00 1.059e-04
7.500e+00 1.041e-04
7.550e+00 1.022e-04
7.600e+00 1.008e-04
7.650e+00 9.978e-05
7.700e+00 9.748e-05
7.750e+00 9.619e-05
