# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.05 mm Rh + 1.2 mm Polycarbonate (Makrolon or Lexan)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 5.881e-192
1.750e-03 2.019e-75
2.250e-03 6.859e-35
2.750e-03 6.206e-17
3.250e-03 7.071e-44
3.750e-03 1.161e-32
4.250e-03 2.473e-21
4.750e-03 8.664e-14
5.250e-03 1.241e-08
5.750e-03 5.553e-05
6.250e-03 2.596e-02
6.750e-03 2.589e+00
7.250e-03 1.185e+02
7.750e-03 1.258e+03
8.250e-03 9.104e+04
8.750e-03 6.090e+04
9.250e-03 2.180e+05
9.750e-03 4.420e+06
1.025e-02 1.559e+06
1.075e-02 2.813e+06
1.125e-02 9.374e+06
1.175e-02 9.593e+06
1.225e-02 1.252e+07
1.275e-02 1.770e+07
1.325e-02 2.453e+07
1.375e-02 3.236e+07
1.425e-02 4.095e+07
1.475e-02 5.001e+07
1.525e-02 5.918e+07
1.575e-02 6.818e+07
1.625e-02 7.682e+07
1.675e-02 8.489e+07
1.725e-02 9.224e+07
1.775e-02 9.874e+07
1.825e-02 1.043e+08
1.875e-02 1.088e+08
1.925e-02 1.123e+08
1.975e-02 1.148e+08
2.025e-02 1.161e+08
2.075e-02 1.163e+08
2.125e-02 1.156e+08
2.175e-02 1.139e+08
2.225e-02 1.114e+08
2.275e-02 1.080e+08
2.325e-02 3.846e+06
2.375e-02 4.357e+06
2.425e-02 4.828e+06
2.475e-02 5.229e+06
2.525e-02 5.529e+06
2.575e-02 5.694e+06
2.625e-02 5.684e+06
2.675e-02 5.457e+06
2.725e-02 4.963e+06
2.775e-02 4.152e+06
2.825e-02 2.975e+06
2.875e-02 1.400e+06
