# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.05 mm Rh + 1.2 mm Polycarbonate (Makrolon or Lexan) + 620 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 1.529e-255
1.750e-03 2.079e-100
2.250e-03 4.723e-47
2.750e-03 1.012e-23
3.250e-03 1.727e-48
3.750e-03 1.045e-35
4.250e-03 1.912e-23
4.750e-03 2.616e-15
5.250e-03 9.205e-10
5.750e-03 7.635e-06
6.250e-03 5.522e-03
6.750e-03 7.566e-01
7.250e-03 4.385e+01
7.750e-03 5.571e+02
8.250e-03 4.629e+04
8.750e-03 3.451e+04
9.250e-03 1.347e+05
9.750e-03 2.927e+06
1.025e-02 1.091e+06
1.075e-02 2.061e+06
1.125e-02 7.131e+06
1.175e-02 7.534e+06
1.225e-02 1.010e+07
1.275e-02 1.462e+07
1.325e-02 2.067e+07
1.375e-02 2.773e+07
1.425e-02 3.561e+07
1.475e-02 4.407e+07
1.525e-02 5.272e+07
1.575e-02 6.129e+07
1.625e-02 6.962e+07
1.675e-02 7.750e+07
1.725e-02 8.476e+07
1.775e-02 9.128e+07
1.825e-02 9.693e+07
1.875e-02 1.016e+08
1.925e-02 1.054e+08
1.975e-02 1.081e+08
2.025e-02 1.097e+08
2.075e-02 1.102e+08
2.125e-02 1.098e+08
2.175e-02 1.084e+08
2.225e-02 1.063e+08
2.275e-02 1.033e+08
2.325e-02 3.683e+06
2.375e-02 4.180e+06
2.425e-02 4.639e+06
2.475e-02 5.032e+06
2.525e-02 5.329e+06
2.575e-02 5.496e+06
2.625e-02 5.493e+06
2.675e-02 5.280e+06
2.725e-02 4.808e+06
2.775e-02 4.026e+06
2.825e-02 2.888e+06
2.875e-02 1.361e+06
