# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: 0.63 mm Be + 0.05 mm Rh + 1.2 mm Polycarbonate (Makrolon or Lexan) + 670 mm Air Dry (Near Sea Level)

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.25	1.1387510131385115e-260
1.75	2.0083922576653554e-102
2.25	4.936488701177103e-48
2.75	2.869476403916157e-24
3.25	7.334660765933415e-49
3.75	5.937610510620726e-36
4.25	1.2917010324441593e-23
4.75	1.972256343284213e-15
5.25	7.463200453437729e-10
5.75	0.000006505871862704158
6.25	0.004874042236375195
6.75	0.6851744892940901
7.25	40.47053988843498
7.75	521.6889695158958
8.25	43834.75562205653
8.75	32960.080438485835
9.25	129520.44684931314
9.75	2831137.735029925
10.25	1060395.2607403032
10.75	2009893.5940783708
11.25	6975874.081620812
11.75	7388762.09105771
12.25	9927545.599103145
12.75	14393423.379062418
13.25	20382145.91980334
13.75	27387794.26634786
14.25	35216482.8516753
14.75	43623411.489940725
15.25	52234295.48361677
15.75	60765765.38791024
16.25	69069534.38896297
16.75	76933918.5221958
17.25	84188362.1661876
17.75	90699315.46179844
18.25	96356497.89252415
18.75	101084354.47980623
19.25	104837880.86634818
19.75	107596499.86667733
20.25	109211750.64636962
20.75	109723243.07599378
21.25	109313326.54945852
21.75	108014001.69118391
22.25	105862373.06989336
22.75	102904842.363341
23.25	3670097.3370442265
23.75	4166285.7629066473
24.25	4624087.368443088
24.75	5016648.503169623
25.25	5313360.968082212
25.75	5479855.14515342
26.25	5478337.40804538
26.75	5266329.004155883
27.25	4795754.540244101
27.75	4016038.692476703
28.25	2881227.8359683733
28.75	1357495.4584639485
