# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 65.01
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.05 mm Rh + 2.8 mm Polycarbonate (Makrolon or Lexan)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 1.751e-307
1.750e-03 3.287e-121
2.250e-03 6.981e-58
2.750e-03 1.835e-30
3.250e-03 8.428e-53
3.750e-03 4.477e-39
4.250e-03 2.865e-26
4.750e-03 8.497e-18
5.250e-03 4.966e-12
5.750e-03 5.829e-08
6.250e-03 5.386e-05
6.750e-03 8.816e-03
7.250e-03 5.854e-01
7.750e-03 8.216e+00
8.250e-03 7.409e+02
8.750e-03 5.845e+02
9.250e-03 2.396e+03
9.750e-03 5.407e+04
1.025e-02 2.019e+04
1.075e-02 3.818e+04
1.125e-02 1.356e+05
1.175e-02 1.434e+05
1.225e-02 1.943e+05
1.275e-02 2.856e+05
1.325e-02 4.108e+05
1.375e-02 5.598e+05
1.425e-02 7.289e+05
1.475e-02 9.131e+05
1.525e-02 1.104e+06
1.575e-02 1.294e+06
1.625e-02 1.482e+06
1.675e-02 1.662e+06
1.725e-02 1.830e+06
1.775e-02 1.984e+06
1.825e-02 2.119e+06
1.875e-02 2.234e+06
1.925e-02 2.328e+06
1.975e-02 2.400e+06
2.025e-02 2.445e+06
2.075e-02 2.464e+06
2.125e-02 2.463e+06
2.175e-02 2.441e+06
2.225e-02 2.399e+06
2.275e-02 2.338e+06
2.325e-02 8.362e+04
2.375e-02 9.518e+04
2.425e-02 1.059e+05
2.475e-02 1.152e+05
2.525e-02 1.224e+05
2.575e-02 1.266e+05
2.625e-02 1.269e+05
2.675e-02 1.224e+05
2.725e-02 1.119e+05
2.775e-02 9.408e+04
2.825e-02 6.779e+04
2.875e-02 3.202e+04
