# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 1.2 mm Polycarbonate (Makrolon or Lexan) + 620 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 3.780e-156
1.750e-03 2.483e-55
2.250e-03 1.212e-22
2.750e-03 7.014e-09
3.250e-03 1.361e-02
3.750e-03 9.181e+01
4.250e-03 1.704e+04
4.750e-03 4.523e+05
5.250e-03 3.857e+06
5.750e-03 1.646e+07
6.250e-03 4.503e+07
6.750e-03 9.195e+07
7.250e-03 2.154e+08
7.750e-03 2.261e+08
8.250e-03 2.592e+09
8.750e-03 3.920e+08
9.250e-03 4.202e+08
9.750e-03 3.168e+09
1.025e-02 4.899e+08
1.075e-02 4.423e+08
1.125e-02 8.223e+08
1.175e-02 5.130e+08
1.225e-02 4.386e+08
1.275e-02 4.311e+08
1.325e-02 4.363e+08
1.375e-02 4.377e+08
1.425e-02 4.361e+08
1.475e-02 4.317e+08
1.525e-02 4.242e+08
1.575e-02 4.142e+08
1.625e-02 4.029e+08
1.675e-02 3.906e+08
1.725e-02 3.775e+08
1.775e-02 3.637e+08
1.825e-02 3.494e+08
1.875e-02 3.347e+08
1.925e-02 3.197e+08
1.975e-02 3.045e+08
2.025e-02 2.888e+08
2.075e-02 2.727e+08
2.125e-02 2.567e+08
2.175e-02 2.409e+08
2.225e-02 2.251e+08
2.275e-02 2.094e+08
2.325e-02 1.939e+08
2.375e-02 1.784e+08
2.425e-02 1.629e+08
2.475e-02 1.474e+08
2.525e-02 1.319e+08
2.575e-02 1.163e+08
2.625e-02 1.004e+08
2.675e-02 8.414e+07
2.725e-02 6.740e+07
2.775e-02 5.006e+07
2.825e-02 3.209e+07
2.875e-02 1.360e+07
