# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 50
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.7 mm Al + 1.2 mm Polycarbonate (Makrolon or Lexan) + 620 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 3.204e-209
1.750e-03 9.681e-306
2.250e-03 9.074e-159
2.750e-03 2.122e-89
3.250e-03 4.989e-54
3.750e-03 1.991e-33
4.250e-03 7.060e-21
4.750e-03 8.706e-13
5.250e-03 2.321e-07
5.750e-03 1.380e-03
6.250e-03 6.951e-01
6.750e-03 6.696e+01
7.250e-03 2.818e+03
7.750e-03 2.694e+04
8.250e-03 1.741e+06
8.750e-03 1.040e+06
9.250e-03 3.338e+06
9.750e-03 6.113e+07
1.025e-02 1.957e+07
1.075e-02 3.225e+07
1.125e-02 9.897e+07
1.175e-02 9.403e+07
1.225e-02 1.147e+08
1.275e-02 1.526e+08
1.325e-02 2.002e+08
1.375e-02 2.511e+08
1.425e-02 3.036e+08
1.475e-02 3.558e+08
1.525e-02 4.049e+08
1.575e-02 4.496e+08
1.625e-02 4.899e+08
1.675e-02 5.251e+08
1.725e-02 5.550e+08
1.775e-02 5.792e+08
1.825e-02 5.977e+08
1.875e-02 6.106e+08
1.925e-02 6.180e+08
1.975e-02 6.202e+08
2.025e-02 6.160e+08
2.075e-02 6.060e+08
2.125e-02 5.922e+08
2.175e-02 5.749e+08
2.225e-02 5.543e+08
2.275e-02 5.307e+08
2.325e-02 5.045e+08
2.375e-02 4.756e+08
2.425e-02 4.443e+08
2.475e-02 4.106e+08
2.525e-02 3.746e+08
2.575e-02 3.362e+08
2.625e-02 2.951e+08
2.675e-02 2.513e+08
2.725e-02 2.042e+08
2.775e-02 1.537e+08
2.825e-02 9.980e+07
2.875e-02 4.281e+07
