# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.7 mm Al + 640 mm Air Dry (Near Sea Level) + 1.2 mm Polycarbonate (Makrolon or Lexan)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 7.120e-212
1.750e-03 3.783e-307
2.250e-03 9.192e-160
2.750e-03 3.204e-90
3.250e-03 8.856e-55
3.750e-03 3.970e-34
4.250e-03 1.509e-21
4.750e-03 1.944e-13
5.250e-03 5.335e-08
5.750e-03 3.237e-04
6.250e-03 1.653e-01
6.750e-03 1.609e+01
7.250e-03 6.824e+02
7.750e-03 6.559e+03
8.250e-03 4.257e+05
8.750e-03 2.552e+05
9.250e-03 8.217e+05
9.750e-03 1.508e+07
1.025e-02 4.836e+06
1.075e-02 7.982e+06
1.125e-02 2.453e+07
1.175e-02 2.332e+07
1.225e-02 2.848e+07
1.275e-02 3.792e+07
1.325e-02 4.977e+07
1.375e-02 6.248e+07
1.425e-02 7.557e+07
1.475e-02 8.859e+07
1.525e-02 1.008e+08
1.575e-02 1.120e+08
1.625e-02 1.221e+08
1.675e-02 1.309e+08
1.725e-02 1.384e+08
1.775e-02 1.444e+08
1.825e-02 1.491e+08
1.875e-02 1.523e+08
1.925e-02 1.542e+08
1.975e-02 1.548e+08
2.025e-02 1.537e+08
2.075e-02 1.512e+08
2.125e-02 1.478e+08
2.175e-02 1.435e+08
2.225e-02 1.384e+08
2.275e-02 1.325e+08
2.325e-02 1.259e+08
2.375e-02 1.187e+08
2.425e-02 1.109e+08
2.475e-02 1.025e+08
2.525e-02 9.355e+07
2.575e-02 8.395e+07
2.625e-02 7.370e+07
2.675e-02 6.275e+07
2.725e-02 5.100e+07
2.775e-02 3.840e+07
2.825e-02 2.493e+07
2.875e-02 1.069e+07
