# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.7 mm Al + 660 mm Air Dry (Near Sea Level) + 1.2 mm Polycarbonate (Makrolon or Lexan)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 6.329e-214
1.750e-03 5.912e-308
2.250e-03 3.725e-160
2.750e-03 1.935e-90
3.250e-03 6.287e-55
3.750e-03 3.166e-34
4.250e-03 1.290e-21
4.750e-03 1.736e-13
5.250e-03 4.906e-08
5.750e-03 3.036e-04
6.250e-03 1.573e-01
6.750e-03 1.546e+01
7.250e-03 6.608e+02
7.750e-03 6.389e+03
8.250e-03 4.166e+05
8.750e-03 2.505e+05
9.250e-03 8.090e+05
9.750e-03 1.488e+07
1.025e-02 4.780e+06
1.075e-02 7.902e+06
1.125e-02 2.431e+07
1.175e-02 2.314e+07
1.225e-02 2.828e+07
1.275e-02 3.769e+07
1.325e-02 4.950e+07
1.375e-02 6.216e+07
1.425e-02 7.523e+07
1.475e-02 8.823e+07
1.525e-02 1.005e+08
1.575e-02 1.116e+08
1.625e-02 1.217e+08
1.675e-02 1.305e+08
1.725e-02 1.380e+08
1.775e-02 1.441e+08
1.825e-02 1.487e+08
1.875e-02 1.520e+08
1.925e-02 1.539e+08
1.975e-02 1.545e+08
2.025e-02 1.534e+08
2.075e-02 1.510e+08
2.125e-02 1.476e+08
2.175e-02 1.433e+08
2.225e-02 1.381e+08
2.275e-02 1.323e+08
2.325e-02 1.258e+08
2.375e-02 1.186e+08
2.425e-02 1.108e+08
2.475e-02 1.024e+08
2.525e-02 9.343e+07
2.575e-02 8.385e+07
2.625e-02 7.362e+07
2.675e-02 6.268e+07
2.725e-02 5.095e+07
2.775e-02 3.836e+07
2.825e-02 2.490e+07
2.875e-02 1.068e+07
