# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 1.2 mm Polycarbonate (Makrolon or Lexan) + 675 mm Air Dry (Near Sea Level) + 0.7 mm Al
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 1.832e-215
1.750e-03 1.470e-308
2.250e-03 1.892e-160
2.750e-03 1.326e-90
3.250e-03 4.862e-55
3.750e-03 2.672e-34
4.250e-03 1.147e-21
4.750e-03 1.595e-13
5.250e-03 4.607e-08
5.750e-03 2.894e-04
6.250e-03 1.515e-01
6.750e-03 1.501e+01
7.250e-03 6.451e+02
7.750e-03 6.265e+03
8.250e-03 4.098e+05
8.750e-03 2.471e+05
9.250e-03 7.997e+05
9.750e-03 1.473e+07
1.025e-02 4.739e+06
1.075e-02 7.843e+06
1.125e-02 2.415e+07
1.175e-02 2.301e+07
1.225e-02 2.814e+07
1.275e-02 3.751e+07
1.325e-02 4.929e+07
1.375e-02 6.193e+07
1.425e-02 7.497e+07
1.475e-02 8.796e+07
1.525e-02 1.002e+08
1.575e-02 1.113e+08
1.625e-02 1.214e+08
1.675e-02 1.302e+08
1.725e-02 1.377e+08
1.775e-02 1.438e+08
1.825e-02 1.485e+08
1.875e-02 1.517e+08
1.925e-02 1.536e+08
1.975e-02 1.542e+08
2.025e-02 1.532e+08
2.075e-02 1.508e+08
2.125e-02 1.474e+08
2.175e-02 1.431e+08
2.225e-02 1.380e+08
2.275e-02 1.322e+08
2.325e-02 1.256e+08
2.375e-02 1.185e+08
2.425e-02 1.107e+08
2.475e-02 1.023e+08
2.525e-02 9.335e+07
2.575e-02 8.378e+07
2.625e-02 7.356e+07
2.675e-02 6.263e+07
2.725e-02 5.091e+07
2.775e-02 3.833e+07
2.825e-02 2.488e+07
2.875e-02 1.067e+07
