# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 30
# x (cm): 0
# y (cm): 0
# z (cm): 50
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 1.2 mm Polycarbonate (Makrolon or Lexan) + 640 mm Air Dry (Near Sea Level) + 0.05 mm Ag
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 4.685e-254
1.750e-03 1.574e-99
2.250e-03 2.617e-46
2.750e-03 4.970e-23
3.250e-03 1.018e-11
3.750e-03 1.445e-28
4.250e-03 1.865e-21
4.750e-03 1.027e-13
5.250e-03 2.024e-08
5.750e-03 1.146e-04
6.250e-03 6.276e-02
6.750e-03 6.982e+00
7.250e-03 3.497e+02
7.750e-03 3.919e+03
8.250e-03 3.055e+05
8.750e-03 2.079e+05
9.250e-03 7.665e+05
9.750e-03 1.635e+07
1.025e-02 5.719e+06
1.075e-02 1.043e+07
1.125e-02 3.572e+07
1.175e-02 3.658e+07
1.225e-02 4.799e+07
1.275e-02 6.846e+07
1.325e-02 9.577e+07
1.375e-02 1.274e+08
1.425e-02 1.624e+08
1.475e-02 1.997e+08
1.525e-02 2.378e+08
1.575e-02 2.753e+08
1.625e-02 3.118e+08
1.675e-02 3.464e+08
1.725e-02 3.782e+08
1.775e-02 4.068e+08
1.825e-02 4.319e+08
1.875e-02 4.530e+08
1.925e-02 4.700e+08
1.975e-02 4.829e+08
2.025e-02 4.911e+08
2.075e-02 4.947e+08
2.125e-02 4.945e+08
2.175e-02 4.906e+08
2.225e-02 4.834e+08
2.275e-02 4.728e+08
2.325e-02 4.592e+08
2.375e-02 4.428e+08
2.425e-02 4.236e+08
2.475e-02 4.018e+08
2.525e-02 3.775e+08
2.575e-02 3.338e+07
2.625e-02 3.419e+07
2.675e-02 3.420e+07
2.725e-02 3.323e+07
2.775e-02 3.111e+07
2.825e-02 2.764e+07
2.875e-02 2.262e+07
2.925e-02 1.588e+07
2.975e-02 7.288e+06
