# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 30
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.05 mm Ag + 1.2 mm Polycarbonate (Makrolon or Lexan) + 660 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 1.041e-256
1.750e-03 6.149e-101
2.250e-03 2.651e-47
2.750e-03 7.505e-24
3.250e-03 1.806e-12
3.750e-03 2.880e-29
4.250e-03 3.985e-22
4.750e-03 2.293e-14
5.250e-03 4.653e-09
5.750e-03 2.688e-05
6.250e-03 1.493e-02
6.750e-03 1.678e+00
7.250e-03 8.466e+01
7.750e-03 9.543e+02
8.250e-03 7.472e+04
8.750e-03 5.103e+04
9.250e-03 1.887e+05
9.750e-03 4.034e+06
1.025e-02 1.414e+06
1.075e-02 2.582e+06
1.125e-02 8.850e+06
1.175e-02 9.073e+06
1.225e-02 1.191e+07
1.275e-02 1.701e+07
1.325e-02 2.381e+07
1.375e-02 3.168e+07
1.425e-02 4.041e+07
1.475e-02 4.972e+07
1.525e-02 5.922e+07
1.575e-02 6.860e+07
1.625e-02 7.771e+07
1.675e-02 8.634e+07
1.725e-02 9.429e+07
1.775e-02 1.015e+08
1.825e-02 1.077e+08
1.875e-02 1.130e+08
1.925e-02 1.173e+08
1.975e-02 1.205e+08
2.025e-02 1.225e+08
2.075e-02 1.235e+08
2.125e-02 1.234e+08
2.175e-02 1.225e+08
2.225e-02 1.207e+08
2.275e-02 1.180e+08
2.325e-02 1.146e+08
2.375e-02 1.105e+08
2.425e-02 1.058e+08
2.475e-02 1.003e+08
2.525e-02 9.426e+07
2.575e-02 8.335e+06
2.625e-02 8.539e+06
2.675e-02 8.541e+06
2.725e-02 8.300e+06
2.775e-02 7.769e+06
2.825e-02 6.903e+06
2.875e-02 5.650e+06
2.925e-02 3.967e+06
2.975e-02 1.820e+06
