# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 30
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: None
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 1.074e+07
1.750e-03 8.740e+06
2.250e-03 4.387e+06
2.750e-03 5.284e+06
3.250e-03 6.673e+06
3.750e-03 8.388e+06
4.250e-03 1.004e+07
4.750e-03 1.143e+07
5.250e-03 1.244e+07
5.750e-03 1.314e+07
6.250e-03 1.355e+07
6.750e-03 1.371e+07
7.250e-03 1.934e+07
7.750e-03 1.357e+07
8.250e-03 1.188e+08
8.750e-03 1.390e+07
9.250e-03 1.237e+07
9.750e-03 8.234e+07
1.025e-02 1.068e+07
1.075e-02 8.534e+06
1.125e-02 1.497e+07
1.175e-02 8.499e+06
1.225e-02 6.806e+06
1.275e-02 6.397e+06
1.325e-02 6.258e+06
1.375e-02 6.102e+06
1.425e-02 5.932e+06
1.475e-02 5.752e+06
1.525e-02 5.564e+06
1.575e-02 5.370e+06
1.625e-02 5.171e+06
1.675e-02 4.970e+06
1.725e-02 4.768e+06
1.775e-02 4.565e+06
1.825e-02 4.364e+06
1.875e-02 4.163e+06
1.925e-02 3.965e+06
1.975e-02 3.768e+06
2.025e-02 3.573e+06
2.075e-02 3.381e+06
2.125e-02 3.192e+06
2.175e-02 3.005e+06
2.225e-02 2.822e+06
2.275e-02 2.640e+06
2.325e-02 2.462e+06
2.375e-02 2.285e+06
2.425e-02 2.112e+06
2.475e-02 1.939e+06
2.525e-02 1.769e+06
2.575e-02 1.599e+06
2.625e-02 1.429e+06
2.675e-02 1.258e+06
2.725e-02 1.086e+06
2.775e-02 9.097e+05
2.825e-02 7.288e+05
2.875e-02 5.416e+05
2.925e-02 3.473e+05
2.975e-02 1.461e+05
