# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 60
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.3 mm Cu
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 0.000e+00
1.750e-03 0.000e+00
2.250e-03 5.533e-173
2.750e-03 2.883e-100
3.250e-03 2.483e-62
3.750e-03 1.331e-40
4.250e-03 3.282e-27
4.750e-03 1.738e-18
5.250e-03 1.505e-12
5.750e-03 2.317e-08
6.250e-03 2.558e-05
6.750e-03 4.703e-03
7.250e-03 4.168e-01
7.750e-03 5.430e+00
8.250e-03 8.484e+02
8.750e-03 4.955e+02
9.250e-03 3.852e-24
9.750e-03 2.688e-19
1.025e-02 3.224e-17
1.075e-02 1.284e-14
1.125e-02 6.798e-12
1.175e-02 3.175e-10
1.225e-02 1.224e-08
1.275e-02 3.594e-07
1.325e-02 7.293e-06
1.375e-02 1.022e-04
1.425e-02 1.034e-03
1.475e-02 7.932e-03
1.525e-02 4.825e-02
1.575e-02 2.403e-01
1.625e-02 9.988e-01
1.675e-02 3.551e+00
1.725e-02 1.103e+01
1.775e-02 3.056e+01
1.825e-02 7.669e+01
1.875e-02 1.756e+02
1.925e-02 3.717e+02
1.975e-02 7.322e+02
2.025e-02 1.356e+03
2.075e-02 2.375e+03
2.125e-02 3.954e+03
2.175e-02 6.289e+03
2.225e-02 9.619e+03
2.275e-02 1.420e+04
2.325e-02 2.027e+04
2.375e-02 2.808e+04
2.425e-02 3.787e+04
2.475e-02 4.983e+04
2.525e-02 6.419e+04
2.575e-02 8.108e+04
2.625e-02 1.005e+05
2.675e-02 1.225e+05
2.725e-02 1.471e+05
2.775e-02 1.740e+05
2.825e-02 2.032e+05
2.875e-02 2.345e+05
2.925e-02 2.676e+05
2.975e-02 3.023e+05
3.025e-02 3.383e+05
3.075e-02 3.755e+05
3.125e-02 4.134e+05
3.175e-02 4.517e+05
3.225e-02 4.902e+05
3.275e-02 5.285e+05
3.325e-02 5.664e+05
3.375e-02 6.036e+05
3.425e-02 6.398e+05
3.475e-02 6.750e+05
3.525e-02 7.087e+05
3.575e-02 7.409e+05
3.625e-02 7.715e+05
3.675e-02 8.002e+05
3.725e-02 8.271e+05
3.775e-02 8.519e+05
3.825e-02 8.747e+05
3.875e-02 8.953e+05
3.925e-02 9.138e+05
3.975e-02 9.301e+05
4.025e-02 9.440e+05
4.075e-02 9.557e+05
4.125e-02 9.650e+05
4.175e-02 9.722e+05
4.225e-02 9.772e+05
4.275e-02 9.801e+05
4.325e-02 9.809e+05
4.375e-02 9.796e+05
4.425e-02 9.762e+05
4.475e-02 9.708e+05
4.525e-02 9.634e+05
4.575e-02 9.540e+05
4.625e-02 9.427e+05
4.675e-02 9.296e+05
4.725e-02 9.147e+05
4.775e-02 8.980e+05
4.825e-02 8.798e+05
4.875e-02 8.599e+05
4.925e-02 8.384e+05
4.975e-02 8.153e+05
5.025e-02 7.906e+05
5.075e-02 7.643e+05
5.125e-02 7.367e+05
5.175e-02 7.076e+05
5.225e-02 6.772e+05
5.275e-02 6.454e+05
5.325e-02 6.122e+05
5.375e-02 5.777e+05
5.425e-02 5.418e+05
5.475e-02 5.046e+05
5.525e-02 4.659e+05
5.575e-02 4.255e+05
5.625e-02 3.835e+05
5.675e-02 3.398e+05
5.725e-02 2.945e+05
5.775e-02 2.474e+05
5.825e-02 1.986e+05
5.875e-02 1.480e+05
5.925e-02 9.564e+04
5.975e-02 3.686e+04
