# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 60
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.5 mm Al
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 7.096e-29
1.750e-03 8.890e-180
2.250e-03 3.284e-92
2.750e-03 3.556e-52
3.250e-03 3.815e-31
3.750e-03 4.480e-19
4.250e-03 1.241e-11
4.750e-03 8.266e-07
5.250e-03 1.537e-03
5.750e-03 3.023e-01
6.250e-03 1.376e+01
6.750e-03 2.313e+02
7.250e-03 3.267e+03
7.750e-03 1.013e+04
8.250e-03 4.965e+05
8.750e-03 1.127e+05
9.250e-03 2.207e+05
9.750e-03 4.434e+06
1.025e-02 5.740e+05
1.075e-02 6.077e+05
1.125e-02 2.027e+06
1.175e-02 1.257e+06
1.225e-02 1.191e+06
1.275e-02 1.413e+06
1.325e-02 1.752e+06
1.375e-02 2.109e+06
1.425e-02 2.473e+06
1.475e-02 2.838e+06
1.525e-02 3.195e+06
1.575e-02 3.540e+06
1.625e-02 3.866e+06
1.675e-02 4.171e+06
1.725e-02 4.452e+06
1.775e-02 4.707e+06
1.825e-02 4.935e+06
1.875e-02 5.137e+06
1.925e-02 5.313e+06
1.975e-02 5.464e+06
2.025e-02 5.590e+06
2.075e-02 5.692e+06
2.125e-02 5.774e+06
2.175e-02 5.836e+06
2.225e-02 5.879e+06
2.275e-02 5.904e+06
2.325e-02 5.914e+06
2.375e-02 5.911e+06
2.425e-02 5.895e+06
2.475e-02 5.869e+06
2.525e-02 5.832e+06
2.575e-02 5.785e+06
2.625e-02 5.730e+06
2.675e-02 5.669e+06
2.725e-02 5.602e+06
2.775e-02 5.527e+06
2.825e-02 5.448e+06
2.875e-02 5.365e+06
2.925e-02 5.278e+06
2.975e-02 5.189e+06
3.025e-02 5.096e+06
3.075e-02 5.001e+06
3.125e-02 4.905e+06
3.175e-02 4.807e+06
3.225e-02 4.708e+06
3.275e-02 4.609e+06
3.325e-02 4.510e+06
3.375e-02 4.411e+06
3.425e-02 4.311e+06
3.475e-02 4.212e+06
3.525e-02 4.112e+06
3.575e-02 4.012e+06
3.625e-02 3.913e+06
3.675e-02 3.815e+06
3.725e-02 3.718e+06
3.775e-02 3.621e+06
3.825e-02 3.526e+06
3.875e-02 3.431e+06
3.925e-02 3.337e+06
3.975e-02 3.245e+06
4.025e-02 3.153e+06
4.075e-02 3.062e+06
4.125e-02 2.971e+06
4.175e-02 2.882e+06
4.225e-02 2.794e+06
4.275e-02 2.707e+06
4.325e-02 2.621e+06
4.375e-02 2.536e+06
4.425e-02 2.452e+06
4.475e-02 2.369e+06
4.525e-02 2.286e+06
4.575e-02 2.205e+06
4.625e-02 2.124e+06
4.675e-02 2.044e+06
4.725e-02 1.964e+06
4.775e-02 1.886e+06
4.825e-02 1.808e+06
4.875e-02 1.731e+06
4.925e-02 1.654e+06
4.975e-02 1.578e+06
5.025e-02 1.502e+06
5.075e-02 1.427e+06
5.125e-02 1.352e+06
5.175e-02 1.277e+06
5.225e-02 1.203e+06
5.275e-02 1.129e+06
5.325e-02 1.056e+06
5.375e-02 9.821e+05
5.425e-02 9.086e+05
5.475e-02 8.351e+05
5.525e-02 7.612e+05
5.575e-02 6.867e+05
5.625e-02 6.116e+05
5.675e-02 5.358e+05
5.725e-02 4.592e+05
5.775e-02 3.818e+05
5.825e-02 3.033e+05
5.875e-02 2.237e+05
5.925e-02 1.432e+05
5.975e-02 5.467e+04
