# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 60
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 1 mm Cu
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 0.000e+00
1.750e-03 0.000e+00
2.250e-03 0.000e+00
2.750e-03 0.000e+00
3.250e-03 1.718e-221
3.750e-03 2.573e-149
4.250e-03 6.604e-105
4.750e-03 4.961e-76
5.250e-03 2.045e-56
5.750e-03 1.314e-42
6.250e-03 1.374e-32
6.750e-03 3.837e-25
7.250e-03 2.941e-19
7.750e-03 4.279e-15
8.250e-03 1.742e-10
8.750e-03 8.871e-09
9.250e-03 1.052e-95
9.750e-03 5.826e-82
1.025e-02 1.944e-72
1.075e-02 2.134e-63
1.125e-02 3.529e-55
1.175e-02 7.917e-49
1.225e-02 3.127e-43
1.275e-02 2.703e-38
1.325e-02 5.718e-34
1.375e-02 3.560e-30
1.425e-02 7.567e-27
1.475e-02 6.460e-24
1.525e-02 2.566e-21
1.575e-02 5.273e-19
1.625e-02 5.978e-17
1.675e-02 4.057e-15
1.725e-02 1.764e-13
1.775e-02 5.287e-12
1.825e-02 1.142e-10
1.875e-02 1.827e-09
1.925e-02 2.263e-08
1.975e-02 2.213e-07
2.025e-02 1.766e-06
2.075e-02 1.176e-05
2.125e-02 6.629e-05
2.175e-02 3.219e-04
2.225e-02 1.374e-03
2.275e-02 5.225e-03
2.325e-02 1.782e-02
2.375e-02 5.507e-02
2.425e-02 1.558e-01
2.475e-02 4.069e-01
2.525e-02 9.909e-01
2.575e-02 2.265e+00
2.625e-02 4.870e+00
2.675e-02 9.907e+00
2.725e-02 1.916e+01
2.775e-02 3.537e+01
2.825e-02 6.257e+01
2.875e-02 1.064e+02
2.925e-02 1.747e+02
2.975e-02 2.774e+02
3.025e-02 4.276e+02
3.075e-02 6.412e+02
3.125e-02 9.366e+02
3.175e-02 1.335e+03
3.225e-02 1.861e+03
3.275e-02 2.541e+03
3.325e-02 3.403e+03
3.375e-02 4.475e+03
3.425e-02 5.788e+03
3.475e-02 7.369e+03
3.525e-02 9.243e+03
3.575e-02 1.144e+04
3.625e-02 1.397e+04
3.675e-02 1.686e+04
3.725e-02 2.012e+04
3.775e-02 2.376e+04
3.825e-02 2.778e+04
3.875e-02 3.217e+04
3.925e-02 3.694e+04
3.975e-02 4.206e+04
4.025e-02 4.749e+04
4.075e-02 5.321e+04
4.125e-02 5.919e+04
4.175e-02 6.541e+04
4.225e-02 7.182e+04
4.275e-02 7.839e+04
4.325e-02 8.505e+04
4.375e-02 9.177e+04
4.425e-02 9.848e+04
4.475e-02 1.051e+05
4.525e-02 1.116e+05
4.575e-02 1.179e+05
4.625e-02 1.240e+05
4.675e-02 1.298e+05
4.725e-02 1.352e+05
4.775e-02 1.402e+05
4.825e-02 1.448e+05
4.875e-02 1.489e+05
4.925e-02 1.525e+05
4.975e-02 1.554e+05
5.025e-02 1.577e+05
5.075e-02 1.591e+05
5.125e-02 1.599e+05
5.175e-02 1.598e+05
5.225e-02 1.590e+05
5.275e-02 1.573e+05
5.325e-02 1.547e+05
5.375e-02 1.511e+05
5.425e-02 1.465e+05
5.475e-02 1.410e+05
5.525e-02 1.343e+05
5.575e-02 1.263e+05
5.625e-02 1.172e+05
5.675e-02 1.068e+05
5.725e-02 9.506e+04
5.775e-02 8.200e+04
5.825e-02 6.752e+04
5.875e-02 5.156e+04
5.925e-02 3.412e+04
5.975e-02 1.346e+04
