## Electron energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 15 cm x 15 cm at an SSD of 100 cm 
####   6MeV   ####
# E(MeV)   I(a.u.)
1.000e-01 7.523e-04
1.500e-01 1.180e-03
2.000e-01 9.040e-04
2.500e-01 7.427e-04
3.000e-01 6.330e-04
3.500e-01 5.617e-04
4.000e-01 5.101e-04
4.500e-01 4.703e-04
5.000e-01 4.408e-04
5.500e-01 4.211e-04
6.000e-01 4.030e-04
6.500e-01 3.906e-04
7.000e-01 3.820e-04
7.500e-01 3.738e-04
8.000e-01 3.697e-04
8.500e-01 3.662e-04
9.000e-01 3.632e-04
9.500e-01 3.599e-04
1.000e+00 3.603e-04
1.050e+00 3.588e-04
1.100e+00 3.603e-04
1.150e+00 3.615e-04
1.200e+00 3.649e-04
1.250e+00 3.680e-04
1.300e+00 3.699e-04
1.350e+00 3.732e-04
1.400e+00 3.774e-04
1.450e+00 3.807e-04
1.500e+00 3.846e-04
1.550e+00 3.910e-04
1.600e+00 3.977e-04
1.650e+00 4.035e-04
1.700e+00 4.091e-04
1.750e+00 4.161e-04
1.800e+00 4.224e-04
1.850e+00 4.286e-04
1.900e+00 4.380e-04
1.950e+00 4.465e-04
2.000e+00 4.541e-04
2.050e+00 4.623e-04
2.100e+00 4.727e-04
2.150e+00 4.825e-04
2.200e+00 4.925e-04
2.250e+00 5.051e-04
2.300e+00 5.125e-04
2.350e+00 5.268e-04
2.400e+00 5.369e-04
2.450e+00 5.482e-04
2.500e+00 5.612e-04
2.550e+00 5.758e-04
2.600e+00 5.920e-04
2.650e+00 6.049e-04
2.700e+00 6.175e-04
2.750e+00 6.350e-04
2.800e+00 6.495e-04
2.850e+00 6.650e-04
2.900e+00 6.836e-04
2.950e+00 7.024e-04
3.000e+00 7.182e-04
3.050e+00 7.370e-04
3.100e+00 7.555e-04
3.150e+00 7.752e-04
3.200e+00 7.947e-04
3.250e+00 8.127e-04
3.300e+00 8.316e-04
3.350e+00 8.511e-04
3.400e+00 8.699e-04
3.450e+00 8.921e-04
3.500e+00 9.129e-04
3.550e+00 9.336e-04
3.600e+00 9.572e-04
3.650e+00 9.830e-04
3.700e+00 1.006e-03
3.750e+00 1.033e-03
3.800e+00 1.066e-03
3.850e+00 1.094e-03
3.900e+00 1.127e-03
3.950e+00 1.164e-03
4.000e+00 1.202e-03
4.050e+00 1.248e-03
4.100e+00 1.291e-03
4.150e+00 1.346e-03
4.200e+00 1.402e-03
4.250e+00 1.471e-03
4.300e+00 1.539e-03
4.350e+00 1.615e-03
4.400e+00 1.701e-03
4.450e+00 1.793e-03
4.500e+00 1.892e-03
4.550e+00 2.005e-03
4.600e+00 2.131e-03
4.650e+00 2.261e-03
4.700e+00 2.411e-03
4.750e+00 2.576e-03
4.800e+00 2.758e-03
4.850e+00 2.962e-03
4.900e+00 3.192e-03
4.950e+00 3.449e-03
5.000e+00 3.745e-03
5.050e+00 4.082e-03
5.100e+00 4.473e-03
5.150e+00 4.920e-03
5.200e+00 5.452e-03
5.250e+00 6.070e-03
5.300e+00 6.819e-03
5.350e+00 7.719e-03
5.400e+00 8.817e-03
5.450e+00 1.019e-02
5.500e+00 1.192e-02
5.550e+00 1.416e-02
5.600e+00 1.711e-02
5.650e+00 2.099e-02
5.700e+00 2.621e-02
5.750e+00 3.373e-02
5.800e+00 4.510e-02
5.850e+00 5.885e-02
5.900e+00 6.699e-02
5.950e+00 6.207e-02
6.000e+00 4.695e-02
6.050e+00 3.218e-02
6.100e+00 2.549e-02
6.150e+00 2.740e-02
6.200e+00 3.588e-02
6.250e+00 6.053e-02
6.300e+00 1.084e-01
6.350e+00 1.241e-01
6.400e+00 6.987e-02
6.450e+00 1.718e-02
6.500e+00 1.661e-03
6.550e+00 5.484e-05
6.600e+00 5.060e-07
