# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 80
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 5 mm Al
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 0.000e+00
1.750e-03 0.000e+00
2.250e-03 0.000e+00
2.750e-03 0.000e+00
3.250e-03 0.000e+00
3.750e-03 9.659e-245
4.250e-03 3.271e-171
4.750e-03 9.255e-124
5.250e-03 9.575e-92
5.750e-03 2.232e-69
6.250e-03 2.892e-53
6.750e-03 2.154e-41
7.250e-03 3.329e-32
7.750e-03 1.415e-25
8.250e-03 4.873e-19
8.750e-03 6.406e-16
9.250e-03 1.376e-12
9.750e-03 9.047e-09
1.025e-02 1.035e-07
1.075e-02 4.746e-06
1.125e-02 4.180e-04
1.175e-02 3.549e-03
1.225e-02 3.165e-02
1.275e-02 2.597e-01
1.325e-02 1.712e+00
1.375e-02 8.709e+00
1.425e-02 3.566e+01
1.475e-02 1.217e+02
1.525e-02 3.557e+02
1.575e-02 9.110e+02
1.625e-02 2.089e+03
1.675e-02 4.355e+03
1.725e-02 8.363e+03
1.775e-02 1.491e+04
1.825e-02 2.492e+04
1.875e-02 3.950e+04
1.925e-02 5.974e+04
1.975e-02 8.669e+04
2.025e-02 1.210e+05
2.075e-02 1.632e+05
2.125e-02 2.141e+05
2.175e-02 2.738e+05
2.225e-02 3.416e+05
2.275e-02 4.169e+05
2.325e-02 4.999e+05
2.375e-02 5.901e+05
2.425e-02 6.866e+05
2.475e-02 7.886e+05
2.525e-02 8.938e+05
2.575e-02 1.001e+06
2.625e-02 1.110e+06
2.675e-02 1.221e+06
2.725e-02 1.333e+06
2.775e-02 1.440e+06
2.825e-02 1.544e+06
2.875e-02 1.646e+06
2.925e-02 1.746e+06
2.975e-02 1.843e+06
3.025e-02 1.933e+06
3.075e-02 2.016e+06
3.125e-02 2.096e+06
3.175e-02 2.171e+06
3.225e-02 2.243e+06
3.275e-02 2.310e+06
3.325e-02 2.372e+06
3.375e-02 2.430e+06
3.425e-02 2.483e+06
3.475e-02 2.532e+06
3.525e-02 2.573e+06
3.575e-02 2.606e+06
3.625e-02 2.635e+06
3.675e-02 2.661e+06
3.725e-02 2.682e+06
3.775e-02 2.701e+06
3.825e-02 2.716e+06
3.875e-02 2.728e+06
3.925e-02 2.736e+06
3.975e-02 2.742e+06
4.025e-02 2.743e+06
4.075e-02 2.738e+06
4.125e-02 2.731e+06
4.175e-02 2.721e+06
4.225e-02 2.710e+06
4.275e-02 2.697e+06
4.325e-02 2.683e+06
4.375e-02 2.666e+06
4.425e-02 2.648e+06
4.475e-02 2.629e+06
4.525e-02 2.606e+06
4.575e-02 2.581e+06
4.625e-02 2.554e+06
4.675e-02 2.526e+06
4.725e-02 2.498e+06
4.775e-02 2.469e+06
4.825e-02 2.439e+06
4.875e-02 2.409e+06
4.925e-02 2.377e+06
4.975e-02 2.346e+06
5.025e-02 2.312e+06
5.075e-02 2.277e+06
5.125e-02 2.242e+06
5.175e-02 2.206e+06
5.225e-02 2.170e+06
5.275e-02 2.134e+06
5.325e-02 2.098e+06
5.375e-02 2.062e+06
5.425e-02 2.025e+06
5.475e-02 1.988e+06
5.525e-02 1.951e+06
5.575e-02 1.912e+06
5.625e-02 1.874e+06
5.675e-02 1.836e+06
5.725e-02 1.798e+06
5.775e-02 2.875e+06
5.825e-02 1.721e+06
5.875e-02 1.683e+06
5.925e-02 3.644e+06
5.975e-02 1.607e+06
6.025e-02 1.569e+06
6.075e-02 1.530e+06
6.125e-02 1.491e+06
6.175e-02 1.453e+06
6.225e-02 1.414e+06
6.275e-02 1.376e+06
6.325e-02 1.337e+06
6.375e-02 1.299e+06
6.425e-02 1.261e+06
6.475e-02 1.223e+06
6.525e-02 1.184e+06
6.575e-02 1.146e+06
6.625e-02 1.107e+06
6.675e-02 1.315e+06
6.725e-02 1.508e+06
6.775e-02 1.004e+06
6.825e-02 9.531e+05
6.875e-02 9.146e+05
6.925e-02 1.049e+06
6.975e-02 8.213e+05
7.025e-02 7.574e+05
7.075e-02 7.219e+05
7.125e-02 6.864e+05
7.175e-02 6.505e+05
7.225e-02 6.145e+05
7.275e-02 5.783e+05
7.325e-02 5.417e+05
7.375e-02 5.051e+05
7.425e-02 4.680e+05
7.475e-02 4.305e+05
7.525e-02 3.930e+05
7.575e-02 3.548e+05
7.625e-02 3.163e+05
7.675e-02 2.774e+05
7.725e-02 2.379e+05
7.775e-02 1.981e+05
7.825e-02 1.576e+05
7.875e-02 1.170e+05
7.925e-02 7.564e+04
7.975e-02 2.795e+04
