# Espectro Cyberknife (6MV FFF) Precision TPS
# Hospital Universitario Ramón y Cajal

#E(MeV)	        I(a.u.)
0.00E-01	0.00E-02
1.00E-01	1.39E-02	
3.00E-01	1.30E-01	
5.00E-01	1.40E-01	
7.00E-01	1.11E-01	
9.00E-01	9.10E-02	
1.10E+00	7.65E-02	
1.30E+00	6.39E-02	
1.50E+00	5.10E-02	
1.70E+00	4.19E-02	
1.90E+00	3.58E-02	
2.10E+00	3.19E-02	
2.30E+00	2.69E-02	
2.50E+00	2.36E-02	
2.70E+00	2.11E-02	
2.90E+00	1.81E-02	
3.10E+00	1.63E-02	
3.30E+00	1.51E-02	
3.50E+00	1.24E-02	
3.70E+00	1.08E-02	
3.90E+00	1.02E-02	
4.10E+00	7.64E-03	
4.30E+00	8.05E-03	
4.50E+00	6.19E-03	
4.70E+00	6.50E-03	
4.90E+00	5.06E-03	
5.10E+00	4.03E-03	
5.30E+00	3.30E-03	
5.50E+00	3.50E-03	
5.70E+00	2.17E-03	
5.90E+00	1.24E-03	
6.10E+00	7.20E-04	
6.30E+00	3.10E-04	
6.50E+00	8.30E-04	
6.70E+00	2.10E-04	
6.90E+00	6.20E-04	
7.10E+00	8.30E-04	
7.30E+00	1.75E-03	
7.50E+00	1.14E-03	
7.70E+00	1.34E-03	
7.90E+00	1.65E-03	
