# ALUMINUM OXIDE from NIST Database
3.970e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.942e-02 3.500e+00 0.000e+00 0.000e+00
1.300e+01 1.961e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.901e+00 1.156e-02 2.786e+03 0.000e+00
1.020e-03 1.894e+00 1.193e-02 2.643e+03 0.000e+00
1.126e-03 1.858e+00 1.394e-02 2.032e+03 0.000e+00
1.243e-03 1.819e+00 1.625e-02 1.561e+03 0.000e+00
1.372e-03 1.777e+00 1.885e-02 1.197e+03 0.000e+00
1.500e-03 1.735e+00 2.143e-02 9.402e+02 0.000e+00
1.515e-03 1.730e+00 2.174e-02 9.150e+02 0.000e+00
1.560e-03 1.715e+00 2.263e-02 8.451e+02 0.000e+00
1.560e-03 1.715e+00 2.263e-02 2.748e+03 0.000e+00
1.672e-03 1.676e+00 2.486e-02 2.338e+03 0.000e+00
1.846e-03 1.618e+00 2.828e-02 1.851e+03 0.000e+00
2.000e-03 1.568e+00 3.126e-02 1.523e+03 0.000e+00
2.038e-03 1.555e+00 3.198e-02 1.453e+03 0.000e+00
2.250e-03 1.489e+00 3.595e-02 1.128e+03 0.000e+00
2.483e-03 1.419e+00 4.016e-02 8.683e+02 0.000e+00
2.741e-03 1.346e+00 4.466e-02 6.638e+02 0.000e+00
3.000e-03 1.278e+00 4.900e-02 5.180e+02 0.000e+00
3.026e-03 1.271e+00 4.942e-02 5.058e+02 0.000e+00
3.341e-03 1.195e+00 5.444e-02 3.850e+02 0.000e+00
3.688e-03 1.118e+00 5.969e-02 2.929e+02 0.000e+00
4.000e-03 1.054e+00 6.417e-02 2.335e+02 0.000e+00
4.071e-03 1.041e+00 6.515e-02 2.223e+02 0.000e+00
4.494e-03 9.636e-01 7.082e-02 1.681e+02 0.000e+00
4.961e-03 8.873e-01 7.662e-02 1.268e+02 0.000e+00
5.000e-03 8.813e-01 7.708e-02 1.239e+02 0.000e+00
5.477e-03 8.123e-01 8.250e-02 9.536e+01 0.000e+00
6.000e-03 7.445e-01 8.795e-02 7.322e+01 0.000e+00
6.046e-03 7.389e-01 8.841e-02 7.162e+01 0.000e+00
6.675e-03 6.675e-01 9.429e-02 5.365e+01 0.000e+00
7.368e-03 5.992e-01 1.001e-01 4.013e+01 0.000e+00
8.000e-03 5.449e-01 1.048e-01 3.146e+01 0.000e+00
8.134e-03 5.342e-01 1.057e-01 2.994e+01 0.000e+00
8.979e-03 4.734e-01 1.112e-01 2.230e+01 0.000e+00
9.912e-03 4.173e-01 1.165e-01 1.658e+01 0.000e+00
1.000e-02 4.125e-01 1.169e-01 1.615e+01 0.000e+00
1.094e-02 3.663e-01 1.215e-01 1.231e+01 0.000e+00
1.208e-02 3.200e-01 1.262e-01 9.117e+00 0.000e+00
1.334e-02 2.787e-01 1.306e-01 6.738e+00 0.000e+00
1.472e-02 2.424e-01 1.347e-01 4.984e+00 0.000e+00
1.500e-02 2.359e-01 1.354e-01 4.703e+00 0.000e+00
1.625e-02 2.102e-01 1.384e-01 3.675e+00 0.000e+00
1.794e-02 1.819e-01 1.418e-01 2.705e+00 0.000e+00
1.980e-02 1.572e-01 1.448e-01 1.990e+00 0.000e+00
2.000e-02 1.548e-01 1.451e-01 1.929e+00 0.000e+00
2.186e-02 1.354e-01 1.474e-01 1.461e+00 0.000e+00
2.413e-02 1.164e-01 1.497e-01 1.072e+00 0.000e+00
2.664e-02 9.982e-02 1.516e-01 7.846e-01 0.000e+00
2.941e-02 8.535e-02 1.532e-01 5.739e-01 0.000e+00
3.000e-02 8.268e-02 1.534e-01 5.389e-01 0.000e+00
3.247e-02 7.275e-02 1.543e-01 4.192e-01 0.000e+00
3.584e-02 6.184e-02 1.551e-01 3.061e-01 0.000e+00
3.957e-02 5.238e-02 1.555e-01 2.231e-01 0.000e+00
4.000e-02 5.143e-02 1.555e-01 2.156e-01 0.000e+00
4.368e-02 4.424e-02 1.555e-01 1.626e-01 0.000e+00
4.822e-02 3.726e-02 1.551e-01 1.184e-01 0.000e+00
5.000e-02 3.496e-02 1.549e-01 1.054e-01 0.000e+00
5.323e-02 3.129e-02 1.544e-01 8.612e-02 0.000e+00
5.876e-02 2.622e-02 1.533e-01 6.261e-02 0.000e+00
6.000e-02 2.525e-02 1.530e-01 5.853e-02 0.000e+00
6.486e-02 2.193e-02 1.519e-01 4.551e-02 0.000e+00
7.161e-02 1.830e-02 1.501e-01 3.304e-02 0.000e+00
7.905e-02 1.525e-02 1.481e-01 2.399e-02 0.000e+00
8.000e-02 1.491e-02 1.478e-01 2.308e-02 0.000e+00
8.726e-02 1.269e-02 1.458e-01 1.742e-02 0.000e+00
9.633e-02 1.054e-02 1.432e-01 1.265e-02 0.000e+00
1.000e-01 9.824e-03 1.422e-01 1.120e-02 0.000e+00
1.063e-01 8.753e-03 1.405e-01 9.194e-03 0.000e+00
1.174e-01 7.248e-03 1.375e-01 6.669e-03 0.000e+00
1.296e-01 5.999e-03 1.344e-01 4.848e-03 0.000e+00
1.431e-01 4.958e-03 1.311e-01 3.524e-03 0.000e+00
1.500e-01 4.527e-03 1.295e-01 3.030e-03 0.000e+00
1.579e-01 4.099e-03 1.277e-01 2.570e-03 0.000e+00
1.743e-01 3.383e-03 1.242e-01 1.875e-03 0.000e+00
1.925e-01 2.787e-03 1.206e-01 1.368e-03 0.000e+00
2.000e-01 2.586e-03 1.192e-01 1.213e-03 0.000e+00
2.125e-01 2.296e-03 1.169e-01 1.002e-03 0.000e+00
2.345e-01 1.892e-03 1.132e-01 7.370e-04 0.000e+00
2.589e-01 1.557e-03 1.095e-01 5.430e-04 0.000e+00
2.858e-01 1.281e-03 1.058e-01 4.018e-04 0.000e+00
3.000e-01 1.164e-03 1.040e-01 3.472e-04 0.000e+00
3.155e-01 1.053e-03 1.021e-01 2.987e-04 0.000e+00
3.483e-01 8.657e-04 9.843e-02 2.231e-04 0.000e+00
3.845e-01 7.114e-04 9.477e-02 1.676e-04 0.000e+00
