# BARIUM FLUORIDE from NIST Database
4.890e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
9.000e+00 1.141e-02 3.500e+00 0.000e+00 0.000e+00
5.600e+01 5.704e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.025e+00 6.769e-03 7.908e+03 0.000e+00
1.020e-03 7.009e+00 6.955e-03 7.558e+03 0.000e+00
1.062e-03 6.974e+00 7.351e-03 6.892e+03 0.000e+00
1.062e-03 6.974e+00 7.351e-03 7.737e+03 0.000e+00
1.126e-03 6.922e+00 7.952e-03 6.815e+03 0.000e+00
1.137e-03 6.913e+00 8.052e-03 6.677e+03 0.000e+00
1.137e-03 6.913e+00 8.052e-03 7.013e+03 0.000e+00
1.243e-03 6.827e+00 9.031e-03 5.786e+03 0.000e+00
1.293e-03 6.786e+00 9.494e-03 5.318e+03 0.000e+00
1.293e-03 6.786e+00 9.494e-03 5.528e+03 0.000e+00
1.372e-03 6.719e+00 1.025e-02 4.831e+03 0.000e+00
1.500e-03 6.609e+00 1.150e-02 3.946e+03 0.000e+00
1.515e-03 6.596e+00 1.165e-02 3.855e+03 0.000e+00
1.672e-03 6.462e+00 1.320e-02 3.058e+03 0.000e+00
1.846e-03 6.316e+00 1.493e-02 2.422e+03 0.000e+00
2.000e-03 6.188e+00 1.647e-02 2.006e+03 0.000e+00
2.038e-03 6.157e+00 1.685e-02 1.915e+03 0.000e+00
2.250e-03 5.983e+00 1.899e-02 1.501e+03 0.000e+00
2.483e-03 5.795e+00 2.134e-02 1.177e+03 0.000e+00
2.741e-03 5.591e+00 2.394e-02 9.225e+02 0.000e+00
3.000e-03 5.391e+00 2.651e-02 7.383e+02 0.000e+00
3.026e-03 5.371e+00 2.677e-02 7.223e+02 0.000e+00
3.341e-03 5.136e+00 2.983e-02 5.614e+02 0.000e+00
3.688e-03 4.891e+00 3.310e-02 4.366e+02 0.000e+00
4.000e-03 4.685e+00 3.593e-02 3.550e+02 0.000e+00
4.071e-03 4.640e+00 3.656e-02 3.392e+02 0.000e+00
4.494e-03 4.385e+00 4.018e-02 2.625e+02 0.000e+00
4.961e-03 4.124e+00 4.391e-02 2.031e+02 0.000e+00
5.000e-03 4.103e+00 4.421e-02 1.990e+02 0.000e+00
5.247e-03 3.974e+00 4.606e-02 1.755e+02 0.000e+00
5.247e-03 3.974e+00 4.606e-02 4.857e+02 0.000e+00
5.477e-03 3.863e+00 4.772e-02 4.381e+02 0.000e+00
5.624e-03 3.791e+00 4.875e-02 4.110e+02 0.000e+00
5.624e-03 3.791e+00 4.875e-02 5.556e+02 0.000e+00
5.803e-03 3.701e+00 4.997e-02 5.141e+02 0.000e+00
5.989e-03 3.623e+00 5.119e-02 4.756e+02 0.000e+00
5.989e-03 3.623e+00 5.119e-02 5.477e+02 0.000e+00
6.000e-03 3.619e+00 5.126e-02 5.449e+02 0.000e+00
6.046e-03 3.604e+00 5.156e-02 5.344e+02 0.000e+00
6.675e-03 3.368e+00 5.542e-02 4.153e+02 0.000e+00
7.368e-03 3.098e+00 5.926e-02 3.228e+02 0.000e+00
8.000e-03 2.874e+00 6.247e-02 2.617e+02 0.000e+00
8.134e-03 2.831e+00 6.311e-02 2.505e+02 0.000e+00
8.979e-03 2.585e+00 6.698e-02 1.929e+02 0.000e+00
9.912e-03 2.356e+00 7.086e-02 1.485e+02 0.000e+00
1.000e-02 2.336e+00 7.120e-02 1.451e+02 0.000e+00
1.094e-02 2.138e+00 7.472e-02 1.139e+02 0.000e+00
1.208e-02 1.932e+00 7.857e-02 8.716e+01 0.000e+00
1.334e-02 1.739e+00 8.237e-02 6.671e+01 0.000e+00
1.472e-02 1.562e+00 8.605e-02 5.116e+01 0.000e+00
1.500e-02 1.530e+00 8.674e-02 4.863e+01 0.000e+00
1.625e-02 1.399e+00 8.964e-02 3.903e+01 0.000e+00
1.794e-02 1.249e+00 9.309e-02 2.974e+01 0.000e+00
1.980e-02 1.110e+00 9.636e-02 2.268e+01 0.000e+00
2.000e-02 1.096e+00 9.668e-02 2.206e+01 0.000e+00
2.186e-02 9.784e-01 9.946e-02 1.721e+01 0.000e+00
2.413e-02 8.574e-01 1.023e-01 1.307e+01 0.000e+00
2.664e-02 7.471e-01 1.050e-01 9.914e+00 0.000e+00
2.941e-02 6.480e-01 1.074e-01 7.522e+00 0.000e+00
3.000e-02 6.294e-01 1.079e-01 7.117e+00 0.000e+00
3.247e-02 5.599e-01 1.096e-01 5.694e+00 0.000e+00
3.584e-02 4.829e-01 1.114e-01 4.310e+00 0.000e+00
3.744e-02 4.522e-01 1.122e-01 3.810e+00 0.000e+00
3.744e-02 4.522e-01 1.122e-01 2.237e+01 0.000e+00
3.957e-02 4.160e-01 1.131e-01 1.933e+01 0.000e+00
