# BARIUM SULFATE from NIST Database
4.500e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.714e-02 3.500e+00 0.000e+00 0.000e+00
1.600e+01 4.283e-03 3.500e+00 0.000e+00 0.000e+00
5.600e+01 4.285e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 5.830e+00 7.762e-03 6.613e+03 0.000e+00
1.020e-03 5.816e+00 7.995e-03 6.314e+03 0.000e+00
1.062e-03 5.786e+00 8.495e-03 5.745e+03 0.000e+00
1.062e-03 5.786e+00 8.495e-03 6.380e+03 0.000e+00
1.126e-03 5.740e+00 9.263e-03 5.603e+03 0.000e+00
1.137e-03 5.732e+00 9.393e-03 5.486e+03 0.000e+00
1.137e-03 5.732e+00 9.393e-03 5.739e+03 0.000e+00
1.243e-03 5.658e+00 1.068e-02 4.713e+03 0.000e+00
1.293e-03 5.622e+00 1.130e-02 4.324e+03 0.000e+00
1.293e-03 5.622e+00 1.130e-02 4.481e+03 0.000e+00
1.372e-03 5.564e+00 1.230e-02 3.907e+03 0.000e+00
1.500e-03 5.469e+00 1.396e-02 3.181e+03 0.000e+00
1.515e-03 5.458e+00 1.416e-02 3.106e+03 0.000e+00
1.672e-03 5.341e+00 1.623e-02 2.456e+03 0.000e+00
1.846e-03 5.212e+00 1.853e-02 1.940e+03 0.000e+00
2.000e-03 5.100e+00 2.057e-02 1.603e+03 0.000e+00
2.038e-03 5.072e+00 2.108e-02 1.529e+03 0.000e+00
2.250e-03 4.920e+00 2.390e-02 1.196e+03 0.000e+00
2.472e-03 4.763e+00 2.682e-02 9.461e+02 0.000e+00
2.472e-03 4.763e+00 2.682e-02 1.201e+03 0.000e+00
2.483e-03 4.755e+00 2.697e-02 1.188e+03 0.000e+00
2.741e-03 4.578e+00 3.030e-02 9.357e+02 0.000e+00
3.000e-03 4.405e+00 3.357e-02 7.507e+02 0.000e+00
3.026e-03 4.388e+00 3.389e-02 7.345e+02 0.000e+00
3.341e-03 4.187e+00 3.770e-02 5.708e+02 0.000e+00
3.688e-03 3.979e+00 4.170e-02 4.425e+02 0.000e+00
4.000e-03 3.805e+00 4.510e-02 3.586e+02 0.000e+00
4.071e-03 3.767e+00 4.585e-02 3.424e+02 0.000e+00
4.494e-03 3.552e+00 5.011e-02 2.642e+02 0.000e+00
4.961e-03 3.335e+00 5.442e-02 2.039e+02 0.000e+00
5.000e-03 3.318e+00 5.476e-02 1.997e+02 0.000e+00
5.247e-03 3.211e+00 5.686e-02 1.758e+02 0.000e+00
5.247e-03 3.211e+00 5.686e-02 4.088e+02 0.000e+00
5.477e-03 3.119e+00 5.873e-02 3.681e+02 0.000e+00
5.624e-03 3.060e+00 5.988e-02 3.450e+02 0.000e+00
5.624e-03 3.060e+00 5.988e-02 4.537e+02 0.000e+00
5.803e-03 2.986e+00 6.124e-02 4.194e+02 0.000e+00
5.989e-03 2.922e+00 6.260e-02 3.877e+02 0.000e+00
5.989e-03 2.922e+00 6.260e-02 4.419e+02 0.000e+00
6.000e-03 2.919e+00 6.268e-02 4.396e+02 0.000e+00
6.046e-03 2.906e+00 6.301e-02 4.311e+02 0.000e+00
6.675e-03 2.712e+00 6.725e-02 3.344e+02 0.000e+00
7.368e-03 2.493e+00 7.143e-02 2.595e+02 0.000e+00
8.000e-03 2.311e+00 7.488e-02 2.100e+02 0.000e+00
8.134e-03 2.276e+00 7.557e-02 2.009e+02 0.000e+00
8.979e-03 2.077e+00 7.968e-02 1.545e+02 0.000e+00
9.912e-03 1.891e+00 8.377e-02 1.188e+02 0.000e+00
1.000e-02 1.874e+00 8.414e-02 1.160e+02 0.000e+00
1.094e-02 1.714e+00 8.782e-02 9.094e+01 0.000e+00
1.208e-02 1.547e+00 9.184e-02 6.952e+01 0.000e+00
1.334e-02 1.390e+00 9.579e-02 5.312e+01 0.000e+00
1.472e-02 1.247e+00 9.959e-02 4.068e+01 0.000e+00
1.500e-02 1.221e+00 1.003e-01 3.865e+01 0.000e+00
1.625e-02 1.115e+00 1.033e-01 3.099e+01 0.000e+00
1.794e-02 9.939e-01 1.068e-01 2.358e+01 0.000e+00
1.980e-02 8.814e-01 1.100e-01 1.796e+01 0.000e+00
2.000e-02 8.704e-01 1.104e-01 1.746e+01 0.000e+00
2.186e-02 7.763e-01 1.131e-01 1.361e+01 0.000e+00
2.413e-02 6.796e-01 1.159e-01 1.032e+01 0.000e+00
2.664e-02 5.917e-01 1.184e-01 7.817e+00 0.000e+00
2.941e-02 5.128e-01 1.206e-01 5.923e+00 0.000e+00
3.000e-02 4.981e-01 1.210e-01 5.602e+00 0.000e+00
3.247e-02 4.429e-01 1.225e-01 4.477e+00 0.000e+00
