# BERYLLIUM OXIDE from NIST Database
3.010e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.000e+00 3.998e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.998e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.174e+00 1.298e-02 3.153e+03 0.000e+00
1.020e-03 1.169e+00 1.342e-02 2.990e+03 0.000e+00
1.126e-03 1.147e+00 1.581e-02 2.295e+03 0.000e+00
1.243e-03 1.123e+00 1.860e-02 1.759e+03 0.000e+00
1.372e-03 1.096e+00 2.177e-02 1.346e+03 0.000e+00
1.500e-03 1.069e+00 2.497e-02 1.054e+03 0.000e+00
1.515e-03 1.065e+00 2.535e-02 1.026e+03 0.000e+00
1.672e-03 1.030e+00 2.926e-02 7.800e+02 0.000e+00
1.846e-03 9.908e-01 3.353e-02 5.905e+02 0.000e+00
2.000e-03 9.559e-01 3.724e-02 4.705e+02 0.000e+00
2.038e-03 9.473e-01 3.814e-02 4.459e+02 0.000e+00
2.250e-03 9.003e-01 4.309e-02 3.360e+02 0.000e+00
2.483e-03 8.504e-01 4.831e-02 2.529e+02 0.000e+00
2.741e-03 7.978e-01 5.381e-02 1.898e+02 0.000e+00
3.000e-03 7.479e-01 5.904e-02 1.457e+02 0.000e+00
3.026e-03 7.431e-01 5.955e-02 1.421e+02 0.000e+00
3.341e-03 6.869e-01 6.545e-02 1.061e+02 0.000e+00
3.688e-03 6.306e-01 7.147e-02 7.909e+01 0.000e+00
4.000e-03 5.847e-01 7.649e-02 6.205e+01 0.000e+00
4.071e-03 5.749e-01 7.759e-02 5.887e+01 0.000e+00
4.494e-03 5.206e-01 8.375e-02 4.373e+01 0.000e+00
4.961e-03 4.687e-01 8.990e-02 3.243e+01 0.000e+00
5.000e-03 4.647e-01 9.039e-02 3.166e+01 0.000e+00
5.477e-03 4.199e-01 9.597e-02 2.399e+01 0.000e+00
6.000e-03 3.779e-01 1.014e-01 1.815e+01 0.000e+00
6.046e-03 3.746e-01 1.019e-01 1.773e+01 0.000e+00
6.675e-03 3.327e-01 1.076e-01 1.307e+01 0.000e+00
7.368e-03 2.946e-01 1.131e-01 9.634e+00 0.000e+00
8.000e-03 2.657e-01 1.175e-01 7.462e+00 0.000e+00
8.134e-03 2.601e-01 1.183e-01 7.086e+00 0.000e+00
8.979e-03 2.292e-01 1.232e-01 5.205e+00 0.000e+00
9.912e-03 2.015e-01 1.279e-01 3.818e+00 0.000e+00
1.000e-02 1.992e-01 1.283e-01 3.713e+00 0.000e+00
1.094e-02 1.769e-01 1.322e-01 2.798e+00 0.000e+00
1.208e-02 1.550e-01 1.362e-01 2.045e+00 0.000e+00
1.334e-02 1.354e-01 1.399e-01 1.492e+00 0.000e+00
1.472e-02 1.182e-01 1.433e-01 1.090e+00 0.000e+00
1.500e-02 1.152e-01 1.439e-01 1.026e+00 0.000e+00
1.625e-02 1.029e-01 1.464e-01 7.939e-01 0.000e+00
