# BLOOD (ICRP) from NIST Database
1.060e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.011e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 8.328e-03 3.500e+00 0.000e+00 0.000e+00
7.000e+00 2.116e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.746e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 8.047e-05 3.500e+00 0.000e+00 0.000e+00
1.500e+01 1.130e-05 3.500e+00 0.000e+00 0.000e+00
1.600e+01 5.769e-05 3.500e+00 0.000e+00 0.000e+00
1.700e+01 7.842e-05 3.500e+00 0.000e+00 0.000e+00
1.900e+01 4.169e-05 3.500e+00 0.000e+00 0.000e+00
2.600e+01 8.237e-06 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.348e+00 1.328e-02 3.830e+03 0.000e+00
1.020e-03 1.343e+00 1.375e-02 3.633e+03 0.000e+00
1.072e-03 1.332e+00 1.502e-02 3.181e+03 0.000e+00
1.072e-03 1.332e+00 1.502e-02 3.192e+03 0.000e+00
1.126e-03 1.321e+00 1.639e-02 2.801e+03 0.000e+00
1.243e-03 1.297e+00 1.949e-02 2.150e+03 0.000e+00
1.372e-03 1.270e+00 2.309e-02 1.647e+03 0.000e+00
1.500e-03 1.242e+00 2.681e-02 1.292e+03 0.000e+00
1.515e-03 1.239e+00 2.725e-02 1.257e+03 0.000e+00
1.672e-03 1.202e+00 3.192e-02 9.566e+02 0.000e+00
1.846e-03 1.159e+00 3.718e-02 7.249e+02 0.000e+00
2.000e-03 1.121e+00 4.184e-02 5.779e+02 0.000e+00
2.038e-03 1.111e+00 4.299e-02 5.478e+02 0.000e+00
2.145e-03 1.084e+00 4.622e-02 4.733e+02 0.000e+00
2.145e-03 1.084e+00 4.622e-02 4.740e+02 0.000e+00
2.250e-03 1.058e+00 4.935e-02 4.138e+02 0.000e+00
2.472e-03 1.004e+00 5.587e-02 3.158e+02 0.000e+00
2.472e-03 1.004e+00 5.587e-02 3.192e+02 0.000e+00
2.483e-03 1.001e+00 5.619e-02 3.152e+02 0.000e+00
2.741e-03 9.397e-01 6.349e-02 2.369e+02 0.000e+00
2.822e-03 9.210e-01 6.573e-02 2.176e+02 0.000e+00
2.822e-03 9.210e-01 6.573e-02 2.217e+02 0.000e+00
3.000e-03 8.810e-01 7.048e-02 1.858e+02 0.000e+00
3.026e-03 8.752e-01 7.116e-02 1.812e+02 0.000e+00
3.341e-03 8.083e-01 7.906e-02 1.357e+02 0.000e+00
3.607e-03 7.558e-01 8.529e-02 1.082e+02 0.000e+00
3.607e-03 7.558e-01 8.529e-02 1.100e+02 0.000e+00
3.688e-03 7.406e-01 8.709e-02 1.030e+02 0.000e+00
4.000e-03 6.852e-01 9.370e-02 8.098e+01 0.000e+00
4.071e-03 6.733e-01 9.512e-02 7.685e+01 0.000e+00
4.494e-03 6.076e-01 1.031e-01 5.725e+01 0.000e+00
4.961e-03 5.449e-01 1.108e-01 4.257e+01 0.000e+00
5.000e-03 5.401e-01 1.114e-01 4.158e+01 0.000e+00
5.477e-03 4.859e-01 1.181e-01 3.159e+01 0.000e+00
6.000e-03 4.354e-01 1.246e-01 2.395e+01 0.000e+00
6.046e-03 4.314e-01 1.251e-01 2.340e+01 0.000e+00
6.675e-03 3.815e-01 1.316e-01 1.731e+01 0.000e+00
7.112e-03 3.520e-01 1.355e-01 1.425e+01 0.000e+00
7.112e-03 3.520e-01 1.355e-01 1.441e+01 0.000e+00
7.368e-03 3.364e-01 1.376e-01 1.294e+01 0.000e+00
8.000e-03 3.025e-01 1.423e-01 1.005e+01 0.000e+00
8.134e-03 2.960e-01 1.432e-01 9.546e+00 0.000e+00
8.979e-03 2.602e-01 1.482e-01 7.035e+00 0.000e+00
9.912e-03 2.285e-01 1.528e-01 5.177e+00 0.000e+00
1.000e-02 2.259e-01 1.532e-01 5.036e+00 0.000e+00
1.094e-02 2.006e-01 1.570e-01 3.805e+00 0.000e+00
1.208e-02 1.759e-01 1.608e-01 2.789e+00 0.000e+00
1.334e-02 1.540e-01 1.644e-01 2.041e+00 0.000e+00
1.472e-02 1.347e-01 1.676e-01 1.496e+00 0.000e+00
1.500e-02 1.312e-01 1.682e-01 1.409e+00 0.000e+00
1.625e-02 1.175e-01 1.705e-01 1.093e+00 0.000e+00
1.794e-02 1.021e-01 1.732e-01 7.978e-01 0.000e+00
1.980e-02 8.849e-02 1.755e-01 5.822e-01 0.000e+00
2.000e-02 8.718e-02 1.757e-01 5.637e-01 0.000e+00
2.186e-02 7.630e-02 1.775e-01 4.239e-01 0.000e+00
2.413e-02 6.552e-02 1.791e-01 3.085e-01 0.000e+00
2.664e-02 5.600e-02 1.803e-01 2.242e-01 0.000e+00
2.941e-02 4.768e-02 1.811e-01 1.628e-01 0.000e+00
3.000e-02 4.614e-02 1.813e-01 1.526e-01 0.000e+00
3.247e-02 4.043e-02 1.816e-01 1.181e-01 0.000e+00
3.584e-02 3.418e-02 1.816e-01 8.564e-02 0.000e+00
3.957e-02 2.880e-02 1.812e-01 6.203e-02 0.000e+00
4.000e-02 2.826e-02 1.811e-01 5.989e-02 0.000e+00
4.368e-02 2.422e-02 1.804e-01 4.493e-02 0.000e+00
4.822e-02 2.032e-02 1.792e-01 3.252e-02 0.000e+00
5.000e-02 1.904e-02 1.787e-01 2.888e-02 0.000e+00
5.323e-02 1.702e-02 1.777e-01 2.353e-02 0.000e+00
5.876e-02 1.422e-02 1.759e-01 1.701e-02 0.000e+00
6.000e-02 1.369e-02 1.754e-01 1.589e-02 0.000e+00
6.486e-02 1.187e-02 1.737e-01 1.230e-02 0.000e+00
7.161e-02 9.880e-03 1.712e-01 8.890e-03 0.000e+00
7.905e-02 8.214e-03 1.685e-01 6.427e-03 0.000e+00
8.000e-02 8.032e-03 1.682e-01 6.180e-03 0.000e+00
