# BORON CARBIDE from NIST Database
2.520e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.000e+00 7.240e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 1.810e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.649e-01 1.536e-02 1.441e+03 0.000e+00
1.020e-03 8.600e-01 1.587e-02 1.361e+03 0.000e+00
1.126e-03 8.352e-01 1.872e-02 1.025e+03 0.000e+00
1.243e-03 8.093e-01 2.202e-02 7.707e+02 0.000e+00
1.372e-03 7.810e-01 2.579e-02 5.790e+02 0.000e+00
1.500e-03 7.525e-01 2.959e-02 4.463e+02 0.000e+00
1.515e-03 7.491e-01 3.004e-02 4.334e+02 0.000e+00
1.672e-03 7.133e-01 3.468e-02 3.241e+02 0.000e+00
1.846e-03 6.740e-01 3.976e-02 2.415e+02 0.000e+00
2.000e-03 6.403e-01 4.415e-02 1.901e+02 0.000e+00
2.038e-03 6.322e-01 4.521e-02 1.797e+02 0.000e+00
2.250e-03 5.889e-01 5.101e-02 1.334e+02 0.000e+00
2.483e-03 5.452e-01 5.705e-02 9.904e+01 0.000e+00
2.741e-03 5.014e-01 6.328e-02 7.332e+01 0.000e+00
3.000e-03 4.622e-01 6.903e-02 5.563e+01 0.000e+00
3.026e-03 4.586e-01 6.958e-02 5.418e+01 0.000e+00
3.341e-03 4.171e-01 7.583e-02 3.995e+01 0.000e+00
3.688e-03 3.780e-01 8.191e-02 2.942e+01 0.000e+00
4.000e-03 3.478e-01 8.672e-02 2.286e+01 0.000e+00
4.071e-03 3.416e-01 8.774e-02 2.164e+01 0.000e+00
4.494e-03 3.081e-01 9.328e-02 1.588e+01 0.000e+00
4.961e-03 2.777e-01 9.851e-02 1.164e+01 0.000e+00
5.000e-03 2.754e-01 9.892e-02 1.136e+01 0.000e+00
5.477e-03 2.502e-01 1.035e-01 8.518e+00 0.000e+00
6.000e-03 2.273e-01 1.079e-01 6.379e+00 0.000e+00
6.046e-03 2.255e-01 1.082e-01 6.226e+00 0.000e+00
6.675e-03 2.033e-01 1.128e-01 4.542e+00 0.000e+00
7.368e-03 1.832e-01 1.172e-01 3.312e+00 0.000e+00
8.000e-03 1.679e-01 1.208e-01 2.542e+00 0.000e+00
8.134e-03 1.649e-01 1.215e-01 2.410e+00 0.000e+00
8.979e-03 1.481e-01 1.257e-01 1.752e+00 0.000e+00
9.912e-03 1.326e-01 1.298e-01 1.272e+00 0.000e+00
1.000e-02 1.313e-01 1.302e-01 1.236e+00 0.000e+00
1.094e-02 1.182e-01 1.338e-01 9.235e-01 0.000e+00
1.208e-02 1.047e-01 1.377e-01 6.687e-01 0.000e+00
1.334e-02 9.225e-02 1.414e-01 4.835e-01 0.000e+00
1.472e-02 8.081e-02 1.447e-01 3.502e-01 0.000e+00
1.500e-02 7.873e-02 1.453e-01 3.292e-01 0.000e+00
1.625e-02 7.028e-02 1.478e-01 2.530e-01 0.000e+00
1.794e-02 6.074e-02 1.505e-01 1.826e-01 0.000e+00
1.980e-02 5.223e-02 1.528e-01 1.318e-01 0.000e+00
2.000e-02 5.142e-02 1.530e-01 1.275e-01 0.000e+00
2.186e-02 4.467e-02 1.546e-01 9.501e-02 0.000e+00
2.413e-02 3.805e-02 1.560e-01 6.847e-02 0.000e+00
2.664e-02 3.229e-02 1.570e-01 4.928e-02 0.000e+00
2.941e-02 2.731e-02 1.575e-01 3.546e-02 0.000e+00
3.000e-02 2.640e-02 1.576e-01 3.319e-02 0.000e+00
3.247e-02 2.303e-02 1.577e-01 2.549e-02 0.000e+00
3.584e-02 1.938e-02 1.575e-01 1.833e-02 0.000e+00
3.957e-02 1.626e-02 1.569e-01 1.317e-02 0.000e+00
4.000e-02 1.595e-02 1.569e-01 1.270e-02 0.000e+00
4.368e-02 1.362e-02 1.560e-01 9.462e-03 0.000e+00
4.822e-02 1.138e-02 1.548e-01 6.795e-03 0.000e+00
5.000e-02 1.064e-02 1.543e-01 6.018e-03 0.000e+00
5.323e-02 9.484e-03 1.533e-01 4.879e-03 0.000e+00
5.876e-02 7.892e-03 1.516e-01 3.503e-03 0.000e+00
6.000e-02 7.590e-03 1.512e-01 3.266e-03 0.000e+00
6.486e-02 6.556e-03 1.496e-01 2.515e-03 0.000e+00
