# BORON OXIDE from NIST Database
1.812e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.000e+00 2.873e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.309e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.285e+00 1.087e-02 3.545e+03 0.000e+00
1.020e-03 1.281e+00 1.126e-02 3.362e+03 0.000e+00
1.126e-03 1.257e+00 1.339e-02 2.579e+03 0.000e+00
1.243e-03 1.232e+00 1.589e-02 1.976e+03 0.000e+00
1.372e-03 1.205e+00 1.879e-02 1.512e+03 0.000e+00
1.500e-03 1.176e+00 2.177e-02 1.184e+03 0.000e+00
1.515e-03 1.172e+00 2.212e-02 1.152e+03 0.000e+00
1.672e-03 1.134e+00 2.587e-02 8.753e+02 0.000e+00
1.846e-03 1.091e+00 3.007e-02 6.624e+02 0.000e+00
2.000e-03 1.053e+00 3.381e-02 5.277e+02 0.000e+00
2.038e-03 1.044e+00 3.473e-02 5.001e+02 0.000e+00
2.250e-03 9.919e-01 3.984e-02 3.767e+02 0.000e+00
2.483e-03 9.364e-01 4.535e-02 2.835e+02 0.000e+00
2.741e-03 8.776e-01 5.127e-02 2.127e+02 0.000e+00
3.000e-03 8.216e-01 5.695e-02 1.633e+02 0.000e+00
3.026e-03 8.162e-01 5.751e-02 1.592e+02 0.000e+00
3.341e-03 7.532e-01 6.398e-02 1.188e+02 0.000e+00
3.688e-03 6.899e-01 7.059e-02 8.859e+01 0.000e+00
4.000e-03 6.384e-01 7.607e-02 6.949e+01 0.000e+00
4.071e-03 6.273e-01 7.726e-02 6.592e+01 0.000e+00
4.494e-03 5.666e-01 8.390e-02 4.896e+01 0.000e+00
4.961e-03 5.088e-01 9.044e-02 3.629e+01 0.000e+00
5.000e-03 5.044e-01 9.095e-02 3.544e+01 0.000e+00
5.477e-03 4.546e-01 9.680e-02 2.685e+01 0.000e+00
6.000e-03 4.084e-01 1.024e-01 2.030e+01 0.000e+00
6.046e-03 4.046e-01 1.029e-01 1.983e+01 0.000e+00
6.675e-03 3.588e-01 1.087e-01 1.462e+01 0.000e+00
7.368e-03 3.174e-01 1.142e-01 1.077e+01 0.000e+00
