# BRAIN (ICRP) from NIST Database
1.030e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.098e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 1.044e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 9.482e-04 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.611e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 8.003e-05 3.500e+00 0.000e+00 0.000e+00
1.200e+01 6.170e-06 3.500e+00 0.000e+00 0.000e+00
1.500e+01 1.143e-04 3.500e+00 0.000e+00 0.000e+00
1.600e+01 5.519e-05 3.500e+00 0.000e+00 0.000e+00
1.700e+01 6.657e-05 3.500e+00 0.000e+00 0.000e+00
1.900e+01 7.929e-05 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.335e+00 1.372e-02 3.739e+03 0.000e+00
1.020e-03 1.330e+00 1.421e-02 3.547e+03 0.000e+00
1.072e-03 1.319e+00 1.552e-02 3.106e+03 0.000e+00
1.072e-03 1.319e+00 1.552e-02 3.116e+03 0.000e+00
1.126e-03 1.308e+00 1.693e-02 2.734e+03 0.000e+00
1.243e-03 1.284e+00 2.012e-02 2.099e+03 0.000e+00
1.305e-03 1.271e+00 2.188e-02 1.841e+03 0.000e+00
1.305e-03 1.271e+00 2.188e-02 1.842e+03 0.000e+00
1.372e-03 1.257e+00 2.383e-02 1.608e+03 0.000e+00
1.500e-03 1.229e+00 2.765e-02 1.261e+03 0.000e+00
1.515e-03 1.225e+00 2.810e-02 1.227e+03 0.000e+00
1.672e-03 1.188e+00 3.290e-02 9.337e+02 0.000e+00
1.846e-03 1.146e+00 3.828e-02 7.074e+02 0.000e+00
2.000e-03 1.108e+00 4.305e-02 5.640e+02 0.000e+00
2.038e-03 1.098e+00 4.422e-02 5.346e+02 0.000e+00
2.145e-03 1.071e+00 4.753e-02 4.618e+02 0.000e+00
2.145e-03 1.071e+00 4.753e-02 4.697e+02 0.000e+00
2.250e-03 1.046e+00 5.072e-02 4.102e+02 0.000e+00
2.472e-03 9.914e-01 5.737e-02 3.133e+02 0.000e+00
2.472e-03 9.914e-01 5.737e-02 3.166e+02 0.000e+00
2.483e-03 9.888e-01 5.769e-02 3.126e+02 0.000e+00
2.741e-03 9.280e-01 6.512e-02 2.351e+02 0.000e+00
2.822e-03 9.094e-01 6.739e-02 2.160e+02 0.000e+00
