# CADMIUM TELLURIDE from NIST Database
6.200e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.800e+01 4.166e-03 3.500e+00 0.000e+00 0.000e+00
5.200e+01 4.166e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.946e+00 5.041e-03 7.919e+03 0.000e+00
1.006e-03 7.942e+00 5.089e-03 7.817e+03 0.000e+00
1.006e-03 7.942e+00 5.089e-03 8.005e+03 0.000e+00
1.020e-03 7.930e+00 5.201e-03 7.762e+03 0.000e+00
1.126e-03 7.845e+00 6.072e-03 6.226e+03 0.000e+00
1.243e-03 7.749e+00 7.065e-03 4.993e+03 0.000e+00
1.372e-03 7.640e+00 8.182e-03 4.006e+03 0.000e+00
1.500e-03 7.527e+00 9.294e-03 3.283e+03 0.000e+00
1.515e-03 7.514e+00 9.424e-03 3.206e+03 0.000e+00
1.672e-03 7.370e+00 1.077e-02 2.536e+03 0.000e+00
1.846e-03 7.208e+00 1.225e-02 2.005e+03 0.000e+00
2.000e-03 7.063e+00 1.353e-02 1.657e+03 0.000e+00
2.038e-03 7.027e+00 1.385e-02 1.582e+03 0.000e+00
2.250e-03 6.829e+00 1.559e-02 1.239e+03 0.000e+00
2.483e-03 6.615e+00 1.748e-02 9.710e+02 0.000e+00
2.741e-03 6.382e+00 1.951e-02 7.605e+02 0.000e+00
3.000e-03 6.155e+00 2.151e-02 6.085e+02 0.000e+00
3.026e-03 6.132e+00 2.170e-02 5.953e+02 0.000e+00
3.341e-03 5.868e+00 2.404e-02 4.628e+02 0.000e+00
3.537e-03 5.709e+00 2.546e-02 4.003e+02 0.000e+00
3.537e-03 5.709e+00 2.546e-02 7.724e+02 0.000e+00
3.688e-03 5.591e+00 2.652e-02 6.963e+02 0.000e+00
3.727e-03 5.561e+00 2.679e-02 6.782e+02 0.000e+00
3.727e-03 5.561e+00 2.679e-02 8.544e+02 0.000e+00
4.000e-03 5.352e+00 2.866e-02 7.176e+02 0.000e+00
4.018e-03 5.338e+00 2.878e-02 7.096e+02 0.000e+00
4.018e-03 5.338e+00 2.878e-02 7.892e+02 0.000e+00
4.071e-03 5.299e+00 2.914e-02 7.635e+02 0.000e+00
4.341e-03 5.105e+00 3.091e-02 6.493e+02 0.000e+00
4.341e-03 5.105e+00 3.091e-02 9.259e+02 0.000e+00
4.494e-03 5.000e+00 3.189e-02 8.562e+02 0.000e+00
4.612e-03 4.921e+00 3.264e-02 8.074e+02 0.000e+00
4.612e-03 4.921e+00 3.264e-02 9.376e+02 0.000e+00
4.773e-03 4.814e+00 3.365e-02 8.633e+02 0.000e+00
4.939e-03 4.707e+00 3.468e-02 7.950e+02 0.000e+00
4.939e-03 4.707e+00 3.468e-02 8.605e+02 0.000e+00
4.961e-03 4.693e+00 3.481e-02 8.510e+02 0.000e+00
5.000e-03 4.669e+00 3.505e-02 8.345e+02 0.000e+00
5.477e-03 4.383e+00 3.788e-02 6.616e+02 0.000e+00
6.000e-03 4.097e+00 4.085e-02 5.244e+02 0.000e+00
6.046e-03 4.074e+00 4.111e-02 5.140e+02 0.000e+00
6.675e-03 3.766e+00 4.452e-02 3.961e+02 0.000e+00
7.368e-03 3.467e+00 4.810e-02 3.054e+02 0.000e+00
8.000e-03 3.226e+00 5.121e-02 2.459e+02 0.000e+00
8.134e-03 3.179e+00 5.185e-02 2.352e+02 0.000e+00
8.979e-03 2.904e+00 5.573e-02 1.806e+02 0.000e+00
9.912e-03 2.646e+00 5.971e-02 1.386e+02 0.000e+00
1.000e-02 2.624e+00 6.007e-02 1.354e+02 0.000e+00
1.094e-02 2.404e+00 6.373e-02 1.059e+02 0.000e+00
1.208e-02 2.177e+00 6.778e-02 8.083e+01 0.000e+00
1.334e-02 1.963e+00 7.180e-02 6.165e+01 0.000e+00
1.472e-02 1.763e+00 7.572e-02 4.712e+01 0.000e+00
1.500e-02 1.726e+00 7.645e-02 4.476e+01 0.000e+00
1.625e-02 1.574e+00 7.953e-02 3.584e+01 0.000e+00
1.794e-02 1.396e+00 8.322e-02 2.723e+01 0.000e+00
1.980e-02 1.231e+00 8.676e-02 2.071e+01 0.000e+00
2.000e-02 1.214e+00 8.712e-02 2.014e+01 0.000e+00
2.186e-02 1.077e+00 9.019e-02 1.568e+01 0.000e+00
2.413e-02 9.383e-01 9.344e-02 1.188e+01 0.000e+00
2.664e-02 8.143e-01 9.650e-02 8.991e+00 0.000e+00
2.671e-02 8.112e-01 9.657e-02 8.924e+00 0.000e+00
2.671e-02 8.112e-01 9.657e-02 2.852e+01 0.000e+00
2.941e-02 7.056e-01 9.930e-02 2.216e+01 0.000e+00
3.000e-02 6.855e-01 9.984e-02 2.104e+01 0.000e+00
3.181e-02 6.292e-01 1.014e-01 1.801e+01 0.000e+00
3.181e-02 6.292e-01 1.014e-01 3.421e+01 0.000e+00
3.247e-02 6.107e-01 1.019e-01 3.244e+01 0.000e+00
3.584e-02 5.276e-01 1.042e-01 2.507e+01 0.000e+00
3.957e-02 4.547e-01 1.063e-01 1.930e+01 0.000e+00
4.000e-02 4.473e-01 1.065e-01 1.875e+01 0.000e+00
4.368e-02 3.912e-01 1.081e-01 1.480e+01 0.000e+00
4.822e-02 3.356e-01 1.096e-01 1.131e+01 0.000e+00
5.000e-02 3.170e-01 1.100e-01 1.024e+01 0.000e+00
5.323e-02 2.868e-01 1.108e-01 8.623e+00 0.000e+00
5.876e-02 2.441e-01 1.116e-01 6.564e+00 0.000e+00
6.000e-02 2.358e-01 1.117e-01 6.195e+00 0.000e+00
6.486e-02 2.069e-01 1.121e-01 4.987e+00 0.000e+00
7.161e-02 1.749e-01 1.122e-01 3.778e+00 0.000e+00
7.905e-02 1.475e-01 1.121e-01 2.858e+00 0.000e+00
8.000e-02 1.444e-01 1.120e-01 2.763e+00 0.000e+00
8.726e-02 1.242e-01 1.115e-01 2.159e+00 0.000e+00
9.633e-02 1.044e-01 1.107e-01 1.628e+00 0.000e+00
1.000e-01 9.781e-02 1.103e-01 1.463e+00 0.000e+00
1.063e-01 8.783e-02 1.096e-01 1.228e+00 0.000e+00
1.174e-01 7.367e-02 1.082e-01 9.234e-01 0.000e+00
1.296e-01 6.178e-02 1.065e-01 6.948e-01 0.000e+00
1.431e-01 5.172e-02 1.047e-01 5.222e-01 0.000e+00
1.500e-01 4.751e-02 1.038e-01 4.560e-01 0.000e+00
1.579e-01 4.329e-02 1.027e-01 3.933e-01 0.000e+00
1.743e-01 3.615e-02 1.005e-01 2.959e-01 0.000e+00
1.925e-01 3.011e-02 9.810e-02 2.225e-01 0.000e+00
2.000e-01 2.805e-02 9.715e-02 1.994e-01 0.000e+00
2.125e-01 2.505e-02 9.561e-02 1.677e-01 0.000e+00
2.345e-01 2.083e-02 9.303e-02 1.267e-01 0.000e+00
2.589e-01 1.728e-02 9.034e-02 9.580e-02 0.000e+00
2.858e-01 1.432e-02 8.760e-02 7.267e-02 0.000e+00
3.000e-01 1.305e-02 8.624e-02 6.353e-02 0.000e+00
3.155e-01 1.185e-02 8.482e-02 5.530e-02 0.000e+00
3.483e-01 9.807e-03 8.200e-02 4.224e-02 0.000e+00
3.845e-01 8.106e-03 7.917e-02 3.240e-02 0.000e+00
4.000e-01 7.510e-03 7.803e-02 2.917e-02 0.000e+00
4.245e-01 6.693e-03 7.632e-02 2.496e-02 0.000e+00
4.686e-01 5.523e-03 7.348e-02 1.934e-02 0.000e+00
5.000e-01 4.868e-03 7.164e-02 1.641e-02 0.000e+00
5.173e-01 4.555e-03 7.067e-02 1.507e-02 0.000e+00
5.710e-01 3.757e-03 6.790e-02 1.183e-02 0.000e+00
6.000e-01 3.410e-03 6.652e-02 1.049e-02 0.000e+00
6.304e-01 3.095e-03 6.515e-02 9.321e-03 0.000e+00
6.959e-01 2.549e-03 6.243e-02 7.391e-03 0.000e+00
7.682e-01 2.098e-03 5.974e-02 5.919e-03 0.000e+00
8.000e-01 1.937e-03 5.864e-02 5.425e-03 0.000e+00
8.480e-01 1.726e-03 5.706e-02 4.804e-03 0.000e+00
9.361e-01 1.420e-03 5.446e-02 3.914e-03 0.000e+00
1.000e+00 1.246e-03 5.279e-02 3.387e-03 0.000e+00
1.022e+00 1.193e-03 5.226e-02 3.223e-03 0.000e+00
1.033e+00 1.168e-03 5.199e-02 3.147e-03 4.270e-08
1.141e+00 9.593e-04 4.952e-02 2.572e-03 3.540e-05
1.250e+00 8.002e-04 4.727e-02 2.174e-03 1.708e-04
1.259e+00 7.888e-04 4.710e-02 2.146e-03 1.864e-04
1.390e+00 6.477e-04 4.475e-02 1.789e-03 4.766e-04
1.500e+00 5.566e-04 4.300e-02 1.557e-03 7.939e-04
1.535e+00 5.316e-04 4.247e-02 1.494e-03 9.060e-04
1.694e+00 4.369e-04 4.027e-02 1.256e-03 1.469e-03
1.870e+00 3.588e-04 3.813e-02 1.061e-03 2.167e-03
2.000e+00 3.138e-04 3.672e-02 9.484e-04 2.712e-03
2.044e+00 3.004e-04 3.627e-02 9.151e-04 2.900e-03
2.065e+00 2.944e-04 3.606e-02 8.999e-04 2.989e-03
2.279e+00 2.418e-04 3.408e-02 7.676e-04 3.909e-03
2.516e+00 1.984e-04 3.215e-02 6.573e-04 4.926e-03
2.778e+00 1.628e-04 3.030e-02 5.650e-04 6.029e-03
3.000e+00 1.397e-04 2.891e-02 5.038e-04 6.938e-03
3.066e+00 1.337e-04 2.853e-02 4.879e-04 7.204e-03
3.385e+00 1.097e-04 2.682e-02 4.226e-04 8.453e-03
3.737e+00 9.005e-05 2.520e-02 3.673e-04 9.770e-03
4.000e+00 7.861e-05 2.412e-02 3.342e-04 1.071e-02
4.125e+00 7.392e-05 2.365e-02 3.203e-04 1.115e-02
4.554e+00 6.067e-05 2.217e-02 2.801e-04 1.259e-02
5.000e+00 5.033e-05 2.084e-02 2.473e-04 1.399e-02
5.027e+00 4.979e-05 2.076e-02 2.456e-04 1.407e-02
5.549e+00 4.086e-05 1.942e-02 2.159e-04 1.560e-02
6.000e+00 3.495e-05 1.842e-02 1.953e-04 1.683e-02
6.126e+00 3.353e-05 1.816e-02 1.902e-04 1.716e-02
6.762e+00 2.752e-05 1.696e-02 1.680e-04 1.878e-02
7.000e+00 2.568e-05 1.656e-02 1.609e-04 1.936e-02
7.465e+00 2.258e-05 1.582e-02 1.486e-04 2.045e-02
8.000e+00 1.966e-05 1.507e-02 1.366e-04 2.164e-02
8.241e+00 1.853e-05 1.475e-02 1.318e-04 2.216e-02
9.000e+00 1.554e-05 1.385e-02 1.185e-04 2.371e-02
9.097e+00 1.521e-05 1.375e-02 1.170e-04 2.391e-02
1.000e+01 1.259e-05 1.283e-02 1.046e-04 2.562e-02
1.004e+01 1.249e-05 1.280e-02 1.041e-04 2.569e-02
1.100e+01 1.040e-05 1.197e-02 9.359e-05 2.737e-02
1.109e+01 1.023e-05 1.190e-02 9.271e-05 2.752e-02
1.200e+01 8.739e-06 1.123e-02 8.463e-05 2.899e-02
1.224e+01 8.400e-06 1.106e-02 8.272e-05 2.936e-02
1.300e+01 7.447e-06 1.058e-02 7.721e-05 3.049e-02
1.351e+01 6.895e-06 1.028e-02 7.392e-05 3.121e-02
1.400e+01 6.421e-06 1.001e-02 7.101e-05 3.187e-02
1.491e+01 5.662e-06 9.543e-03 6.611e-05 3.304e-02
1.500e+01 5.594e-06 9.499e-03 6.566e-05 3.315e-02
1.600e+01 4.916e-06 9.048e-03 6.110e-05 3.435e-02
1.646e+01 4.645e-06 8.855e-03 5.920e-05 3.487e-02
1.800e+01 3.884e-06 8.268e-03 5.361e-05 3.653e-02
