# CADMIUM TUNGSTATE from NIST Database
7.900e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.110e-02 3.500e+00 0.000e+00 0.000e+00
4.800e+01 2.776e-03 3.500e+00 0.000e+00 0.000e+00
7.400e+01 2.776e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.550e+00 5.406e-03 4.981e+03 0.000e+00
1.020e-03 8.533e+00 5.575e-03 4.765e+03 0.000e+00
1.126e-03 8.450e+00 6.503e-03 3.823e+03 0.000e+00
1.243e-03 8.362e+00 7.571e-03 3.068e+03 0.000e+00
1.372e-03 8.264e+00 8.782e-03 2.463e+03 0.000e+00
1.500e-03 8.162e+00 9.998e-03 2.020e+03 0.000e+00
1.515e-03 8.150e+00 1.014e-02 1.974e+03 0.000e+00
1.672e-03 8.019e+00 1.163e-02 1.569e+03 0.000e+00
1.809e-03 7.899e+00 1.293e-02 1.305e+03 0.000e+00
1.809e-03 7.899e+00 1.293e-02 1.411e+03 0.000e+00
1.846e-03 7.867e+00 1.328e-02 1.770e+03 0.000e+00
1.872e-03 7.844e+00 1.352e-02 2.142e+03 0.000e+00
1.872e-03 7.844e+00 1.352e-02 2.273e+03 0.000e+00
2.000e-03 7.730e+00 1.475e-02 2.577e+03 0.000e+00
2.038e-03 7.696e+00 1.511e-02 2.458e+03 0.000e+00
2.250e-03 7.506e+00 1.713e-02 1.917e+03 0.000e+00
2.281e-03 7.479e+00 1.743e-02 1.853e+03 0.000e+00
2.281e-03 7.479e+00 1.743e-02 2.083e+03 0.000e+00
2.483e-03 7.307e+00 1.933e-02 1.691e+03 0.000e+00
2.575e-03 7.229e+00 2.020e-02 1.547e+03 0.000e+00
2.575e-03 7.229e+00 2.020e-02 1.625e+03 0.000e+00
2.741e-03 7.085e+00 2.175e-02 1.401e+03 0.000e+00
2.820e-03 7.017e+00 2.248e-02 1.309e+03 0.000e+00
2.820e-03 7.017e+00 2.248e-02 1.356e+03 0.000e+00
3.000e-03 6.861e+00 2.413e-02 1.171e+03 0.000e+00
3.026e-03 6.839e+00 2.437e-02 1.147e+03 0.000e+00
3.341e-03 6.577e+00 2.719e-02 9.006e+02 0.000e+00
3.537e-03 6.419e+00 2.890e-02 7.834e+02 0.000e+00
3.537e-03 6.419e+00 2.890e-02 1.031e+03 0.000e+00
3.688e-03 6.301e+00 3.019e-02 9.317e+02 0.000e+00
3.727e-03 6.271e+00 3.052e-02 9.080e+02 0.000e+00
3.727e-03 6.271e+00 3.052e-02 1.025e+03 0.000e+00
4.000e-03 6.062e+00 3.279e-02 8.634e+02 0.000e+00
4.018e-03 6.048e+00 3.293e-02 8.538e+02 0.000e+00
4.018e-03 6.048e+00 3.293e-02 9.068e+02 0.000e+00
4.071e-03 6.008e+00 3.336e-02 8.776e+02 0.000e+00
4.494e-03 5.703e+00 3.670e-02 6.856e+02 0.000e+00
4.961e-03 5.387e+00 4.018e-02 5.356e+02 0.000e+00
5.000e-03 5.362e+00 4.046e-02 5.252e+02 0.000e+00
5.477e-03 5.062e+00 4.377e-02 4.157e+02 0.000e+00
6.000e-03 4.758e+00 4.717e-02 3.290e+02 0.000e+00
6.046e-03 4.732e+00 4.746e-02 3.225e+02 0.000e+00
6.675e-03 4.403e+00 5.122e-02 2.492e+02 0.000e+00
7.368e-03 4.078e+00 5.503e-02 1.927e+02 0.000e+00
8.000e-03 3.810e+00 5.821e-02 1.555e+02 0.000e+00
8.134e-03 3.757e+00 5.886e-02 1.488e+02 0.000e+00
8.979e-03 3.444e+00 6.268e-02 1.146e+02 0.000e+00
9.912e-03 3.143e+00 6.650e-02 8.818e+01 0.000e+00
1.000e-02 3.117e+00 6.684e-02 8.614e+01 0.000e+00
1.021e-02 3.057e+00 6.763e-02 8.155e+01 0.000e+00
1.021e-02 3.057e+00 6.763e-02 1.537e+02 0.000e+00
1.094e-02 2.855e+00 7.030e-02 1.276e+02 0.000e+00
1.154e-02 2.704e+00 7.234e-02 1.104e+02 0.000e+00
1.154e-02 2.704e+00 7.234e-02 1.422e+02 0.000e+00
1.208e-02 2.580e+00 7.406e-02 1.271e+02 0.000e+00
1.210e-02 2.575e+00 7.412e-02 1.265e+02 0.000e+00
1.210e-02 2.575e+00 7.412e-02 1.427e+02 0.000e+00
1.334e-02 2.317e+00 7.777e-02 1.110e+02 0.000e+00
1.472e-02 2.071e+00 8.143e-02 8.621e+01 0.000e+00
1.500e-02 2.026e+00 8.212e-02 8.213e+01 0.000e+00
1.625e-02 1.842e+00 8.505e-02 6.636e+01 0.000e+00
1.794e-02 1.632e+00 8.860e-02 5.098e+01 0.000e+00
1.980e-02 1.442e+00 9.206e-02 3.920e+01 0.000e+00
2.000e-02 1.423e+00 9.240e-02 3.817e+01 0.000e+00
2.186e-02 1.270e+00 9.541e-02 3.001e+01 0.000e+00
2.413e-02 1.116e+00 9.862e-02 2.297e+01 0.000e+00
2.664e-02 9.773e-01 1.016e-01 1.758e+01 0.000e+00
2.671e-02 9.737e-01 1.017e-01 1.746e+01 0.000e+00
2.671e-02 9.737e-01 1.017e-01 3.051e+01 0.000e+00
2.941e-02 8.532e-01 1.044e-01 2.369e+01 0.000e+00
3.000e-02 8.299e-01 1.049e-01 2.248e+01 0.000e+00
3.247e-02 7.420e-01 1.069e-01 1.820e+01 0.000e+00
3.584e-02 6.428e-01 1.091e-01 1.397e+01 0.000e+00
3.957e-02 5.545e-01 1.111e-01 1.069e+01 0.000e+00
4.000e-02 5.455e-01 1.113e-01 1.038e+01 0.000e+00
4.368e-02 4.766e-01 1.127e-01 8.160e+00 0.000e+00
4.822e-02 4.083e-01 1.140e-01 6.217e+00 0.000e+00
5.000e-02 3.856e-01 1.143e-01 5.625e+00 0.000e+00
5.323e-02 3.491e-01 1.149e-01 4.729e+00 0.000e+00
5.876e-02 2.979e-01 1.155e-01 3.593e+00 0.000e+00
6.000e-02 2.880e-01 1.156e-01 3.390e+00 0.000e+00
6.486e-02 2.537e-01 1.158e-01 2.726e+00 0.000e+00
6.953e-02 2.264e-01 1.158e-01 2.244e+00 0.000e+00
6.953e-02 2.264e-01 1.158e-01 6.674e+00 0.000e+00
7.161e-02 2.157e-01 1.158e-01 6.164e+00 0.000e+00
7.905e-02 1.832e-01 1.154e-01 4.727e+00 0.000e+00
8.000e-02 1.796e-01 1.154e-01 4.578e+00 0.000e+00
8.726e-02 1.552e-01 1.148e-01 3.635e+00 0.000e+00
9.633e-02 1.311e-01 1.138e-01 2.796e+00 0.000e+00
1.000e-01 1.229e-01 1.134e-01 2.531e+00 0.000e+00
1.063e-01 1.105e-01 1.126e-01 2.148e+00 0.000e+00
1.174e-01 9.283e-02 1.112e-01 1.642e+00 0.000e+00
1.296e-01 7.790e-02 1.094e-01 1.253e+00 0.000e+00
1.431e-01 6.526e-02 1.075e-01 9.550e-01 0.000e+00
1.500e-01 5.997e-02 1.065e-01 8.392e-01 0.000e+00
1.579e-01 5.468e-02 1.054e-01 7.289e-01 0.000e+00
1.743e-01 4.575e-02 1.031e-01 5.560e-01 0.000e+00
1.925e-01 3.820e-02 1.006e-01 4.238e-01 0.000e+00
2.000e-01 3.563e-02 9.963e-02 3.819e-01 0.000e+00
2.125e-01 3.189e-02 9.804e-02 3.237e-01 0.000e+00
2.345e-01 2.661e-02 9.537e-02 2.478e-01 0.000e+00
2.589e-01 2.215e-02 9.261e-02 1.897e-01 0.000e+00
2.858e-01 1.842e-02 8.979e-02 1.456e-01 0.000e+00
3.000e-01 1.682e-02 8.838e-02 1.281e-01 0.000e+00
3.155e-01 1.530e-02 8.692e-02 1.121e-01 0.000e+00
3.483e-01 1.270e-02 8.403e-02 8.660e-02 0.000e+00
3.845e-01 1.052e-02 8.112e-02 6.715e-02 0.000e+00
4.000e-01 9.757e-03 7.995e-02 6.073e-02 0.000e+00
4.245e-01 8.708e-03 7.820e-02 5.228e-02 0.000e+00
4.686e-01 7.203e-03 7.530e-02 4.091e-02 0.000e+00
5.000e-01 6.357e-03 7.341e-02 3.493e-02 0.000e+00
5.173e-01 5.953e-03 7.243e-02 3.217e-02 0.000e+00
5.710e-01 4.917e-03 6.958e-02 2.543e-02 0.000e+00
6.000e-01 4.467e-03 6.816e-02 2.265e-02 0.000e+00
6.304e-01 4.058e-03 6.675e-02 2.021e-02 0.000e+00
6.959e-01 3.348e-03 6.396e-02 1.615e-02 0.000e+00
7.682e-01 2.760e-03 6.122e-02 1.299e-02 0.000e+00
8.000e-01 2.549e-03 6.011e-02 1.191e-02 0.000e+00
8.480e-01 2.274e-03 5.854e-02 1.052e-02 0.000e+00
9.361e-01 1.873e-03 5.590e-02 8.562e-03 0.000e+00
1.000e+00 1.645e-03 5.415e-02 7.474e-03 0.000e+00
1.022e+00 1.576e-03 5.357e-02 7.148e-03 0.000e+00
1.033e+00 1.543e-03 5.329e-02 6.994e-03 5.191e-08
1.141e+00 1.268e-03 5.074e-02 5.741e-03 4.437e-05
1.250e+00 1.059e-03 4.848e-02 4.820e-03 2.189e-04
1.259e+00 1.044e-03 4.831e-02 4.755e-03 2.392e-04
1.390e+00 8.583e-04 4.591e-02 3.954e-03 6.180e-04
1.500e+00 7.382e-04 4.410e-02 3.440e-03 1.027e-03
