# CALCIUM CARBONATE from NIST Database
2.800e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 9.992e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.997e-02 3.500e+00 0.000e+00 0.000e+00
2.000e+01 9.992e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.284e+00 1.158e-02 4.413e+03 0.000e+00
1.020e-03 2.275e+00 1.193e-02 4.189e+03 0.000e+00
1.126e-03 2.232e+00 1.381e-02 3.230e+03 0.000e+00
1.243e-03 2.186e+00 1.598e-02 2.489e+03 0.000e+00
1.372e-03 2.137e+00 1.844e-02 1.916e+03 0.000e+00
1.500e-03 2.088e+00 2.092e-02 1.511e+03 0.000e+00
1.515e-03 2.082e+00 2.121e-02 1.471e+03 0.000e+00
1.672e-03 2.020e+00 2.427e-02 1.125e+03 0.000e+00
1.846e-03 1.952e+00 2.767e-02 8.576e+02 0.000e+00
2.000e-03 1.892e+00 3.069e-02 6.880e+02 0.000e+00
2.038e-03 1.878e+00 3.144e-02 6.528e+02 0.000e+00
2.250e-03 1.798e+00 3.562e-02 4.953e+02 0.000e+00
2.483e-03 1.714e+00 4.019e-02 3.758e+02 0.000e+00
2.741e-03 1.625e+00 4.517e-02 2.845e+02 0.000e+00
3.000e-03 1.540e+00 5.004e-02 2.205e+02 0.000e+00
3.026e-03 1.532e+00 5.052e-02 2.151e+02 0.000e+00
3.341e-03 1.436e+00 5.618e-02 1.621e+02 0.000e+00
3.688e-03 1.337e+00 6.208e-02 1.221e+02 0.000e+00
4.000e-03 1.252e+00 6.707e-02 9.667e+01 0.000e+00
4.038e-03 1.242e+00 6.766e-02 9.408e+01 0.000e+00
4.038e-03 1.242e+00 6.766e-02 4.563e+02 0.000e+00
4.071e-03 1.234e+00 6.816e-02 4.472e+02 0.000e+00
4.494e-03 1.133e+00 7.436e-02 3.489e+02 0.000e+00
4.961e-03 1.036e+00 8.059e-02 2.709e+02 0.000e+00
5.000e-03 1.028e+00 8.108e-02 2.654e+02 0.000e+00
5.477e-03 9.425e-01 8.674e-02 2.085e+02 0.000e+00
6.000e-03 8.604e-01 9.227e-02 1.631e+02 0.000e+00
6.046e-03 8.537e-01 9.273e-02 1.597e+02 0.000e+00
6.675e-03 7.712e-01 9.852e-02 1.222e+02 0.000e+00
7.368e-03 6.955e-01 1.040e-01 9.340e+01 0.000e+00
8.000e-03 6.375e-01 1.084e-01 7.452e+01 0.000e+00
8.134e-03 6.263e-01 1.093e-01 7.118e+01 0.000e+00
8.979e-03 5.634e-01 1.142e-01 5.406e+01 0.000e+00
9.912e-03 5.059e-01 1.189e-01 4.093e+01 0.000e+00
1.000e-02 5.010e-01 1.193e-01 3.992e+01 0.000e+00
1.094e-02 4.533e-01 1.233e-01 3.094e+01 0.000e+00
1.208e-02 4.045e-01 1.276e-01 2.331e+01 0.000e+00
1.334e-02 3.593e-01 1.316e-01 1.751e+01 0.000e+00
