# CALCIUM FLUORIDE from NIST Database
3.180e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
9.000e+00 2.562e-02 3.500e+00 0.000e+00 0.000e+00
2.000e+01 1.281e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.627e+00 1.080e-02 5.245e+03 0.000e+00
1.020e-03 2.618e+00 1.110e-02 4.985e+03 0.000e+00
1.126e-03 2.570e+00 1.272e-02 3.868e+03 0.000e+00
1.243e-03 2.520e+00 1.456e-02 2.999e+03 0.000e+00
1.372e-03 2.467e+00 1.662e-02 2.322e+03 0.000e+00
1.500e-03 2.414e+00 1.868e-02 1.840e+03 0.000e+00
1.515e-03 2.407e+00 1.892e-02 1.792e+03 0.000e+00
1.672e-03 2.341e+00 2.143e-02 1.377e+03 0.000e+00
1.846e-03 2.268e+00 2.421e-02 1.054e+03 0.000e+00
2.000e-03 2.204e+00 2.669e-02 8.487e+02 0.000e+00
2.038e-03 2.188e+00 2.731e-02 8.059e+02 0.000e+00
2.250e-03 2.103e+00 3.076e-02 6.137e+02 0.000e+00
2.483e-03 2.012e+00 3.457e-02 4.673e+02 0.000e+00
2.741e-03 1.916e+00 3.878e-02 3.551e+02 0.000e+00
3.000e-03 1.823e+00 4.295e-02 2.760e+02 0.000e+00
3.026e-03 1.814e+00 4.336e-02 2.694e+02 0.000e+00
3.341e-03 1.708e+00 4.830e-02 2.036e+02 0.000e+00
3.688e-03 1.597e+00 5.354e-02 1.539e+02 0.000e+00
4.000e-03 1.501e+00 5.805e-02 1.221e+02 0.000e+00
4.038e-03 1.489e+00 5.859e-02 1.189e+02 0.000e+00
4.038e-03 1.489e+00 5.859e-02 5.833e+02 0.000e+00
4.071e-03 1.479e+00 5.905e-02 5.716e+02 0.000e+00
4.494e-03 1.363e+00 6.480e-02 4.463e+02 0.000e+00
4.961e-03 1.251e+00 7.072e-02 3.467e+02 0.000e+00
5.000e-03 1.242e+00 7.119e-02 3.397e+02 0.000e+00
5.477e-03 1.140e+00 7.673e-02 2.670e+02 0.000e+00
6.000e-03 1.043e+00 8.225e-02 2.089e+02 0.000e+00
6.046e-03 1.035e+00 8.271e-02 2.046e+02 0.000e+00
6.675e-03 9.361e-01 8.858e-02 1.566e+02 0.000e+00
7.368e-03 8.449e-01 9.426e-02 1.197e+02 0.000e+00
8.000e-03 7.747e-01 9.881e-02 9.555e+01 0.000e+00
8.134e-03 7.611e-01 9.971e-02 9.127e+01 0.000e+00
8.979e-03 6.846e-01 1.049e-01 6.934e+01 0.000e+00
9.912e-03 6.144e-01 1.098e-01 5.252e+01 0.000e+00
1.000e-02 6.085e-01 1.102e-01 5.123e+01 0.000e+00
1.094e-02 5.502e-01 1.144e-01 3.971e+01 0.000e+00
1.208e-02 4.906e-01 1.188e-01 2.992e+01 0.000e+00
1.334e-02 4.355e-01 1.229e-01 2.249e+01 0.000e+00
1.472e-02 3.848e-01 1.269e-01 1.691e+01 0.000e+00
1.500e-02 3.755e-01 1.276e-01 1.600e+01 0.000e+00
1.625e-02 3.376e-01 1.306e-01 1.267e+01 0.000e+00
1.794e-02 2.945e-01 1.341e-01 9.471e+00 0.000e+00
1.980e-02 2.557e-01 1.374e-01 7.074e+00 0.000e+00
2.000e-02 2.519e-01 1.377e-01 6.866e+00 0.000e+00
2.186e-02 2.209e-01 1.403e-01 5.268e+00 0.000e+00
2.413e-02 1.901e-01 1.429e-01 3.919e+00 0.000e+00
2.664e-02 1.631e-01 1.451e-01 2.909e+00 0.000e+00
2.941e-02 1.396e-01 1.470e-01 2.156e+00 0.000e+00
3.000e-02 1.353e-01 1.473e-01 2.030e+00 0.000e+00
3.247e-02 1.193e-01 1.484e-01 1.595e+00 0.000e+00
3.584e-02 1.017e-01 1.495e-01 1.180e+00 0.000e+00
3.957e-02 8.658e-02 1.501e-01 8.705e-01 0.000e+00
4.000e-02 8.506e-02 1.502e-01 8.420e-01 0.000e+00
4.368e-02 7.357e-02 1.504e-01 6.418e-01 0.000e+00
4.822e-02 6.239e-02 1.503e-01 4.725e-01 0.000e+00
5.000e-02 5.869e-02 1.502e-01 4.222e-01 0.000e+00
5.323e-02 5.278e-02 1.499e-01 3.476e-01 0.000e+00
5.876e-02 4.455e-02 1.491e-01 2.554e-01 0.000e+00
6.000e-02 4.297e-02 1.489e-01 2.393e-01 0.000e+00
6.486e-02 3.750e-02 1.480e-01 1.876e-01 0.000e+00
7.161e-02 3.147e-02 1.465e-01 1.375e-01 0.000e+00
7.905e-02 2.636e-02 1.448e-01 1.008e-01 0.000e+00
8.000e-02 2.579e-02 1.446e-01 9.706e-02 0.000e+00
8.726e-02 2.202e-02 1.428e-01 7.385e-02 0.000e+00
9.633e-02 1.836e-02 1.405e-01 5.409e-02 0.000e+00
1.000e-01 1.713e-02 1.396e-01 4.808e-02 0.000e+00
1.063e-01 1.530e-02 1.380e-01 3.967e-02 0.000e+00
1.174e-01 1.270e-02 1.352e-01 2.901e-02 0.000e+00
1.296e-01 1.055e-02 1.323e-01 2.125e-02 0.000e+00
1.431e-01 8.740e-03 1.292e-01 1.557e-02 0.000e+00
1.500e-01 7.991e-03 1.277e-01 1.343e-02 0.000e+00
1.579e-01 7.245e-03 1.260e-01 1.144e-02 0.000e+00
1.743e-01 5.996e-03 1.226e-01 8.401e-03 0.000e+00
1.925e-01 4.952e-03 1.191e-01 6.171e-03 0.000e+00
2.000e-01 4.599e-03 1.178e-01 5.483e-03 0.000e+00
2.125e-01 4.090e-03 1.156e-01 4.549e-03 0.000e+00
2.345e-01 3.377e-03 1.120e-01 3.365e-03 0.000e+00
2.589e-01 2.784e-03 1.084e-01 2.493e-03 0.000e+00
2.858e-01 2.295e-03 1.048e-01 1.855e-03 0.000e+00
3.000e-01 2.086e-03 1.030e-01 1.606e-03 0.000e+00
3.155e-01 1.890e-03 1.011e-01 1.385e-03 0.000e+00
3.483e-01 1.556e-03 9.751e-02 1.040e-03 0.000e+00
3.845e-01 1.280e-03 9.392e-02 7.844e-04 0.000e+00
4.000e-01 1.184e-03 9.249e-02 7.020e-04 0.000e+00
4.245e-01 1.052e-03 9.036e-02 5.951e-04 0.000e+00
4.686e-01 8.651e-04 8.684e-02 4.548e-04 0.000e+00
5.000e-01 7.606e-04 8.456e-02 3.829e-04 0.000e+00
5.173e-01 7.109e-04 8.337e-02 3.503e-04 0.000e+00
5.710e-01 5.842e-04 7.997e-02 2.720e-04 0.000e+00
6.000e-01 5.294e-04 7.828e-02 2.400e-04 0.000e+00
6.304e-01 4.798e-04 7.662e-02 2.121e-04 0.000e+00
6.959e-01 3.941e-04 7.334e-02 1.667e-04 0.000e+00
7.682e-01 3.236e-04 7.013e-02 1.329e-04 0.000e+00
8.000e-01 2.985e-04 6.883e-02 1.219e-04 0.000e+00
8.480e-01 2.657e-04 6.698e-02 1.083e-04 0.000e+00
9.361e-01 2.181e-04 6.390e-02 8.836e-05 0.000e+00
