# CALCIUM OXIDE from NIST Database
3.300e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.783e-02 3.500e+00 0.000e+00 0.000e+00
2.000e+01 1.783e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.989e+00 1.311e-02 4.784e+03 0.000e+00
1.020e-03 2.977e+00 1.345e-02 4.544e+03 0.000e+00
1.126e-03 2.917e+00 1.529e-02 3.515e+03 0.000e+00
1.243e-03 2.856e+00 1.735e-02 2.718e+03 0.000e+00
1.372e-03 2.791e+00 1.964e-02 2.101e+03 0.000e+00
1.500e-03 2.726e+00 2.188e-02 1.664e+03 0.000e+00
1.515e-03 2.719e+00 2.214e-02 1.620e+03 0.000e+00
1.672e-03 2.640e+00 2.482e-02 1.243e+03 0.000e+00
1.846e-03 2.553e+00 2.772e-02 9.526e+02 0.000e+00
2.000e-03 2.478e+00 3.027e-02 7.674e+02 0.000e+00
2.038e-03 2.460e+00 3.090e-02 7.288e+02 0.000e+00
2.250e-03 2.361e+00 3.442e-02 5.552e+02 0.000e+00
2.483e-03 2.258e+00 3.825e-02 4.233e+02 0.000e+00
2.741e-03 2.149e+00 4.244e-02 3.222e+02 0.000e+00
3.000e-03 2.046e+00 4.654e-02 2.511e+02 0.000e+00
3.026e-03 2.036e+00 4.695e-02 2.451e+02 0.000e+00
3.341e-03 1.919e+00 5.175e-02 1.856e+02 0.000e+00
3.688e-03 1.796e+00 5.680e-02 1.406e+02 0.000e+00
4.000e-03 1.689e+00 6.110e-02 1.119e+02 0.000e+00
4.038e-03 1.677e+00 6.161e-02 1.090e+02 0.000e+00
4.038e-03 1.677e+00 6.161e-02 7.555e+02 0.000e+00
4.071e-03 1.666e+00 6.205e-02 7.406e+02 0.000e+00
4.494e-03 1.538e+00 6.749e-02 5.800e+02 0.000e+00
4.961e-03 1.416e+00 7.306e-02 4.518e+02 0.000e+00
5.000e-03 1.406e+00 7.351e-02 4.428e+02 0.000e+00
5.477e-03 1.295e+00 7.867e-02 3.487e+02 0.000e+00
6.000e-03 1.189e+00 8.381e-02 2.733e+02 0.000e+00
6.046e-03 1.180e+00 8.423e-02 2.678e+02 0.000e+00
6.675e-03 1.072e+00 8.970e-02 2.053e+02 0.000e+00
7.368e-03 9.729e-01 9.500e-02 1.573e+02 0.000e+00
8.000e-03 8.961e-01 9.927e-02 1.257e+02 0.000e+00
8.134e-03 8.813e-01 1.001e-01 1.201e+02 0.000e+00
8.979e-03 7.973e-01 1.050e-01 9.141e+01 0.000e+00
9.912e-03 7.198e-01 1.097e-01 6.933e+01 0.000e+00
1.000e-02 7.131e-01 1.101e-01 6.763e+01 0.000e+00
1.094e-02 6.479e-01 1.142e-01 5.249e+01 0.000e+00
1.208e-02 5.805e-01 1.186e-01 3.960e+01 0.000e+00
1.334e-02 5.174e-01 1.229e-01 2.981e+01 0.000e+00
1.472e-02 4.585e-01 1.269e-01 2.243e+01 0.000e+00
1.500e-02 4.477e-01 1.277e-01 2.124e+01 0.000e+00
1.625e-02 4.032e-01 1.309e-01 1.683e+01 0.000e+00
1.794e-02 3.521e-01 1.346e-01 1.260e+01 0.000e+00
1.980e-02 3.059e-01 1.381e-01 9.417e+00 0.000e+00
2.000e-02 3.014e-01 1.385e-01 9.141e+00 0.000e+00
2.186e-02 2.643e-01 1.413e-01 7.020e+00 0.000e+00
2.413e-02 2.276e-01 1.441e-01 5.227e+00 0.000e+00
2.664e-02 1.953e-01 1.465e-01 3.883e+00 0.000e+00
2.941e-02 1.673e-01 1.485e-01 2.880e+00 0.000e+00
3.000e-02 1.621e-01 1.489e-01 2.712e+00 0.000e+00
3.247e-02 1.430e-01 1.501e-01 2.133e+00 0.000e+00
3.584e-02 1.221e-01 1.513e-01 1.579e+00 0.000e+00
3.957e-02 1.040e-01 1.521e-01 1.166e+00 0.000e+00
4.000e-02 1.022e-01 1.521e-01 1.128e+00 0.000e+00
4.368e-02 8.855e-02 1.525e-01 8.599e-01 0.000e+00
4.822e-02 7.520e-02 1.525e-01 6.335e-01 0.000e+00
5.000e-02 7.079e-02 1.525e-01 5.662e-01 0.000e+00
5.323e-02 6.372e-02 1.522e-01 4.663e-01 0.000e+00
5.876e-02 5.385e-02 1.516e-01 3.429e-01 0.000e+00
6.000e-02 5.195e-02 1.514e-01 3.213e-01 0.000e+00
6.486e-02 4.539e-02 1.506e-01 2.519e-01 0.000e+00
