# CALCIUM SULFATE from NIST Database
2.960e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.938e-02 3.500e+00 0.000e+00 0.000e+00
1.600e+01 7.343e-03 3.500e+00 0.000e+00 0.000e+00
2.000e+01 7.346e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.454e+00 1.078e-02 4.160e+03 0.000e+00
1.020e-03 2.445e+00 1.111e-02 3.949e+03 0.000e+00
1.126e-03 2.400e+00 1.293e-02 3.046e+03 0.000e+00
1.243e-03 2.353e+00 1.503e-02 2.348e+03 0.000e+00
1.372e-03 2.301e+00 1.743e-02 1.809e+03 0.000e+00
1.500e-03 2.249e+00 1.984e-02 1.427e+03 0.000e+00
1.515e-03 2.242e+00 2.013e-02 1.389e+03 0.000e+00
1.672e-03 2.176e+00 2.311e-02 1.063e+03 0.000e+00
1.846e-03 2.103e+00 2.643e-02 8.109e+02 0.000e+00
2.000e-03 2.038e+00 2.937e-02 6.508e+02 0.000e+00
2.038e-03 2.022e+00 3.010e-02 6.177e+02 0.000e+00
2.250e-03 1.934e+00 3.415e-02 4.690e+02 0.000e+00
2.472e-03 1.847e+00 3.836e-02 3.606e+02 0.000e+00
2.472e-03 1.847e+00 3.836e-02 7.970e+02 0.000e+00
2.483e-03 1.843e+00 3.857e-02 7.885e+02 0.000e+00
2.741e-03 1.746e+00 4.336e-02 6.197e+02 0.000e+00
3.000e-03 1.655e+00 4.803e-02 4.943e+02 0.000e+00
3.026e-03 1.647e+00 4.849e-02 4.835e+02 0.000e+00
3.341e-03 1.543e+00 5.392e-02 3.724e+02 0.000e+00
3.688e-03 1.438e+00 5.956e-02 2.845e+02 0.000e+00
4.000e-03 1.349e+00 6.433e-02 2.275e+02 0.000e+00
4.038e-03 1.338e+00 6.490e-02 2.216e+02 0.000e+00
4.038e-03 1.338e+00 6.490e-02 4.880e+02 0.000e+00
4.071e-03 1.330e+00 6.538e-02 4.780e+02 0.000e+00
4.494e-03 1.224e+00 7.131e-02 3.709e+02 0.000e+00
4.961e-03 1.124e+00 7.729e-02 2.867e+02 0.000e+00
5.000e-03 1.116e+00 7.776e-02 2.808e+02 0.000e+00
5.477e-03 1.026e+00 8.323e-02 2.200e+02 0.000e+00
6.000e-03 9.412e-01 8.860e-02 1.717e+02 0.000e+00
6.046e-03 9.343e-01 8.905e-02 1.681e+02 0.000e+00
6.675e-03 8.479e-01 9.472e-02 1.283e+02 0.000e+00
7.368e-03 7.676e-01 1.002e-01 9.773e+01 0.000e+00
8.000e-03 7.052e-01 1.046e-01 7.778e+01 0.000e+00
8.134e-03 6.930e-01 1.055e-01 7.425e+01 0.000e+00
8.979e-03 6.240e-01 1.105e-01 5.625e+01 0.000e+00
9.912e-03 5.599e-01 1.153e-01 4.249e+01 0.000e+00
1.000e-02 5.544e-01 1.157e-01 4.143e+01 0.000e+00
1.094e-02 5.004e-01 1.199e-01 3.204e+01 0.000e+00
1.208e-02 4.450e-01 1.244e-01 2.408e+01 0.000e+00
1.334e-02 3.936e-01 1.286e-01 1.806e+01 0.000e+00
1.472e-02 3.466e-01 1.327e-01 1.354e+01 0.000e+00
1.500e-02 3.381e-01 1.334e-01 1.281e+01 0.000e+00
1.625e-02 3.033e-01 1.365e-01 1.012e+01 0.000e+00
1.794e-02 2.640e-01 1.401e-01 7.553e+00 0.000e+00
1.980e-02 2.288e-01 1.433e-01 5.629e+00 0.000e+00
