# CALCIUM TUNGSTATE from NIST Database
6.062e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.389e-02 3.500e+00 0.000e+00 0.000e+00
2.000e+01 3.473e-03 3.500e+00 0.000e+00 0.000e+00
7.400e+01 3.473e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.140e+00 6.744e-03 4.041e+03 0.000e+00
1.020e-03 8.124e+00 6.941e-03 3.864e+03 0.000e+00
1.126e-03 8.042e+00 8.016e-03 3.092e+03 0.000e+00
1.243e-03 7.956e+00 9.245e-03 2.476e+03 0.000e+00
1.372e-03 7.861e+00 1.063e-02 1.984e+03 0.000e+00
1.500e-03 7.763e+00 1.201e-02 1.624e+03 0.000e+00
1.515e-03 7.752e+00 1.217e-02 1.587e+03 0.000e+00
1.672e-03 7.627e+00 1.385e-02 1.262e+03 0.000e+00
1.809e-03 7.513e+00 1.531e-02 1.050e+03 0.000e+00
1.809e-03 7.513e+00 1.531e-02 1.182e+03 0.000e+00
1.846e-03 7.482e+00 1.570e-02 1.657e+03 0.000e+00
1.872e-03 7.460e+00 1.598e-02 2.141e+03 0.000e+00
1.872e-03 7.460e+00 1.598e-02 2.306e+03 0.000e+00
2.000e-03 7.353e+00 1.736e-02 2.762e+03 0.000e+00
2.038e-03 7.320e+00 1.777e-02 2.634e+03 0.000e+00
2.250e-03 7.141e+00 2.006e-02 2.052e+03 0.000e+00
2.281e-03 7.116e+00 2.039e-02 1.983e+03 0.000e+00
2.281e-03 7.116e+00 2.039e-02 2.271e+03 0.000e+00
2.483e-03 6.957e+00 2.255e-02 1.844e+03 0.000e+00
2.575e-03 6.885e+00 2.352e-02 1.686e+03 0.000e+00
2.575e-03 6.885e+00 2.352e-02 1.784e+03 0.000e+00
2.741e-03 6.752e+00 2.528e-02 1.538e+03 0.000e+00
2.820e-03 6.688e+00 2.610e-02 1.438e+03 0.000e+00
2.820e-03 6.688e+00 2.610e-02 1.496e+03 0.000e+00
3.000e-03 6.543e+00 2.797e-02 1.293e+03 0.000e+00
