# CARBON DIOXIDE from NIST Database
1.842e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 2.272e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.544e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.386e+00 9.637e-03 3.939e+03 0.000e+00
1.020e-03 1.381e+00 9.987e-03 3.736e+03 0.000e+00
1.126e-03 1.358e+00 1.193e-02 2.866e+03 0.000e+00
1.243e-03 1.332e+00 1.423e-02 2.197e+03 0.000e+00
1.372e-03 1.304e+00 1.691e-02 1.681e+03 0.000e+00
1.500e-03 1.274e+00 1.970e-02 1.316e+03 0.000e+00
1.515e-03 1.270e+00 2.003e-02 1.280e+03 0.000e+00
1.672e-03 1.231e+00 2.357e-02 9.732e+02 0.000e+00
1.846e-03 1.186e+00 2.761e-02 7.366e+02 0.000e+00
2.000e-03 1.145e+00 3.123e-02 5.867e+02 0.000e+00
2.038e-03 1.135e+00 3.213e-02 5.561e+02 0.000e+00
2.250e-03 1.080e+00 3.716e-02 4.189e+02 0.000e+00
2.483e-03 1.020e+00 4.266e-02 3.152e+02 0.000e+00
2.741e-03 9.568e-01 4.865e-02 2.365e+02 0.000e+00
3.000e-03 8.960e-01 5.449e-02 1.815e+02 0.000e+00
3.026e-03 8.901e-01 5.506e-02 1.770e+02 0.000e+00
3.341e-03 8.212e-01 6.182e-02 1.321e+02 0.000e+00
3.688e-03 7.517e-01 6.881e-02 9.850e+01 0.000e+00
4.000e-03 6.951e-01 7.467e-02 7.727e+01 0.000e+00
4.071e-03 6.830e-01 7.595e-02 7.330e+01 0.000e+00
4.494e-03 6.161e-01 8.311e-02 5.444e+01 0.000e+00
4.961e-03 5.524e-01 9.017e-02 4.036e+01 0.000e+00
5.000e-03 5.475e-01 9.072e-02 3.941e+01 0.000e+00
5.477e-03 4.927e-01 9.702e-02 2.986e+01 0.000e+00
6.000e-03 4.417e-01 1.031e-01 2.258e+01 0.000e+00
6.046e-03 4.376e-01 1.036e-01 2.206e+01 0.000e+00
6.675e-03 3.873e-01 1.098e-01 1.626e+01 0.000e+00
7.368e-03 3.419e-01 1.155e-01 1.198e+01 0.000e+00
8.000e-03 3.078e-01 1.201e-01 9.277e+00 0.000e+00
8.134e-03 3.013e-01 1.210e-01 8.810e+00 0.000e+00
8.979e-03 2.653e-01 1.260e-01 6.470e+00 0.000e+00
9.912e-03 2.334e-01 1.306e-01 4.744e+00 0.000e+00
1.000e-02 2.307e-01 1.310e-01 4.614e+00 0.000e+00
1.094e-02 2.052e-01 1.350e-01 3.476e+00 0.000e+00
1.208e-02 1.802e-01 1.390e-01 2.539e+00 0.000e+00
1.334e-02 1.579e-01 1.428e-01 1.852e+00 0.000e+00
1.472e-02 1.383e-01 1.463e-01 1.353e+00 0.000e+00
1.500e-02 1.348e-01 1.470e-01 1.273e+00 0.000e+00
1.625e-02 1.207e-01 1.496e-01 9.852e-01 0.000e+00
1.794e-02 1.049e-01 1.526e-01 7.167e-01 0.000e+00
1.980e-02 9.091e-02 1.553e-01 5.213e-01 0.000e+00
2.000e-02 8.957e-02 1.555e-01 5.047e-01 0.000e+00
2.186e-02 7.837e-02 1.576e-01 3.784e-01 0.000e+00
2.413e-02 6.727e-02 1.596e-01 2.745e-01 0.000e+00
2.664e-02 5.748e-02 1.611e-01 1.989e-01 0.000e+00
2.941e-02 4.892e-02 1.623e-01 1.439e-01 0.000e+00
3.000e-02 4.733e-02 1.625e-01 1.349e-01 0.000e+00
3.247e-02 4.146e-02 1.630e-01 1.041e-01 0.000e+00
3.584e-02 3.504e-02 1.633e-01 7.530e-02 0.000e+00
3.957e-02 2.951e-02 1.632e-01 5.438e-02 0.000e+00
4.000e-02 2.896e-02 1.632e-01 5.248e-02 0.000e+00
4.368e-02 2.480e-02 1.627e-01 3.928e-02 0.000e+00
4.822e-02 2.080e-02 1.619e-01 2.835e-02 0.000e+00
5.000e-02 1.949e-02 1.615e-01 2.515e-02 0.000e+00
5.323e-02 1.741e-02 1.607e-01 2.045e-02 0.000e+00
5.876e-02 1.455e-02 1.591e-01 1.475e-02 0.000e+00
6.000e-02 1.400e-02 1.588e-01 1.377e-02 0.000e+00
6.486e-02 1.213e-02 1.573e-01 1.064e-02 0.000e+00
7.161e-02 1.010e-02 1.552e-01 7.669e-03 0.000e+00
7.905e-02 8.390e-03 1.528e-01 5.530e-03 0.000e+00
8.000e-02 8.203e-03 1.525e-01 5.316e-03 0.000e+00
8.726e-02 6.961e-03 1.501e-01 3.989e-03 0.000e+00
9.633e-02 5.767e-03 1.473e-01 2.877e-03 0.000e+00
1.000e-01 5.369e-03 1.462e-01 2.543e-03 0.000e+00
1.063e-01 4.775e-03 1.443e-01 2.079e-03 0.000e+00
1.174e-01 3.943e-03 1.411e-01 1.499e-03 0.000e+00
1.296e-01 3.255e-03 1.378e-01 1.084e-03 0.000e+00
1.431e-01 2.684e-03 1.343e-01 7.837e-04 0.000e+00
1.500e-01 2.448e-03 1.326e-01 6.721e-04 0.000e+00
1.579e-01 2.214e-03 1.307e-01 5.687e-04 0.000e+00
1.743e-01 1.823e-03 1.270e-01 4.129e-04 0.000e+00
1.925e-01 1.499e-03 1.233e-01 2.999e-04 0.000e+00
2.000e-01 1.390e-03 1.218e-01 2.654e-04 0.000e+00
2.125e-01 1.233e-03 1.195e-01 2.188e-04 0.000e+00
2.345e-01 1.015e-03 1.157e-01 1.603e-04 0.000e+00
2.589e-01 8.340e-04 1.119e-01 1.177e-04 0.000e+00
2.858e-01 6.854e-04 1.081e-01 8.685e-05 0.000e+00
3.000e-01 6.224e-04 1.062e-01 7.494e-05 0.000e+00
3.155e-01 5.631e-04 1.042e-01 6.437e-05 0.000e+00
3.483e-01 4.625e-04 1.005e-01 4.795e-05 0.000e+00
3.845e-01 3.798e-04 9.671e-02 3.593e-05 0.000e+00
4.000e-01 3.510e-04 9.522e-02 3.207e-05 0.000e+00
4.245e-01 3.118e-04 9.301e-02 2.708e-05 0.000e+00
4.686e-01 2.560e-04 8.937e-02 2.058e-05 0.000e+00
5.000e-01 2.249e-04 8.701e-02 1.729e-05 0.000e+00
5.173e-01 2.102e-04 8.578e-02 1.580e-05 0.000e+00
5.710e-01 1.726e-04 8.225e-02 1.223e-05 0.000e+00
6.000e-01 1.563e-04 8.050e-02 1.076e-05 0.000e+00
6.304e-01 1.416e-04 7.878e-02 9.468e-06 0.000e+00
6.959e-01 1.163e-04 7.539e-02 7.373e-06 0.000e+00
7.682e-01 9.542e-05 7.208e-02 5.887e-06 0.000e+00
8.000e-01 8.799e-05 7.074e-02 5.432e-06 0.000e+00
8.480e-01 7.830e-05 6.885e-02 4.897e-06 0.000e+00
9.361e-01 6.426e-05 6.569e-02 4.045e-06 0.000e+00
1.000e+00 5.632e-05 6.363e-02 3.377e-06 0.000e+00
1.022e+00 5.393e-05 6.296e-02 3.143e-06 0.000e+00
1.033e+00 5.280e-05 6.263e-02 3.041e-06 3.523e-09
1.141e+00 4.329e-05 5.961e-02 2.444e-06 3.340e-06
1.250e+00 3.607e-05 5.690e-02 2.134e-06 1.805e-05
1.259e+00 3.555e-05 5.669e-02 2.111e-06 1.986e-05
1.390e+00 2.916e-05 5.383e-02 1.780e-06 5.620e-05
1.500e+00 2.504e-05 5.171e-02 1.549e-06 9.981e-05
1.535e+00 2.391e-05 5.108e-02 1.487e-06 1.159e-04
1.694e+00 1.964e-05 4.845e-02 1.261e-06 1.998e-04
1.870e+00 1.612e-05 4.587e-02 1.080e-06 3.091e-04
2.000e+00 1.409e-05 4.414e-02 9.744e-07 3.973e-04
2.044e+00 1.349e-05 4.358e-02 9.426e-07 4.282e-04
2.065e+00 1.321e-05 4.332e-02 9.281e-07 4.430e-04
2.279e+00 1.084e-05 4.089e-02 8.012e-07 5.989e-04
2.516e+00 8.898e-06 3.858e-02 6.947e-07 7.773e-04
2.778e+00 7.301e-06 3.637e-02 6.049e-07 9.778e-04
3.000e+00 6.261e-06 3.472e-02 5.446e-07 1.148e-03
3.066e+00 5.995e-06 3.426e-02 5.289e-07 1.199e-03
3.385e+00 4.919e-06 3.221e-02 4.637e-07 1.441e-03
3.737e+00 4.036e-06 3.026e-02 4.078e-07 1.702e-03
4.000e+00 3.523e-06 2.896e-02 3.739e-07 1.893e-03
4.125e+00 3.312e-06 2.839e-02 3.597e-07 1.981e-03
4.554e+00 2.717e-06 2.661e-02 3.179e-07 2.276e-03
5.000e+00 2.254e-06 2.501e-02 2.836e-07 2.571e-03
5.027e+00 2.230e-06 2.492e-02 2.817e-07 2.588e-03
5.549e+00 1.830e-06 2.331e-02 2.501e-07 2.919e-03
6.000e+00 1.565e-06 2.210e-02 2.280e-07 3.190e-03
6.126e+00 1.502e-06 2.179e-02 2.225e-07 3.263e-03
6.762e+00 1.232e-06 2.035e-02 1.983e-07 3.620e-03
7.000e+00 1.150e-06 1.987e-02 1.905e-07 3.747e-03
7.465e+00 1.011e-06 1.899e-02 1.769e-07 3.987e-03
8.000e+00 8.805e-07 1.808e-02 1.635e-07 4.251e-03
8.241e+00 8.298e-07 1.770e-02 1.581e-07 4.367e-03
9.000e+00 6.958e-07 1.662e-02 1.431e-07 4.714e-03
9.097e+00 6.810e-07 1.649e-02 1.414e-07 4.757e-03
1.000e+01 5.636e-07 1.540e-02 1.273e-07 5.134e-03
1.004e+01 5.591e-07 1.536e-02 1.267e-07 5.150e-03
1.100e+01 4.657e-07 1.436e-02 1.146e-07 5.519e-03
1.109e+01 4.581e-07 1.428e-02 1.135e-07 5.553e-03
1.200e+01 3.913e-07 1.347e-02 1.041e-07 5.874e-03
1.224e+01 3.761e-07 1.327e-02 1.019e-07 5.955e-03
1.300e+01 3.335e-07 1.269e-02 9.544e-08 6.205e-03
1.351e+01 3.088e-07 1.233e-02 9.154e-08 6.365e-03
1.400e+01 2.875e-07 1.200e-02 8.808e-08 6.514e-03
1.491e+01 2.535e-07 1.145e-02 8.232e-08 6.776e-03
1.500e+01 2.505e-07 1.140e-02 8.179e-08 6.802e-03
1.600e+01 2.201e-07 1.086e-02 7.632e-08 7.076e-03
1.646e+01 2.080e-07 1.062e-02 7.405e-08 7.196e-03
1.800e+01 1.739e-07 9.919e-03 6.733e-08 7.575e-03
1.818e+01 1.705e-07 9.844e-03 6.662e-08 7.618e-03
2.000e+01 1.409e-07 9.148e-03 6.021e-08 8.023e-03
