# CARBON TETRACHLORIDE from NIST Database
1.594e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 6.501e-03 3.500e+00 0.000e+00 0.000e+00
1.700e+01 2.601e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.881e+00 8.874e-03 2.780e+03 0.000e+00
1.020e-03 2.871e+00 9.184e-03 2.638e+03 0.000e+00
1.126e-03 2.823e+00 1.089e-02 2.032e+03 0.000e+00
1.243e-03 2.771e+00 1.289e-02 1.565e+03 0.000e+00
1.372e-03 2.713e+00 1.520e-02 1.206e+03 0.000e+00
1.500e-03 2.652e+00 1.755e-02 9.529e+02 0.000e+00
1.515e-03 2.645e+00 1.783e-02 9.276e+02 0.000e+00
1.672e-03 2.567e+00 2.075e-02 7.107e+02 0.000e+00
1.846e-03 2.478e+00 2.399e-02 5.438e+02 0.000e+00
2.000e-03 2.398e+00 2.685e-02 4.379e+02 0.000e+00
2.038e-03 2.379e+00 2.755e-02 4.159e+02 0.000e+00
2.250e-03 2.270e+00 3.142e-02 3.169e+02 0.000e+00
2.483e-03 2.156e+00 3.555e-02 2.418e+02 0.000e+00
2.741e-03 2.037e+00 3.996e-02 1.843e+02 0.000e+00
2.822e-03 2.002e+00 4.130e-02 1.700e+02 0.000e+00
2.822e-03 2.002e+00 4.130e-02 1.515e+03 0.000e+00
3.000e-03 1.927e+00 4.417e-02 1.363e+03 0.000e+00
3.026e-03 1.916e+00 4.458e-02 1.340e+03 0.000e+00
3.341e-03 1.792e+00 4.939e-02 1.068e+03 0.000e+00
3.688e-03 1.668e+00 5.432e-02 8.167e+02 0.000e+00
4.000e-03 1.568e+00 5.842e-02 6.501e+02 0.000e+00
4.071e-03 1.547e+00 5.931e-02 6.194e+02 0.000e+00
4.494e-03 1.430e+00 6.429e-02 4.759e+02 0.000e+00
4.961e-03 1.320e+00 6.924e-02 3.673e+02 0.000e+00
5.000e-03 1.312e+00 6.962e-02 3.598e+02 0.000e+00
5.477e-03 1.216e+00 7.410e-02 2.817e+02 0.000e+00
6.000e-03 1.126e+00 7.851e-02 2.194e+02 0.000e+00
6.046e-03 1.118e+00 7.888e-02 2.149e+02 0.000e+00
6.675e-03 1.027e+00 8.360e-02 1.634e+02 0.000e+00
7.368e-03 9.402e-01 8.827e-02 1.241e+02 0.000e+00
8.000e-03 8.714e-01 9.215e-02 9.850e+01 0.000e+00
8.134e-03 8.578e-01 9.293e-02 9.399e+01 0.000e+00
8.979e-03 7.790e-01 9.762e-02 7.101e+01 0.000e+00
9.912e-03 7.029e-01 1.023e-01 5.351e+01 0.000e+00
1.000e-02 6.962e-01 1.027e-01 5.217e+01 0.000e+00
1.094e-02 6.295e-01 1.070e-01 4.026e+01 0.000e+00
1.208e-02 5.591e-01 1.117e-01 3.018e+01 0.000e+00
1.334e-02 4.930e-01 1.163e-01 2.257e+01 0.000e+00
1.472e-02 4.323e-01 1.207e-01 1.689e+01 0.000e+00
1.500e-02 4.212e-01 1.216e-01 1.597e+01 0.000e+00
1.625e-02 3.765e-01 1.250e-01 1.259e+01 0.000e+00
1.794e-02 3.262e-01 1.289e-01 9.371e+00 0.000e+00
1.980e-02 2.818e-01 1.324e-01 6.968e+00 0.000e+00
2.000e-02 2.775e-01 1.328e-01 6.760e+00 0.000e+00
2.186e-02 2.426e-01 1.356e-01 5.168e+00 0.000e+00
2.413e-02 2.086e-01 1.383e-01 3.828e+00 0.000e+00
2.664e-02 1.789e-01 1.407e-01 2.830e+00 0.000e+00
