# CELLULOSE NITRATE from NIST Database
1.490e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 2.898e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 2.259e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 8.659e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.614e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.328e+00 1.115e-02 3.654e+03 0.000e+00
1.020e-03 1.323e+00 1.156e-02 3.465e+03 0.000e+00
1.126e-03 1.299e+00 1.378e-02 2.655e+03 0.000e+00
1.243e-03 1.274e+00 1.640e-02 2.033e+03 0.000e+00
1.372e-03 1.246e+00 1.946e-02 1.554e+03 0.000e+00
1.500e-03 1.216e+00 2.262e-02 1.216e+03 0.000e+00
1.515e-03 1.213e+00 2.299e-02 1.183e+03 0.000e+00
1.672e-03 1.174e+00 2.698e-02 8.982e+02 0.000e+00
1.846e-03 1.130e+00 3.149e-02 6.792e+02 0.000e+00
2.000e-03 1.090e+00 3.551e-02 5.407e+02 0.000e+00
2.038e-03 1.080e+00 3.651e-02 5.124e+02 0.000e+00
2.250e-03 1.026e+00 4.204e-02 3.856e+02 0.000e+00
2.483e-03 9.681e-01 4.804e-02 2.900e+02 0.000e+00
2.741e-03 9.064e-01 5.450e-02 2.174e+02 0.000e+00
3.000e-03 8.477e-01 6.074e-02 1.668e+02 0.000e+00
3.026e-03 8.419e-01 6.135e-02 1.626e+02 0.000e+00
3.341e-03 7.757e-01 6.849e-02 1.213e+02 0.000e+00
3.688e-03 7.092e-01 7.579e-02 9.038e+01 0.000e+00
4.000e-03 6.551e-01 8.186e-02 7.086e+01 0.000e+00
4.071e-03 6.436e-01 8.317e-02 6.721e+01 0.000e+00
4.494e-03 5.800e-01 9.049e-02 4.989e+01 0.000e+00
4.961e-03 5.197e-01 9.764e-02 3.697e+01 0.000e+00
5.000e-03 5.151e-01 9.820e-02 3.610e+01 0.000e+00
5.477e-03 4.634e-01 1.045e-01 2.733e+01 0.000e+00
6.000e-03 4.154e-01 1.106e-01 2.066e+01 0.000e+00
6.046e-03 4.115e-01 1.111e-01 2.018e+01 0.000e+00
6.675e-03 3.643e-01 1.172e-01 1.487e+01 0.000e+00
7.368e-03 3.218e-01 1.229e-01 1.095e+01 0.000e+00
8.000e-03 2.898e-01 1.274e-01 8.477e+00 0.000e+00
8.134e-03 2.837e-01 1.282e-01 8.049e+00 0.000e+00
8.979e-03 2.500e-01 1.332e-01 5.909e+00 0.000e+00
9.912e-03 2.201e-01 1.377e-01 4.331e+00 0.000e+00
1.000e-02 2.176e-01 1.381e-01 4.212e+00 0.000e+00
1.094e-02 1.937e-01 1.420e-01 3.171e+00 0.000e+00
1.208e-02 1.702e-01 1.460e-01 2.316e+00 0.000e+00
1.334e-02 1.493e-01 1.497e-01 1.688e+00 0.000e+00
1.472e-02 1.308e-01 1.531e-01 1.233e+00 0.000e+00
1.500e-02 1.274e-01 1.537e-01 1.160e+00 0.000e+00
1.625e-02 1.141e-01 1.562e-01 8.974e-01 0.000e+00
1.794e-02 9.923e-02 1.591e-01 6.526e-01 0.000e+00
1.980e-02 8.596e-02 1.617e-01 4.745e-01 0.000e+00
2.000e-02 8.469e-02 1.619e-01 4.593e-01 0.000e+00
2.186e-02 7.408e-02 1.639e-01 3.443e-01 0.000e+00
2.413e-02 6.357e-02 1.657e-01 2.497e-01 0.000e+00
2.664e-02 5.429e-02 1.672e-01 1.808e-01 0.000e+00
2.941e-02 4.618e-02 1.682e-01 1.309e-01 0.000e+00
3.000e-02 4.469e-02 1.683e-01 1.226e-01 0.000e+00
3.247e-02 3.913e-02 1.688e-01 9.461e-02 0.000e+00
3.584e-02 3.306e-02 1.689e-01 6.841e-02 0.000e+00
3.957e-02 2.784e-02 1.687e-01 4.939e-02 0.000e+00
4.000e-02 2.732e-02 1.687e-01 4.767e-02 0.000e+00
4.368e-02 2.340e-02 1.681e-01 3.567e-02 0.000e+00
4.822e-02 1.962e-02 1.671e-01 2.574e-02 0.000e+00
5.000e-02 1.838e-02 1.667e-01 2.283e-02 0.000e+00
5.323e-02 1.642e-02 1.658e-01 1.856e-02 0.000e+00
5.876e-02 1.372e-02 1.641e-01 1.339e-02 0.000e+00
6.000e-02 1.320e-02 1.637e-01 1.249e-02 0.000e+00
6.486e-02 1.144e-02 1.622e-01 9.653e-03 0.000e+00
