# CESIUM FLUORIDE from NIST Database
4.115e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
9.000e+00 6.583e-03 3.500e+00 0.000e+00 0.000e+00
5.500e+01 6.583e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.147e+00 1.185e-02 2.640e+03 0.000e+00
1.020e-03 1.142e+00 1.227e-02 2.500e+03 0.000e+00
1.126e-03 1.116e+00 1.458e-02 1.906e+03 0.000e+00
1.243e-03 1.089e+00 1.728e-02 1.451e+03 0.000e+00
1.372e-03 1.060e+00 2.042e-02 1.103e+03 0.000e+00
1.500e-03 1.029e+00 2.363e-02 8.592e+02 0.000e+00
1.515e-03 1.025e+00 2.401e-02 8.354e+02 0.000e+00
1.672e-03 9.862e-01 2.804e-02 6.314e+02 0.000e+00
1.846e-03 9.421e-01 3.256e-02 4.753e+02 0.000e+00
2.000e-03 9.033e-01 3.656e-02 3.769e+02 0.000e+00
2.038e-03 8.938e-01 3.754e-02 3.569e+02 0.000e+00
2.250e-03 8.420e-01 4.300e-02 2.675e+02 0.000e+00
2.483e-03 7.879e-01 4.887e-02 2.003e+02 0.000e+00
2.741e-03 7.318e-01 5.516e-02 1.496e+02 0.000e+00
3.000e-03 6.798e-01 6.119e-02 1.144e+02 0.000e+00
3.026e-03 6.748e-01 6.178e-02 1.115e+02 0.000e+00
3.341e-03 6.177e-01 6.863e-02 8.292e+01 0.000e+00
3.688e-03 5.620e-01 7.559e-02 6.158e+01 0.000e+00
4.000e-03 5.177e-01 8.129e-02 4.816e+01 0.000e+00
4.071e-03 5.084e-01 8.252e-02 4.566e+01 0.000e+00
4.494e-03 4.576e-01 8.931e-02 3.379e+01 0.000e+00
4.961e-03 4.103e-01 9.586e-02 2.496e+01 0.000e+00
5.000e-03 4.067e-01 9.637e-02 2.437e+01 0.000e+00
5.477e-03 3.667e-01 1.021e-01 1.841e+01 0.000e+00
6.000e-03 3.300e-01 1.075e-01 1.388e+01 0.000e+00
6.046e-03 3.271e-01 1.080e-01 1.355e+01 0.000e+00
6.675e-03 2.914e-01 1.135e-01 9.962e+00 0.000e+00
7.368e-03 2.593e-01 1.187e-01 7.315e+00 0.000e+00
8.000e-03 2.352e-01 1.228e-01 5.649e+00 0.000e+00
8.134e-03 2.306e-01 1.236e-01 5.361e+00 0.000e+00
8.979e-03 2.050e-01 1.283e-01 3.924e+00 0.000e+00
9.912e-03 1.820e-01 1.327e-01 2.869e+00 0.000e+00
1.000e-02 1.800e-01 1.331e-01 2.789e+00 0.000e+00
1.094e-02 1.613e-01 1.370e-01 2.096e+00 0.000e+00
1.208e-02 1.425e-01 1.410e-01 1.527e+00 0.000e+00
1.334e-02 1.254e-01 1.448e-01 1.111e+00 0.000e+00
1.472e-02 1.101e-01 1.484e-01 8.096e-01 0.000e+00
1.500e-02 1.073e-01 1.490e-01 7.618e-01 0.000e+00
1.625e-02 9.608e-02 1.517e-01 5.883e-01 0.000e+00
1.794e-02 8.341e-02 1.547e-01 4.269e-01 0.000e+00
1.980e-02 7.208e-02 1.573e-01 3.098e-01 0.000e+00
2.000e-02 7.099e-02 1.575e-01 2.998e-01 0.000e+00
2.186e-02 6.194e-02 1.595e-01 2.244e-01 0.000e+00
2.413e-02 5.299e-02 1.613e-01 1.625e-01 0.000e+00
2.664e-02 4.514e-02 1.626e-01 1.175e-01 0.000e+00
2.941e-02 3.831e-02 1.635e-01 8.493e-02 0.000e+00
3.000e-02 3.706e-02 1.636e-01 7.956e-02 0.000e+00
3.247e-02 3.241e-02 1.640e-01 6.132e-02 0.000e+00
3.584e-02 2.735e-02 1.640e-01 4.428e-02 0.000e+00
3.957e-02 2.301e-02 1.637e-01 3.194e-02 0.000e+00
4.000e-02 2.258e-02 1.636e-01 3.082e-02 0.000e+00
4.368e-02 1.932e-02 1.630e-01 2.304e-02 0.000e+00
4.822e-02 1.618e-02 1.620e-01 1.661e-02 0.000e+00
5.000e-02 1.515e-02 1.615e-01 1.473e-02 0.000e+00
5.323e-02 1.352e-02 1.606e-01 1.197e-02 0.000e+00
5.876e-02 1.128e-02 1.589e-01 8.619e-03 0.000e+00
6.000e-02 1.085e-02 1.585e-01 8.041e-03 0.000e+00
6.486e-02 9.393e-03 1.569e-01 6.209e-03 0.000e+00
7.161e-02 7.806e-03 1.547e-01 4.470e-03 0.000e+00
7.905e-02 6.478e-03 1.523e-01 3.219e-03 0.000e+00
8.000e-02 6.333e-03 1.519e-01 3.094e-03 0.000e+00
