# CESIUM IODIDE from NIST Database
4.510e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.300e+01 3.849e-03 3.500e+00 0.000e+00 0.000e+00
5.500e+01 3.849e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 4.664e+00 8.750e-03 5.569e+03 0.000e+00
1.020e-03 4.653e+00 9.055e-03 5.328e+03 0.000e+00
1.072e-03 4.624e+00 9.866e-03 4.768e+03 0.000e+00
1.072e-03 4.624e+00 9.866e-03 4.932e+03 0.000e+00
1.126e-03 4.595e+00 1.073e-02 4.402e+03 0.000e+00
1.243e-03 4.530e+00 1.268e-02 3.502e+03 0.000e+00
1.372e-03 4.455e+00 1.492e-02 2.787e+03 0.000e+00
1.500e-03 4.378e+00 1.721e-02 2.268e+03 0.000e+00
1.515e-03 4.368e+00 1.748e-02 2.214e+03 0.000e+00
1.672e-03 4.270e+00 2.033e-02 1.741e+03 0.000e+00
1.846e-03 4.160e+00 2.351e-02 1.368e+03 0.000e+00
2.000e-03 4.062e+00 2.631e-02 1.126e+03 0.000e+00
2.038e-03 4.038e+00 2.700e-02 1.074e+03 0.000e+00
2.250e-03 3.906e+00 3.081e-02 8.366e+02 0.000e+00
2.483e-03 3.765e+00 3.491e-02 6.525e+02 0.000e+00
2.741e-03 3.614e+00 3.928e-02 5.086e+02 0.000e+00
3.000e-03 3.470e+00 4.347e-02 4.051e+02 0.000e+00
3.026e-03 3.456e+00 4.388e-02 3.962e+02 0.000e+00
3.341e-03 3.292e+00 4.866e-02 3.066e+02 0.000e+00
3.688e-03 3.124e+00 5.352e-02 2.375e+02 0.000e+00
4.000e-03 2.984e+00 5.754e-02 1.925e+02 0.000e+00
4.071e-03 2.954e+00 5.840e-02 1.838e+02 0.000e+00
4.494e-03 2.783e+00 6.322e-02 1.418e+02 0.000e+00
4.557e-03 2.758e+00 6.389e-02 1.367e+02 0.000e+00
