# CONCRETE, PORTLAND from NIST Database
2.300e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.921e-03 3.500e+00 0.000e+00 0.000e+00
6.000e+00 8.326e-05 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.307e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 6.960e-04 3.500e+00 0.000e+00 0.000e+00
1.200e+01 8.227e-05 3.500e+00 0.000e+00 0.000e+00
1.300e+01 1.255e-03 3.500e+00 0.000e+00 0.000e+00
1.400e+01 1.200e-02 3.500e+00 0.000e+00 0.000e+00
1.900e+01 3.325e-04 3.500e+00 0.000e+00 0.000e+00
2.000e+01 1.098e-03 3.500e+00 0.000e+00 0.000e+00
2.600e+01 2.507e-04 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.027e+00 1.111e-02 3.404e+03 0.000e+00
1.020e-03 2.020e+00 1.148e-02 3.231e+03 0.000e+00
1.072e-03 2.001e+00 1.245e-02 2.833e+03 0.000e+00
1.072e-03 2.001e+00 1.245e-02 2.927e+03 0.000e+00
1.126e-03 1.982e+00 1.348e-02 2.574e+03 0.000e+00
1.243e-03 1.943e+00 1.581e-02 1.986e+03 0.000e+00
1.305e-03 1.922e+00 1.708e-02 1.747e+03 0.000e+00
1.305e-03 1.922e+00 1.708e-02 1.757e+03 0.000e+00
1.372e-03 1.899e+00 1.846e-02 1.539e+03 0.000e+00
1.500e-03 1.855e+00 2.114e-02 1.213e+03 0.000e+00
1.515e-03 1.850e+00 2.146e-02 1.181e+03 0.000e+00
1.560e-03 1.834e+00 2.240e-02 1.091e+03 0.000e+00
1.560e-03 1.834e+00 2.240e-02 1.213e+03 0.000e+00
1.672e-03 1.793e+00 2.476e-02 1.008e+03 0.000e+00
1.839e-03 1.733e+00 2.827e-02 7.800e+02 0.000e+00
1.839e-03 1.733e+00 2.827e-02 1.752e+03 0.000e+00
1.846e-03 1.730e+00 2.842e-02 1.738e+03 0.000e+00
2.000e-03 1.676e+00 3.164e-02 1.474e+03 0.000e+00
2.038e-03 1.663e+00 3.243e-02 1.414e+03 0.000e+00
2.250e-03 1.590e+00 3.679e-02 1.114e+03 0.000e+00
2.483e-03 1.514e+00 4.146e-02 8.562e+02 0.000e+00
2.741e-03 1.433e+00 4.646e-02 6.483e+02 0.000e+00
3.000e-03 1.358e+00 5.128e-02 5.018e+02 0.000e+00
3.026e-03 1.350e+00 5.175e-02 4.898e+02 0.000e+00
