# DICHLORODIETHYL ETHER from NIST Database
1.220e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 5.593e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 2.797e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 6.992e-03 3.500e+00 0.000e+00 0.000e+00
1.700e+01 1.399e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.054e+00 1.228e-02 2.658e+03 0.000e+00
1.020e-03 2.047e+00 1.270e-02 2.521e+03 0.000e+00
1.126e-03 2.010e+00 1.508e-02 1.933e+03 0.000e+00
1.243e-03 1.970e+00 1.786e-02 1.481e+03 0.000e+00
1.372e-03 1.926e+00 2.107e-02 1.135e+03 0.000e+00
1.500e-03 1.881e+00 2.434e-02 8.913e+02 0.000e+00
1.515e-03 1.875e+00 2.473e-02 8.672e+02 0.000e+00
1.672e-03 1.816e+00 2.881e-02 6.607e+02 0.000e+00
1.846e-03 1.749e+00 3.334e-02 5.021e+02 0.000e+00
2.000e-03 1.690e+00 3.732e-02 4.018e+02 0.000e+00
2.038e-03 1.675e+00 3.830e-02 3.811e+02 0.000e+00
2.250e-03 1.594e+00 4.367e-02 2.885e+02 0.000e+00
2.483e-03 1.509e+00 4.938e-02 2.185e+02 0.000e+00
2.741e-03 1.420e+00 5.543e-02 1.652e+02 0.000e+00
2.822e-03 1.394e+00 5.727e-02 1.520e+02 0.000e+00
2.822e-03 1.394e+00 5.727e-02 8.755e+02 0.000e+00
3.000e-03 1.338e+00 6.116e-02 7.835e+02 0.000e+00
3.026e-03 1.330e+00 6.171e-02 7.700e+02 0.000e+00
3.341e-03 1.238e+00 6.815e-02 6.110e+02 0.000e+00
3.688e-03 1.146e+00 7.464e-02 4.664e+02 0.000e+00
4.000e-03 1.072e+00 7.994e-02 3.709e+02 0.000e+00
4.071e-03 1.057e+00 8.108e-02 3.533e+02 0.000e+00
4.494e-03 9.715e-01 8.738e-02 2.709e+02 0.000e+00
4.961e-03 8.909e-01 9.347e-02 2.086e+02 0.000e+00
5.000e-03 8.847e-01 9.394e-02 2.042e+02 0.000e+00
5.477e-03 8.153e-01 9.930e-02 1.596e+02 0.000e+00
6.000e-03 7.502e-01 1.044e-01 1.241e+02 0.000e+00
6.046e-03 7.450e-01 1.049e-01 1.215e+02 0.000e+00
6.675e-03 6.796e-01 1.102e-01 9.230e+01 0.000e+00
7.368e-03 6.187e-01 1.152e-01 6.998e+01 0.000e+00
8.000e-03 5.709e-01 1.192e-01 5.547e+01 0.000e+00
8.134e-03 5.615e-01 1.201e-01 5.292e+01 0.000e+00
8.979e-03 5.077e-01 1.247e-01 3.992e+01 0.000e+00
9.912e-03 4.566e-01 1.293e-01 3.005e+01 0.000e+00
1.000e-02 4.521e-01 1.297e-01 2.929e+01 0.000e+00
1.094e-02 4.080e-01 1.337e-01 2.258e+01 0.000e+00
1.208e-02 3.620e-01 1.379e-01 1.690e+01 0.000e+00
1.334e-02 3.190e-01 1.420e-01 1.263e+01 0.000e+00
1.472e-02 2.797e-01 1.459e-01 9.439e+00 0.000e+00
1.500e-02 2.726e-01 1.466e-01 8.925e+00 0.000e+00
1.625e-02 2.437e-01 1.495e-01 7.032e+00 0.000e+00
1.794e-02 2.112e-01 1.528e-01 5.228e+00 0.000e+00
1.980e-02 1.825e-01 1.557e-01 3.884e+00 0.000e+00
2.000e-02 1.797e-01 1.560e-01 3.768e+00 0.000e+00
2.186e-02 1.571e-01 1.582e-01 2.878e+00 0.000e+00
2.413e-02 1.349e-01 1.603e-01 2.131e+00 0.000e+00
2.664e-02 1.156e-01 1.620e-01 1.574e+00 0.000e+00
2.941e-02 9.891e-02 1.633e-01 1.161e+00 0.000e+00
3.000e-02 9.584e-02 1.635e-01 1.092e+00 0.000e+00
3.247e-02 8.446e-02 1.642e-01 8.549e-01 0.000e+00
3.584e-02 7.202e-02 1.647e-01 6.292e-01 0.000e+00
3.957e-02 6.125e-02 1.648e-01 4.622e-01 0.000e+00
4.000e-02 6.017e-02 1.648e-01 4.468e-01 0.000e+00
4.368e-02 5.198e-02 1.646e-01 3.393e-01 0.000e+00
4.822e-02 4.400e-02 1.640e-01 2.488e-01 0.000e+00
5.000e-02 4.136e-02 1.637e-01 2.220e-01 0.000e+00
5.323e-02 3.714e-02 1.630e-01 1.823e-01 0.000e+00
5.876e-02 3.126e-02 1.618e-01 1.334e-01 0.000e+00
6.000e-02 3.013e-02 1.615e-01 1.249e-01 0.000e+00
6.486e-02 2.624e-02 1.602e-01 9.761e-02 0.000e+00
7.161e-02 2.196e-02 1.583e-01 7.132e-02 0.000e+00
7.905e-02 1.834e-02 1.561e-01 5.211e-02 0.000e+00
8.000e-02 1.795e-02 1.558e-01 5.017e-02 0.000e+00
8.726e-02 1.530e-02 1.537e-01 3.806e-02 0.000e+00
9.633e-02 1.273e-02 1.510e-01 2.778e-02 0.000e+00
1.000e-01 1.187e-02 1.499e-01 2.466e-02 0.000e+00
1.063e-01 1.059e-02 1.481e-01 2.030e-02 0.000e+00
1.174e-01 8.784e-03 1.449e-01 1.480e-02 0.000e+00
1.296e-01 7.284e-03 1.416e-01 1.081e-02 0.000e+00
1.431e-01 6.031e-03 1.382e-01 7.900e-03 0.000e+00
1.500e-01 5.512e-03 1.365e-01 6.807e-03 0.000e+00
1.579e-01 4.995e-03 1.346e-01 5.788e-03 0.000e+00
1.743e-01 4.130e-03 1.309e-01 4.241e-03 0.000e+00
1.925e-01 3.408e-03 1.271e-01 3.108e-03 0.000e+00
