# DIETHYL ETHER from NIST Database
7.138e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.349e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 5.397e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 1.349e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.071e+00 1.687e-02 2.424e+03 0.000e+00
1.020e-03 1.066e+00 1.746e-02 2.295e+03 0.000e+00
1.126e-03 1.043e+00 2.072e-02 1.749e+03 0.000e+00
1.243e-03 1.018e+00 2.455e-02 1.331e+03 0.000e+00
1.372e-03 9.906e-01 2.896e-02 1.012e+03 0.000e+00
1.500e-03 9.623e-01 3.347e-02 7.876e+02 0.000e+00
1.515e-03 9.589e-01 3.401e-02 7.658e+02 0.000e+00
1.672e-03 9.226e-01 3.962e-02 5.787e+02 0.000e+00
1.846e-03 8.816e-01 4.584e-02 4.355e+02 0.000e+00
2.000e-03 8.455e-01 5.130e-02 3.454e+02 0.000e+00
2.038e-03 8.366e-01 5.264e-02 3.270e+02 0.000e+00
2.250e-03 7.883e-01 5.997e-02 2.450e+02 0.000e+00
2.483e-03 7.376e-01 6.774e-02 1.835e+02 0.000e+00
2.741e-03 6.849e-01 7.590e-02 1.370e+02 0.000e+00
3.000e-03 6.359e-01 8.357e-02 1.048e+02 0.000e+00
3.026e-03 6.312e-01 8.431e-02 1.021e+02 0.000e+00
3.341e-03 5.774e-01 9.282e-02 7.590e+01 0.000e+00
3.688e-03 5.246e-01 1.013e-01 5.636e+01 0.000e+00
4.000e-03 4.827e-01 1.081e-01 4.407e+01 0.000e+00
4.071e-03 4.738e-01 1.095e-01 4.177e+01 0.000e+00
4.494e-03 4.256e-01 1.174e-01 3.091e+01 0.000e+00
4.961e-03 3.807e-01 1.249e-01 2.283e+01 0.000e+00
5.000e-03 3.773e-01 1.255e-01 2.228e+01 0.000e+00
5.477e-03 3.394e-01 1.319e-01 1.683e+01 0.000e+00
6.000e-03 3.047e-01 1.379e-01 1.269e+01 0.000e+00
6.046e-03 3.019e-01 1.384e-01 1.239e+01 0.000e+00
6.675e-03 2.681e-01 1.444e-01 9.103e+00 0.000e+00
7.368e-03 2.379e-01 1.499e-01 6.683e+00 0.000e+00
8.000e-03 2.152e-01 1.541e-01 5.160e+00 0.000e+00
8.134e-03 2.109e-01 1.549e-01 4.897e+00 0.000e+00
8.979e-03 1.869e-01 1.596e-01 3.585e+00 0.000e+00
9.912e-03 1.655e-01 1.639e-01 2.620e+00 0.000e+00
1.000e-02 1.637e-01 1.643e-01 2.547e+00 0.000e+00
1.094e-02 1.464e-01 1.679e-01 1.914e+00 0.000e+00
1.208e-02 1.292e-01 1.717e-01 1.394e+00 0.000e+00
1.334e-02 1.136e-01 1.751e-01 1.014e+00 0.000e+00
1.472e-02 9.961e-02 1.782e-01 7.385e-01 0.000e+00
1.500e-02 9.709e-02 1.788e-01 6.949e-01 0.000e+00
1.625e-02 8.691e-02 1.811e-01 5.365e-01 0.000e+00
1.794e-02 7.546e-02 1.836e-01 3.892e-01 0.000e+00
1.980e-02 6.522e-02 1.858e-01 2.824e-01 0.000e+00
2.000e-02 6.424e-02 1.860e-01 2.733e-01 0.000e+00
2.186e-02 5.606e-02 1.875e-01 2.045e-01 0.000e+00
2.413e-02 4.797e-02 1.888e-01 1.480e-01 0.000e+00
2.664e-02 4.086e-02 1.897e-01 1.070e-01 0.000e+00
2.941e-02 3.468e-02 1.902e-01 7.731e-02 0.000e+00
3.000e-02 3.355e-02 1.902e-01 7.241e-02 0.000e+00
3.247e-02 2.934e-02 1.902e-01 5.580e-02 0.000e+00
3.584e-02 2.475e-02 1.898e-01 4.028e-02 0.000e+00
3.957e-02 2.082e-02 1.891e-01 2.904e-02 0.000e+00
4.000e-02 2.043e-02 1.890e-01 2.802e-02 0.000e+00
4.368e-02 1.748e-02 1.879e-01 2.094e-02 0.000e+00
4.822e-02 1.464e-02 1.865e-01 1.509e-02 0.000e+00
5.000e-02 1.371e-02 1.858e-01 1.338e-02 0.000e+00
5.323e-02 1.224e-02 1.846e-01 1.087e-02 0.000e+00
5.876e-02 1.021e-02 1.825e-01 7.829e-03 0.000e+00
6.000e-02 9.823e-03 1.820e-01 7.304e-03 0.000e+00
6.486e-02 8.502e-03 1.801e-01 5.639e-03 0.000e+00
7.161e-02 7.066e-03 1.774e-01 4.058e-03 0.000e+00
7.905e-02 5.864e-03 1.744e-01 2.922e-03 0.000e+00
8.000e-02 5.733e-03 1.741e-01 2.809e-03 0.000e+00
8.726e-02 4.859e-03 1.713e-01 2.105e-03 0.000e+00
9.633e-02 4.020e-03 1.679e-01 1.517e-03 0.000e+00
1.000e-01 3.741e-03 1.665e-01 1.340e-03 0.000e+00
1.063e-01 3.325e-03 1.643e-01 1.095e-03 0.000e+00
1.174e-01 2.742e-03 1.605e-01 7.889e-04 0.000e+00
1.296e-01 2.262e-03 1.567e-01 5.698e-04 0.000e+00
1.431e-01 1.863e-03 1.526e-01 4.118e-04 0.000e+00
