# DIMETHYL SULFOXIDE from NIST Database
1.101e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 7.679e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 2.560e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 1.280e-02 3.500e+00 0.000e+00 0.000e+00
1.600e+01 1.280e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.875e+00 1.367e-02 2.615e+03 0.000e+00
1.020e-03 1.868e+00 1.415e-02 2.480e+03 0.000e+00
1.126e-03 1.832e+00 1.677e-02 1.900e+03 0.000e+00
1.243e-03 1.794e+00 1.984e-02 1.455e+03 0.000e+00
1.372e-03 1.752e+00 2.337e-02 1.114e+03 0.000e+00
1.500e-03 1.709e+00 2.697e-02 8.732e+02 0.000e+00
1.515e-03 1.704e+00 2.739e-02 8.496e+02 0.000e+00
1.672e-03 1.648e+00 3.186e-02 6.465e+02 0.000e+00
1.846e-03 1.585e+00 3.680e-02 4.906e+02 0.000e+00
2.000e-03 1.529e+00 4.113e-02 3.919e+02 0.000e+00
2.038e-03 1.516e+00 4.219e-02 3.717e+02 0.000e+00
2.250e-03 1.440e+00 4.801e-02 2.809e+02 0.000e+00
2.472e-03 1.366e+00 5.389e-02 2.151e+02 0.000e+00
2.472e-03 1.366e+00 5.389e-02 9.755e+02 0.000e+00
2.483e-03 1.362e+00 5.418e-02 9.657e+02 0.000e+00
2.741e-03 1.281e+00 6.068e-02 7.697e+02 0.000e+00
3.000e-03 1.206e+00 6.683e-02 6.203e+02 0.000e+00
3.026e-03 1.199e+00 6.742e-02 6.072e+02 0.000e+00
3.341e-03 1.116e+00 7.429e-02 4.710e+02 0.000e+00
3.688e-03 1.033e+00 8.116e-02 3.614e+02 0.000e+00
4.000e-03 9.673e-01 8.676e-02 2.898e+02 0.000e+00
4.071e-03 9.533e-01 8.796e-02 2.762e+02 0.000e+00
4.494e-03 8.767e-01 9.460e-02 2.112e+02 0.000e+00
4.961e-03 8.042e-01 1.010e-01 1.613e+02 0.000e+00
5.000e-03 7.986e-01 1.015e-01 1.579e+02 0.000e+00
5.477e-03 7.360e-01 1.071e-01 1.227e+02 0.000e+00
6.000e-03 6.770e-01 1.125e-01 9.511e+01 0.000e+00
