# ETHYL ALCOHOL from NIST Database
7.893e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.302e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.342e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.171e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.130e+00 1.615e-02 2.747e+03 0.000e+00
1.020e-03 1.125e+00 1.672e-02 2.602e+03 0.000e+00
1.126e-03 1.102e+00 1.986e-02 1.988e+03 0.000e+00
1.243e-03 1.078e+00 2.354e-02 1.518e+03 0.000e+00
1.372e-03 1.051e+00 2.780e-02 1.156e+03 0.000e+00
1.500e-03 1.022e+00 3.216e-02 9.023e+02 0.000e+00
1.515e-03 1.019e+00 3.267e-02 8.776e+02 0.000e+00
1.672e-03 9.827e-01 3.810e-02 6.647e+02 0.000e+00
1.846e-03 9.414e-01 4.414e-02 5.014e+02 0.000e+00
2.000e-03 9.049e-01 4.945e-02 3.983e+02 0.000e+00
2.038e-03 8.959e-01 5.075e-02 3.773e+02 0.000e+00
2.250e-03 8.467e-01 5.791e-02 2.833e+02 0.000e+00
2.483e-03 7.948e-01 6.550e-02 2.126e+02 0.000e+00
2.741e-03 7.403e-01 7.351e-02 1.590e+02 0.000e+00
3.000e-03 6.893e-01 8.106e-02 1.218e+02 0.000e+00
3.026e-03 6.843e-01 8.179e-02 1.187e+02 0.000e+00
3.341e-03 6.277e-01 9.020e-02 8.840e+01 0.000e+00
3.688e-03 5.717e-01 9.859e-02 6.575e+01 0.000e+00
4.000e-03 5.268e-01 1.054e-01 5.148e+01 0.000e+00
4.071e-03 5.172e-01 1.068e-01 4.881e+01 0.000e+00
4.494e-03 4.652e-01 1.148e-01 3.617e+01 0.000e+00
4.961e-03 4.163e-01 1.223e-01 2.676e+01 0.000e+00
5.000e-03 4.126e-01 1.229e-01 2.612e+01 0.000e+00
5.477e-03 3.711e-01 1.294e-01 1.975e+01 0.000e+00
6.000e-03 3.329e-01 1.356e-01 1.491e+01 0.000e+00
6.046e-03 3.299e-01 1.361e-01 1.456e+01 0.000e+00
6.675e-03 2.925e-01 1.422e-01 1.072e+01 0.000e+00
7.368e-03 2.590e-01 1.478e-01 7.879e+00 0.000e+00
8.000e-03 2.338e-01 1.521e-01 6.091e+00 0.000e+00
8.134e-03 2.290e-01 1.530e-01 5.782e+00 0.000e+00
8.979e-03 2.024e-01 1.577e-01 4.238e+00 0.000e+00
9.912e-03 1.788e-01 1.621e-01 3.102e+00 0.000e+00
1.000e-02 1.768e-01 1.625e-01 3.016e+00 0.000e+00
1.094e-02 1.578e-01 1.661e-01 2.268e+00 0.000e+00
1.208e-02 1.389e-01 1.699e-01 1.654e+00 0.000e+00
1.334e-02 1.220e-01 1.734e-01 1.205e+00 0.000e+00
1.472e-02 1.069e-01 1.765e-01 8.784e-01 0.000e+00
1.500e-02 1.042e-01 1.771e-01 8.268e-01 0.000e+00
1.625e-02 9.324e-02 1.794e-01 6.389e-01 0.000e+00
1.794e-02 8.098e-02 1.819e-01 4.640e-01 0.000e+00
1.980e-02 7.004e-02 1.841e-01 3.370e-01 0.000e+00
2.000e-02 6.900e-02 1.843e-01 3.262e-01 0.000e+00
2.186e-02 6.026e-02 1.859e-01 2.443e-01 0.000e+00
2.413e-02 5.161e-02 1.872e-01 1.770e-01 0.000e+00
2.664e-02 4.401e-02 1.882e-01 1.281e-01 0.000e+00
2.941e-02 3.739e-02 1.887e-01 9.260e-02 0.000e+00
3.000e-02 3.616e-02 1.888e-01 8.675e-02 0.000e+00
3.247e-02 3.164e-02 1.888e-01 6.689e-02 0.000e+00
3.584e-02 2.671e-02 1.885e-01 4.833e-02 0.000e+00
3.957e-02 2.248e-02 1.878e-01 3.487e-02 0.000e+00
4.000e-02 2.205e-02 1.877e-01 3.365e-02 0.000e+00
4.368e-02 1.888e-02 1.868e-01 2.516e-02 0.000e+00
4.822e-02 1.582e-02 1.854e-01 1.814e-02 0.000e+00
5.000e-02 1.482e-02 1.847e-01 1.609e-02 0.000e+00
5.323e-02 1.323e-02 1.836e-01 1.308e-02 0.000e+00
5.876e-02 1.104e-02 1.815e-01 9.425e-03 0.000e+00
6.000e-02 1.062e-02 1.810e-01 8.794e-03 0.000e+00
6.486e-02 9.199e-03 1.791e-01 6.793e-03 0.000e+00
7.161e-02 7.648e-03 1.765e-01 4.892e-03 0.000e+00
7.905e-02 6.350e-03 1.736e-01 3.525e-03 0.000e+00
8.000e-02 6.208e-03 1.732e-01 3.388e-03 0.000e+00
8.726e-02 5.264e-03 1.705e-01 2.540e-03 0.000e+00
9.633e-02 4.357e-03 1.671e-01 1.831e-03 0.000e+00
1.000e-01 4.055e-03 1.658e-01 1.618e-03 0.000e+00
1.063e-01 3.605e-03 1.636e-01 1.322e-03 0.000e+00
1.174e-01 2.975e-03 1.598e-01 9.532e-04 0.000e+00
1.296e-01 2.454e-03 1.560e-01 6.887e-04 0.000e+00
1.431e-01 2.022e-03 1.520e-01 4.979e-04 0.000e+00
1.500e-01 1.844e-03 1.500e-01 4.269e-04 0.000e+00
1.579e-01 1.667e-03 1.479e-01 3.611e-04 0.000e+00
1.743e-01 1.373e-03 1.437e-01 2.621e-04 0.000e+00
1.925e-01 1.128e-03 1.394e-01 1.903e-04 0.000e+00
2.000e-01 1.046e-03 1.377e-01 1.684e-04 0.000e+00
2.125e-01 9.280e-04 1.351e-01 1.388e-04 0.000e+00
2.345e-01 7.634e-04 1.308e-01 1.016e-04 0.000e+00
2.589e-01 6.273e-04 1.264e-01 7.459e-05 0.000e+00
2.858e-01 5.154e-04 1.221e-01 5.500e-05 0.000e+00
3.000e-01 4.681e-04 1.200e-01 4.745e-05 0.000e+00
3.155e-01 4.234e-04 1.178e-01 4.075e-05 0.000e+00
3.483e-01 3.477e-04 1.135e-01 3.035e-05 0.000e+00
3.845e-01 2.855e-04 1.092e-01 2.274e-05 0.000e+00
4.000e-01 2.639e-04 1.076e-01 2.029e-05 0.000e+00
4.245e-01 2.344e-04 1.051e-01 1.713e-05 0.000e+00
4.686e-01 1.925e-04 1.009e-01 1.302e-05 0.000e+00
5.000e-01 1.691e-04 9.827e-02 1.093e-05 0.000e+00
5.173e-01 1.580e-04 9.688e-02 9.994e-06 0.000e+00
5.710e-01 1.297e-04 9.288e-02 7.736e-06 0.000e+00
6.000e-01 1.175e-04 9.091e-02 6.805e-06 0.000e+00
6.304e-01 1.064e-04 8.896e-02 5.983e-06 0.000e+00
6.959e-01 8.737e-05 8.514e-02 4.654e-06 0.000e+00
7.682e-01 7.171e-05 8.139e-02 3.718e-06 0.000e+00
8.000e-01 6.612e-05 7.988e-02 3.433e-06 0.000e+00
8.480e-01 5.885e-05 7.772e-02 3.102e-06 0.000e+00
9.361e-01 4.829e-05 7.415e-02 2.566e-06 0.000e+00
1.000e+00 4.233e-05 7.184e-02 2.135e-06 0.000e+00
1.022e+00 4.053e-05 7.109e-02 1.982e-06 0.000e+00
1.033e+00 3.967e-05 7.072e-02 1.916e-06 2.891e-09
1.141e+00 3.253e-05 6.731e-02 1.537e-06 2.746e-06
1.250e+00 2.710e-05 6.424e-02 1.346e-06 1.486e-05
1.259e+00 2.671e-05 6.400e-02 1.331e-06 1.635e-05
1.390e+00 2.191e-05 6.079e-02 1.123e-06 4.635e-05
1.500e+00 1.882e-05 5.839e-02 9.768e-07 8.237e-05
1.535e+00 1.797e-05 5.768e-02 9.377e-07 9.563e-05
1.694e+00 1.476e-05 5.468e-02 7.953e-07 1.650e-04
1.870e+00 1.211e-05 5.176e-02 6.815e-07 2.553e-04
2.000e+00 1.059e-05 4.982e-02 6.151e-07 3.282e-04
2.044e+00 1.013e-05 4.921e-02 5.951e-07 3.537e-04
2.065e+00 9.929e-06 4.892e-02 5.859e-07 3.660e-04
2.279e+00 8.149e-06 4.620e-02 5.060e-07 4.950e-04
2.516e+00 6.687e-06 4.358e-02 4.388e-07 6.432e-04
2.778e+00 5.487e-06 4.107e-02 3.821e-07 8.103e-04
3.000e+00 4.705e-06 3.919e-02 3.441e-07 9.528e-04
3.066e+00 4.505e-06 3.867e-02 3.342e-07 9.951e-04
3.385e+00 3.696e-06 3.636e-02 2.931e-07 1.199e-03
3.737e+00 3.033e-06 3.416e-02 2.578e-07 1.419e-03
4.000e+00 2.647e-06 3.270e-02 2.364e-07 1.580e-03
4.125e+00 2.489e-06 3.205e-02 2.274e-07 1.655e-03
4.554e+00 2.042e-06 3.004e-02 2.011e-07 1.906e-03
5.000e+00 1.694e-06 2.824e-02 1.794e-07 2.157e-03
5.027e+00 1.676e-06 2.813e-02 1.782e-07 2.171e-03
5.549e+00 1.375e-06 2.632e-02 1.582e-07 2.453e-03
6.000e+00 1.176e-06 2.496e-02 1.442e-07 2.685e-03
6.126e+00 1.128e-06 2.460e-02 1.408e-07 2.748e-03
6.762e+00 9.260e-07 2.298e-02 1.255e-07 3.053e-03
7.000e+00 8.641e-07 2.243e-02 1.205e-07 3.162e-03
7.465e+00 7.599e-07 2.144e-02 1.120e-07 3.368e-03
8.000e+00 6.618e-07 2.041e-02 1.035e-07 3.596e-03
8.241e+00 6.236e-07 1.999e-02 1.000e-07 3.695e-03
9.000e+00 5.229e-07 1.877e-02 9.061e-08 3.994e-03
9.097e+00 5.118e-07 1.862e-02 8.953e-08 4.031e-03
1.000e+01 4.235e-07 1.739e-02 8.058e-08 4.357e-03
1.004e+01 4.201e-07 1.734e-02 8.023e-08 4.371e-03
1.100e+01 3.500e-07 1.622e-02 7.253e-08 4.689e-03
1.109e+01 3.443e-07 1.612e-02 7.189e-08 4.717e-03
1.200e+01 2.941e-07 1.521e-02 6.594e-08 4.995e-03
1.224e+01 2.827e-07 1.499e-02 6.453e-08 5.066e-03
1.300e+01 2.506e-07 1.433e-02 6.044e-08 5.282e-03
1.351e+01 2.320e-07 1.392e-02 5.797e-08 5.421e-03
1.400e+01 2.161e-07 1.355e-02 5.578e-08 5.549e-03
1.491e+01 1.905e-07 1.293e-02 5.213e-08 5.777e-03
1.500e+01 1.882e-07 1.287e-02 5.180e-08 5.799e-03
1.600e+01 1.654e-07 1.225e-02 4.834e-08 6.038e-03
1.646e+01 1.563e-07 1.199e-02 4.690e-08 6.142e-03
1.800e+01 1.307e-07 1.120e-02 4.264e-08 6.471e-03
1.818e+01 1.281e-07 1.111e-02 4.220e-08 6.507e-03
2.000e+01 1.059e-07 1.033e-02 3.814e-08 6.861e-03
