# ETHYL CELLULOSE from NIST Database
1.130e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 8.931e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.872e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.030e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.150e+00 1.469e-02 2.784e+03 0.000e+00
1.020e-03 1.146e+00 1.520e-02 2.637e+03 0.000e+00
1.126e-03 1.122e+00 1.807e-02 2.014e+03 0.000e+00
1.243e-03 1.097e+00 2.143e-02 1.536e+03 0.000e+00
1.372e-03 1.069e+00 2.531e-02 1.169e+03 0.000e+00
1.500e-03 1.040e+00 2.929e-02 9.120e+02 0.000e+00
1.515e-03 1.036e+00 2.976e-02 8.869e+02 0.000e+00
1.672e-03 9.991e-01 3.473e-02 6.714e+02 0.000e+00
1.846e-03 9.568e-01 4.028e-02 5.061e+02 0.000e+00
2.000e-03 9.193e-01 4.517e-02 4.019e+02 0.000e+00
2.038e-03 9.101e-01 4.637e-02 3.806e+02 0.000e+00
2.250e-03 8.597e-01 5.298e-02 2.857e+02 0.000e+00
2.483e-03 8.066e-01 6.003e-02 2.143e+02 0.000e+00
2.741e-03 7.510e-01 6.750e-02 1.602e+02 0.000e+00
3.000e-03 6.990e-01 7.458e-02 1.226e+02 0.000e+00
3.026e-03 6.939e-01 7.527e-02 1.195e+02 0.000e+00
3.341e-03 6.363e-01 8.321e-02 8.897e+01 0.000e+00
3.688e-03 5.794e-01 9.117e-02 6.615e+01 0.000e+00
4.000e-03 5.338e-01 9.764e-02 5.177e+01 0.000e+00
4.071e-03 5.242e-01 9.903e-02 4.909e+01 0.000e+00
4.494e-03 4.715e-01 1.067e-01 3.636e+01 0.000e+00
4.961e-03 4.221e-01 1.139e-01 2.689e+01 0.000e+00
5.000e-03 4.183e-01 1.145e-01 2.625e+01 0.000e+00
5.477e-03 3.764e-01 1.208e-01 1.984e+01 0.000e+00
6.000e-03 3.378e-01 1.268e-01 1.497e+01 0.000e+00
6.046e-03 3.348e-01 1.273e-01 1.462e+01 0.000e+00
6.675e-03 2.971e-01 1.332e-01 1.076e+01 0.000e+00
7.368e-03 2.633e-01 1.388e-01 7.905e+00 0.000e+00
8.000e-03 2.379e-01 1.430e-01 6.110e+00 0.000e+00
8.134e-03 2.331e-01 1.439e-01 5.799e+00 0.000e+00
8.979e-03 2.062e-01 1.486e-01 4.249e+00 0.000e+00
9.912e-03 1.824e-01 1.530e-01 3.109e+00 0.000e+00
1.000e-02 1.803e-01 1.534e-01 3.023e+00 0.000e+00
1.094e-02 1.611e-01 1.571e-01 2.273e+00 0.000e+00
1.208e-02 1.419e-01 1.610e-01 1.657e+00 0.000e+00
1.334e-02 1.247e-01 1.645e-01 1.206e+00 0.000e+00
1.472e-02 1.093e-01 1.678e-01 8.794e-01 0.000e+00
1.500e-02 1.066e-01 1.684e-01 8.276e-01 0.000e+00
1.625e-02 9.542e-02 1.708e-01 6.394e-01 0.000e+00
1.794e-02 8.289e-02 1.735e-01 4.643e-01 0.000e+00
1.980e-02 7.170e-02 1.758e-01 3.371e-01 0.000e+00
2.000e-02 7.062e-02 1.760e-01 3.263e-01 0.000e+00
2.186e-02 6.168e-02 1.777e-01 2.443e-01 0.000e+00
2.413e-02 5.282e-02 1.792e-01 1.770e-01 0.000e+00
2.664e-02 4.504e-02 1.803e-01 1.280e-01 0.000e+00
2.941e-02 3.825e-02 1.810e-01 9.254e-02 0.000e+00
