# FERRIC OXIDE from NIST Database
5.200e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.879e-02 3.500e+00 0.000e+00 0.000e+00
2.600e+01 1.252e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 3.624e+00 8.698e-03 7.730e+03 0.000e+00
1.020e-03 3.614e+00 8.969e-03 7.362e+03 0.000e+00
1.126e-03 3.562e+00 1.045e-02 5.769e+03 0.000e+00
1.243e-03 3.507e+00 1.216e-02 4.520e+03 0.000e+00
1.372e-03 3.447e+00 1.409e-02 3.542e+03 0.000e+00
1.500e-03 3.385e+00 1.602e-02 2.840e+03 0.000e+00
1.515e-03 3.377e+00 1.624e-02 2.768e+03 0.000e+00
1.672e-03 3.298e+00 1.858e-02 2.142e+03 0.000e+00
1.846e-03 3.209e+00 2.115e-02 1.656e+03 0.000e+00
2.000e-03 3.130e+00 2.341e-02 1.344e+03 0.000e+00
2.038e-03 3.111e+00 2.397e-02 1.278e+03 0.000e+00
2.250e-03 3.004e+00 2.706e-02 9.800e+02 0.000e+00
2.483e-03 2.890e+00 3.043e-02 7.523e+02 0.000e+00
2.741e-03 2.767e+00 3.410e-02 5.769e+02 0.000e+00
3.000e-03 2.647e+00 3.772e-02 4.526e+02 0.000e+00
3.026e-03 2.635e+00 3.808e-02 4.420e+02 0.000e+00
3.341e-03 2.496e+00 4.235e-02 3.368e+02 0.000e+00
3.688e-03 2.351e+00 4.689e-02 2.567e+02 0.000e+00
4.000e-03 2.228e+00 5.080e-02 2.053e+02 0.000e+00
4.071e-03 2.201e+00 5.166e-02 1.955e+02 0.000e+00
4.494e-03 2.047e+00 5.664e-02 1.484e+02 0.000e+00
4.961e-03 1.891e+00 6.177e-02 1.127e+02 0.000e+00
5.000e-03 1.879e+00 6.218e-02 1.103e+02 0.000e+00
5.477e-03 1.736e+00 6.700e-02 8.533e+01 0.000e+00
6.000e-03 1.594e+00 7.188e-02 6.600e+01 0.000e+00
6.046e-03 1.582e+00 7.229e-02 6.459e+01 0.000e+00
6.675e-03 1.433e+00 7.761e-02 4.880e+01 0.000e+00
7.112e-03 1.341e+00 8.101e-02 4.077e+01 0.000e+00
7.112e-03 1.341e+00 8.101e-02 2.887e+02 0.000e+00
7.368e-03 1.292e+00 8.289e-02 2.648e+02 0.000e+00
