# FERROUS OXIDE from NIST Database
5.700e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.392e-02 3.500e+00 0.000e+00 0.000e+00
2.600e+01 1.392e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 3.861e+00 8.718e-03 8.080e+03 0.000e+00
1.020e-03 3.850e+00 8.985e-03 7.697e+03 0.000e+00
1.126e-03 3.795e+00 1.044e-02 6.038e+03 0.000e+00
1.243e-03 3.736e+00 1.210e-02 4.737e+03 0.000e+00
1.372e-03 3.672e+00 1.397e-02 3.716e+03 0.000e+00
1.500e-03 3.607e+00 1.583e-02 2.984e+03 0.000e+00
1.515e-03 3.599e+00 1.605e-02 2.908e+03 0.000e+00
1.672e-03 3.515e+00 1.828e-02 2.253e+03 0.000e+00
1.846e-03 3.421e+00 2.072e-02 1.743e+03 0.000e+00
2.000e-03 3.338e+00 2.285e-02 1.416e+03 0.000e+00
2.038e-03 3.318e+00 2.337e-02 1.347e+03 0.000e+00
2.250e-03 3.206e+00 2.628e-02 1.034e+03 0.000e+00
2.483e-03 3.085e+00 2.943e-02 7.944e+02 0.000e+00
2.741e-03 2.956e+00 3.287e-02 6.099e+02 0.000e+00
3.000e-03 2.830e+00 3.625e-02 4.789e+02 0.000e+00
3.026e-03 2.818e+00 3.659e-02 4.678e+02 0.000e+00
3.341e-03 2.672e+00 4.059e-02 3.567e+02 0.000e+00
3.688e-03 2.519e+00 4.486e-02 2.721e+02 0.000e+00
4.000e-03 2.389e+00 4.855e-02 2.179e+02 0.000e+00
4.071e-03 2.360e+00 4.937e-02 2.075e+02 0.000e+00
4.494e-03 2.198e+00 5.409e-02 1.577e+02 0.000e+00
4.961e-03 2.032e+00 5.898e-02 1.199e+02 0.000e+00
5.000e-03 2.019e+00 5.937e-02 1.173e+02 0.000e+00
5.477e-03 1.867e+00 6.400e-02 9.084e+01 0.000e+00
6.000e-03 1.716e+00 6.872e-02 7.033e+01 0.000e+00
6.046e-03 1.703e+00 6.911e-02 6.883e+01 0.000e+00
6.675e-03 1.544e+00 7.430e-02 5.205e+01 0.000e+00
7.112e-03 1.446e+00 7.764e-02 4.352e+01 0.000e+00
7.112e-03 1.446e+00 7.764e-02 3.191e+02 0.000e+00
7.368e-03 1.393e+00 7.949e-02 2.927e+02 0.000e+00
8.000e-03 1.275e+00 8.379e-02 2.388e+02 0.000e+00
8.134e-03 1.252e+00 8.466e-02 2.290e+02 0.000e+00
8.979e-03 1.121e+00 8.977e-02 1.772e+02 0.000e+00
9.912e-03 1.001e+00 9.478e-02 1.361e+02 0.000e+00
1.000e-02 9.909e-01 9.522e-02 1.329e+02 0.000e+00
1.094e-02 8.927e-01 9.962e-02 1.044e+02 0.000e+00
1.208e-02 7.948e-01 1.043e-01 7.980e+01 0.000e+00
1.334e-02 7.063e-01 1.088e-01 6.087e+01 0.000e+00
1.472e-02 6.271e-01 1.130e-01 4.642e+01 0.000e+00
1.500e-02 6.128e-01 1.138e-01 4.406e+01 0.000e+00
1.625e-02 5.550e-01 1.170e-01 3.525e+01 0.000e+00
1.794e-02 4.895e-01 1.208e-01 2.669e+01 0.000e+00
1.980e-02 4.297e-01 1.243e-01 2.018e+01 0.000e+00
2.000e-02 4.239e-01 1.247e-01 1.961e+01 0.000e+00
2.186e-02 3.747e-01 1.276e-01 1.521e+01 0.000e+00
2.413e-02 3.249e-01 1.306e-01 1.144e+01 0.000e+00
2.664e-02 2.801e-01 1.332e-01 8.588e+00 0.000e+00
2.941e-02 2.405e-01 1.355e-01 6.434e+00 0.000e+00
3.000e-02 2.331e-01 1.359e-01 6.071e+00 0.000e+00
3.247e-02 2.057e-01 1.374e-01 4.811e+00 0.000e+00
3.584e-02 1.755e-01 1.390e-01 3.593e+00 0.000e+00
3.957e-02 1.493e-01 1.401e-01 2.677e+00 0.000e+00
4.000e-02 1.467e-01 1.402e-01 2.592e+00 0.000e+00
4.368e-02 1.270e-01 1.408e-01 1.992e+00 0.000e+00
4.822e-02 1.079e-01 1.412e-01 1.479e+00 0.000e+00
5.000e-02 1.016e-01 1.412e-01 1.326e+00 0.000e+00
5.323e-02 9.149e-02 1.411e-01 1.098e+00 0.000e+00
5.876e-02 7.749e-02 1.408e-01 8.137e-01 0.000e+00
6.000e-02 7.481e-02 1.406e-01 7.637e-01 0.000e+00
6.486e-02 6.554e-02 1.400e-01 6.024e-01 0.000e+00
7.161e-02 5.530e-02 1.390e-01 4.452e-01 0.000e+00
7.905e-02 4.656e-02 1.376e-01 3.289e-01 0.000e+00
8.000e-02 4.560e-02 1.374e-01 3.170e-01 0.000e+00
8.726e-02 3.911e-02 1.360e-01 2.428e-01 0.000e+00
9.633e-02 3.276e-02 1.341e-01 1.791e-01 0.000e+00
1.000e-01 3.062e-02 1.333e-01 1.596e-01 0.000e+00
1.063e-01 2.740e-02 1.319e-01 1.322e-01 0.000e+00
1.174e-01 2.283e-02 1.295e-01 9.732e-02 0.000e+00
1.296e-01 1.901e-02 1.270e-01 7.174e-02 0.000e+00
1.431e-01 1.579e-02 1.242e-01 5.287e-02 0.000e+00
1.500e-01 1.446e-02 1.228e-01 4.574e-02 0.000e+00
1.579e-01 1.312e-02 1.213e-01 3.907e-02 0.000e+00
1.743e-01 1.088e-02 1.182e-01 2.886e-02 0.000e+00
1.925e-01 9.010e-03 1.150e-01 2.132e-02 0.000e+00
2.000e-01 8.376e-03 1.137e-01 1.898e-02 0.000e+00
2.125e-01 7.458e-03 1.117e-01 1.580e-02 0.000e+00
2.345e-01 6.172e-03 1.083e-01 1.174e-02 0.000e+00
2.589e-01 5.099e-03 1.049e-01 8.741e-03 0.000e+00
2.858e-01 4.209e-03 1.014e-01 6.531e-03 0.000e+00
3.000e-01 3.830e-03 9.973e-02 5.668e-03 0.000e+00
3.155e-01 3.472e-03 9.796e-02 4.898e-03 0.000e+00
3.483e-01 2.862e-03 9.450e-02 3.689e-03 0.000e+00
3.845e-01 2.357e-03 9.106e-02 2.793e-03 0.000e+00
