# GADOLINIUM OXYSULFIDE from NIST Database
7.440e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 5.283e-03 3.500e+00 0.000e+00 0.000e+00
1.600e+01 2.641e-03 3.500e+00 0.000e+00 0.000e+00
6.400e+01 5.283e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.582e+00 6.250e-03 2.489e+03 0.000e+00
1.020e-03 8.564e+00 6.429e-03 2.389e+03 0.000e+00
1.126e-03 8.472e+00 7.401e-03 1.951e+03 0.000e+00
1.185e-03 8.418e+00 7.951e-03 1.757e+03 0.000e+00
1.185e-03 8.418e+00 7.951e-03 1.902e+03 0.000e+00
1.201e-03 8.403e+00 8.098e-03 2.615e+03 0.000e+00
1.217e-03 8.387e+00 8.248e-03 3.664e+03 0.000e+00
1.217e-03 8.387e+00 8.248e-03 4.345e+03 0.000e+00
1.243e-03 8.363e+00 8.486e-03 4.344e+03 0.000e+00
1.372e-03 8.249e+00 9.670e-03 4.355e+03 0.000e+00
1.500e-03 8.134e+00 1.086e-02 4.382e+03 0.000e+00
1.515e-03 8.121e+00 1.100e-02 4.277e+03 0.000e+00
1.544e-03 8.093e+00 1.127e-02 4.083e+03 0.000e+00
1.544e-03 8.093e+00 1.127e-02 4.691e+03 0.000e+00
1.672e-03 7.972e+00 1.247e-02 3.898e+03 0.000e+00
1.688e-03 7.957e+00 1.262e-02 3.811e+03 0.000e+00
1.688e-03 7.957e+00 1.262e-02 4.037e+03 0.000e+00
1.846e-03 7.813e+00 1.407e-02 3.303e+03 0.000e+00
1.881e-03 7.781e+00 1.439e-02 3.167e+03 0.000e+00
1.881e-03 7.781e+00 1.439e-02 3.302e+03 0.000e+00
2.000e-03 7.668e+00 1.550e-02 2.875e+03 0.000e+00
2.038e-03 7.632e+00 1.586e-02 2.749e+03 0.000e+00
2.250e-03 7.435e+00 1.782e-02 2.172e+03 0.000e+00
2.472e-03 7.233e+00 1.984e-02 1.737e+03 0.000e+00
2.472e-03 7.233e+00 1.984e-02 1.894e+03 0.000e+00
2.483e-03 7.223e+00 1.994e-02 1.874e+03 0.000e+00
2.741e-03 6.994e+00 2.225e-02 1.484e+03 0.000e+00
3.000e-03 6.769e+00 2.452e-02 1.198e+03 0.000e+00
3.026e-03 6.747e+00 2.474e-02 1.173e+03 0.000e+00
3.341e-03 6.479e+00 2.740e-02 9.176e+02 0.000e+00
3.688e-03 6.195e+00 3.022e-02 7.173e+02 0.000e+00
4.000e-03 5.951e+00 3.266e-02 5.857e+02 0.000e+00
4.071e-03 5.897e+00 3.320e-02 5.600e+02 0.000e+00
4.494e-03 5.586e+00 3.631e-02 4.354e+02 0.000e+00
