# GLASS, LEAD from NIST Database
6.220e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 9.778e-03 3.500e+00 0.000e+00 0.000e+00
1.400e+01 2.879e-03 3.500e+00 0.000e+00 0.000e+00
2.200e+01 1.691e-04 3.500e+00 0.000e+00 0.000e+00
3.300e+01 3.538e-05 3.500e+00 0.000e+00 0.000e+00
8.200e+01 3.629e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.890e+00 5.205e-03 4.805e+03 0.000e+00
1.020e-03 9.873e+00 5.374e-03 4.610e+03 0.000e+00
1.126e-03 9.785e+00 6.305e-03 3.751e+03 0.000e+00
1.243e-03 9.692e+00 7.382e-03 3.054e+03 0.000e+00
1.323e-03 9.626e+00 8.142e-03 2.682e+03 0.000e+00
1.323e-03 9.626e+00 8.142e-03 2.691e+03 0.000e+00
1.341e-03 9.612e+00 8.311e-03 2.618e+03 0.000e+00
1.359e-03 9.597e+00 8.482e-03 2.548e+03 0.000e+00
1.359e-03 9.597e+00 8.482e-03 2.552e+03 0.000e+00
1.372e-03 9.585e+00 8.611e-03 2.501e+03 0.000e+00
1.500e-03 9.474e+00 9.851e-03 2.079e+03 0.000e+00
1.515e-03 9.461e+00 9.997e-03 2.034e+03 0.000e+00
1.526e-03 9.450e+00 1.011e-02 2.000e+03 0.000e+00
1.526e-03 9.450e+00 1.011e-02 2.002e+03 0.000e+00
1.672e-03 9.315e+00 1.152e-02 1.637e+03 0.000e+00
1.839e-03 9.156e+00 1.313e-02 1.326e+03 0.000e+00
1.839e-03 9.156e+00 1.313e-02 1.560e+03 0.000e+00
1.846e-03 9.149e+00 1.320e-02 1.547e+03 0.000e+00
2.000e-03 9.001e+00 1.468e-02 1.307e+03 0.000e+00
2.038e-03 8.965e+00 1.504e-02 1.253e+03 0.000e+00
2.250e-03 8.763e+00 1.704e-02 1.002e+03 0.000e+00
2.483e-03 8.541e+00 1.920e-02 7.966e+02 0.000e+00
