# GLASS, PLATE from NIST Database
2.400e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.874e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 4.195e-03 3.500e+00 0.000e+00 0.000e+00
1.400e+01 1.198e-02 3.500e+00 0.000e+00 0.000e+00
2.000e+01 2.675e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.110e+00 1.117e-02 3.221e+03 0.000e+00
1.020e-03 2.102e+00 1.152e-02 3.057e+03 0.000e+00
1.072e-03 2.083e+00 1.245e-02 2.680e+03 0.000e+00
1.072e-03 2.083e+00 1.245e-02 3.248e+03 0.000e+00
1.126e-03 2.063e+00 1.344e-02 2.872e+03 0.000e+00
1.243e-03 2.022e+00 1.564e-02 2.239e+03 0.000e+00
1.372e-03 1.976e+00 1.813e-02 1.742e+03 0.000e+00
1.500e-03 1.930e+00 2.063e-02 1.382e+03 0.000e+00
1.515e-03 1.924e+00 2.092e-02 1.346e+03 0.000e+00
1.672e-03 1.866e+00 2.399e-02 1.034e+03 0.000e+00
1.839e-03 1.804e+00 2.723e-02 7.978e+02 0.000e+00
1.839e-03 1.804e+00 2.723e-02 1.768e+03 0.000e+00
1.846e-03 1.802e+00 2.737e-02 1.754e+03 0.000e+00
2.000e-03 1.746e+00 3.035e-02 1.485e+03 0.000e+00
2.038e-03 1.733e+00 3.109e-02 1.424e+03 0.000e+00
2.250e-03 1.659e+00 3.513e-02 1.121e+03 0.000e+00
2.483e-03 1.581e+00 3.949e-02 8.615e+02 0.000e+00
2.741e-03 1.499e+00 4.417e-02 6.525e+02 0.000e+00
3.000e-03 1.422e+00 4.871e-02 5.052e+02 0.000e+00
3.026e-03 1.414e+00 4.915e-02 4.931e+02 0.000e+00
3.341e-03 1.328e+00 5.440e-02 3.748e+02 0.000e+00
3.688e-03 1.240e+00 5.987e-02 2.861e+02 0.000e+00
4.000e-03 1.167e+00 6.451e-02 2.289e+02 0.000e+00
4.038e-03 1.158e+00 6.506e-02 2.229e+02 0.000e+00
4.038e-03 1.158e+00 6.506e-02 3.199e+02 0.000e+00
4.071e-03 1.151e+00 6.553e-02 3.131e+02 0.000e+00
4.494e-03 1.063e+00 7.135e-02 2.402e+02 0.000e+00
4.961e-03 9.777e-01 7.727e-02 1.835e+02 0.000e+00
5.000e-03 9.710e-01 7.774e-02 1.796e+02 0.000e+00
5.477e-03 8.943e-01 8.323e-02 1.395e+02 0.000e+00
6.000e-03 8.199e-01 8.871e-02 1.081e+02 0.000e+00
6.046e-03 8.137e-01 8.917e-02 1.058e+02 0.000e+00
6.675e-03 7.366e-01 9.504e-02 8.005e+01 0.000e+00
7.368e-03 6.635e-01 1.008e-01 6.050e+01 0.000e+00
8.000e-03 6.059e-01 1.054e-01 4.783e+01 0.000e+00
8.134e-03 5.946e-01 1.064e-01 4.560e+01 0.000e+00
8.979e-03 5.304e-01 1.117e-01 3.429e+01 0.000e+00
9.912e-03 4.709e-01 1.169e-01 2.573e+01 0.000e+00
1.000e-02 4.659e-01 1.173e-01 2.507e+01 0.000e+00
1.094e-02 4.164e-01 1.218e-01 1.927e+01 0.000e+00
1.208e-02 3.665e-01 1.265e-01 1.439e+01 0.000e+00
1.334e-02 3.213e-01 1.309e-01 1.073e+01 0.000e+00
1.472e-02 2.809e-01 1.350e-01 7.998e+00 0.000e+00
1.500e-02 2.736e-01 1.357e-01 7.560e+00 0.000e+00
1.625e-02 2.445e-01 1.388e-01 5.946e+00 0.000e+00
1.794e-02 2.121e-01 1.422e-01 4.411e+00 0.000e+00
1.980e-02 1.835e-01 1.454e-01 3.271e+00 0.000e+00
2.000e-02 1.808e-01 1.457e-01 3.172e+00 0.000e+00
2.186e-02 1.582e-01 1.481e-01 2.419e+00 0.000e+00
2.413e-02 1.361e-01 1.505e-01 1.787e+00 0.000e+00
2.664e-02 1.167e-01 1.525e-01 1.318e+00 0.000e+00
