# LANTHANUM OXYBROMIDE from NIST Database
6.280e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 4.259e-03 3.500e+00 0.000e+00 0.000e+00
3.500e+01 4.258e-03 3.500e+00 0.000e+00 0.000e+00
5.700e+01 4.259e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.255e+00 6.413e-03 6.574e+03 0.000e+00
1.020e-03 7.238e+00 6.599e-03 6.283e+03 0.000e+00
1.123e-03 7.150e+00 7.581e-03 5.042e+03 0.000e+00
1.123e-03 7.150e+00 7.581e-03 5.647e+03 0.000e+00
1.126e-03 7.148e+00 7.606e-03 5.618e+03 0.000e+00
1.204e-03 7.081e+00 8.358e-03 4.846e+03 0.000e+00
1.204e-03 7.081e+00 8.358e-03 5.089e+03 0.000e+00
1.243e-03 7.048e+00 8.725e-03 4.753e+03 0.000e+00
1.361e-03 6.947e+00 9.851e-03 3.904e+03 0.000e+00
1.361e-03 6.947e+00 9.851e-03 4.052e+03 0.000e+00
1.372e-03 6.938e+00 9.954e-03 3.982e+03 0.000e+00
1.500e-03 6.823e+00 1.120e-02 3.263e+03 0.000e+00
1.515e-03 6.809e+00 1.135e-02 3.188e+03 0.000e+00
1.550e-03 6.778e+00 1.169e-02 3.024e+03 0.000e+00
1.550e-03 6.778e+00 1.169e-02 4.176e+03 0.000e+00
1.573e-03 6.757e+00 1.192e-02 3.957e+03 0.000e+00
1.596e-03 6.736e+00 1.215e-02 3.753e+03 0.000e+00
1.596e-03 6.736e+00 1.215e-02 4.267e+03 0.000e+00
1.672e-03 6.668e+00 1.289e-02 3.833e+03 0.000e+00
1.782e-03 6.571e+00 1.396e-02 3.310e+03 0.000e+00
1.782e-03 6.571e+00 1.396e-02 3.489e+03 0.000e+00
1.846e-03 6.514e+00 1.459e-02 3.210e+03 0.000e+00
2.000e-03 6.377e+00 1.609e-02 2.658e+03 0.000e+00
2.038e-03 6.344e+00 1.645e-02 2.537e+03 0.000e+00
2.250e-03 6.157e+00 1.850e-02 1.987e+03 0.000e+00
2.483e-03 5.957e+00 2.072e-02 1.558e+03 0.000e+00
2.741e-03 5.743e+00 2.314e-02 1.220e+03 0.000e+00
3.000e-03 5.536e+00 2.551e-02 9.762e+02 0.000e+00
3.026e-03 5.516e+00 2.574e-02 9.549e+02 0.000e+00
3.341e-03 5.277e+00 2.853e-02 7.410e+02 0.000e+00
3.688e-03 5.029e+00 3.148e-02 5.753e+02 0.000e+00
4.000e-03 4.819e+00 3.403e-02 4.673e+02 0.000e+00
4.071e-03 4.772e+00 3.459e-02 4.463e+02 0.000e+00
4.494e-03 4.509e+00 3.784e-02 3.447e+02 0.000e+00
4.961e-03 4.243e+00 4.119e-02 2.663e+02 0.000e+00
5.000e-03 4.222e+00 4.146e-02 2.609e+02 0.000e+00
5.477e-03 3.978e+00 4.463e-02 2.050e+02 0.000e+00
5.483e-03 3.975e+00 4.466e-02 2.044e+02 0.000e+00
5.483e-03 3.975e+00 4.466e-02 4.247e+02 0.000e+00
5.683e-03 3.879e+00 4.592e-02 3.885e+02 0.000e+00
5.891e-03 3.782e+00 4.719e-02 3.552e+02 0.000e+00
5.891e-03 3.782e+00 4.719e-02 4.560e+02 0.000e+00
6.000e-03 3.731e+00 4.785e-02 4.389e+02 0.000e+00
6.046e-03 3.711e+00 4.812e-02 4.303e+02 0.000e+00
6.266e-03 3.615e+00 4.941e-02 3.920e+02 0.000e+00
6.266e-03 3.615e+00 4.941e-02 4.431e+02 0.000e+00
6.675e-03 3.446e+00 5.169e-02 3.769e+02 0.000e+00
7.368e-03 3.183e+00 5.529e-02 2.928e+02 0.000e+00
8.000e-03 2.966e+00 5.835e-02 2.372e+02 0.000e+00
8.134e-03 2.923e+00 5.897e-02 2.270e+02 0.000e+00
8.979e-03 2.669e+00 6.274e-02 1.745e+02 0.000e+00
9.912e-03 2.424e+00 6.659e-02 1.341e+02 0.000e+00
1.000e-02 2.402e+00 6.694e-02 1.310e+02 0.000e+00
1.094e-02 2.190e+00 7.053e-02 1.028e+02 0.000e+00
1.208e-02 1.970e+00 7.453e-02 7.868e+01 0.000e+00
1.334e-02 1.766e+00 7.853e-02 6.019e+01 0.000e+00
1.347e-02 1.747e+00 7.894e-02 5.859e+01 0.000e+00
1.347e-02 1.747e+00 7.894e-02 1.012e+02 0.000e+00
1.472e-02 1.581e+00 8.246e-02 8.026e+01 0.000e+00
1.500e-02 1.547e+00 8.321e-02 7.638e+01 0.000e+00
1.625e-02 1.411e+00 8.634e-02 6.168e+01 0.000e+00
1.794e-02 1.255e+00 9.012e-02 4.728e+01 0.000e+00
1.980e-02 1.111e+00 9.372e-02 3.621e+01 0.000e+00
2.000e-02 1.098e+00 9.408e-02 3.523e+01 0.000e+00
2.186e-02 9.791e-01 9.713e-02 2.761e+01 0.000e+00
2.413e-02 8.583e-01 1.003e-01 2.103e+01 0.000e+00
2.664e-02 7.484e-01 1.033e-01 1.599e+01 0.000e+00
2.941e-02 6.495e-01 1.059e-01 1.214e+01 0.000e+00
3.000e-02 6.309e-01 1.065e-01 1.148e+01 0.000e+00
3.247e-02 5.611e-01 1.084e-01 9.186e+00 0.000e+00
3.584e-02 4.834e-01 1.105e-01 6.947e+00 0.000e+00
3.892e-02 4.261e-01 1.121e-01 5.497e+00 0.000e+00
3.892e-02 4.261e-01 1.121e-01 1.878e+01 0.000e+00
3.957e-02 4.155e-01 1.124e-01 1.796e+01 0.000e+00
4.000e-02 4.087e-01 1.126e-01 1.744e+01 0.000e+00
4.368e-02 3.568e-01 1.139e-01 1.377e+01 0.000e+00
4.822e-02 3.058e-01 1.151e-01 1.060e+01 0.000e+00
5.000e-02 2.888e-01 1.155e-01 9.623e+00 0.000e+00
5.323e-02 2.614e-01 1.160e-01 8.129e+00 0.000e+00
5.876e-02 2.230e-01 1.166e-01 6.206e+00 0.000e+00
6.000e-02 2.155e-01 1.167e-01 5.860e+00 0.000e+00
6.486e-02 1.896e-01 1.168e-01 4.729e+00 0.000e+00
7.161e-02 1.606e-01 1.167e-01 3.596e+00 0.000e+00
7.905e-02 1.357e-01 1.163e-01 2.730e+00 0.000e+00
8.000e-02 1.330e-01 1.162e-01 2.641e+00 0.000e+00
8.726e-02 1.144e-01 1.156e-01 2.070e+00 0.000e+00
9.633e-02 9.625e-02 1.146e-01 1.567e+00 0.000e+00
1.000e-01 9.013e-02 1.141e-01 1.409e+00 0.000e+00
1.063e-01 8.092e-02 1.133e-01 1.186e+00 0.000e+00
1.174e-01 6.786e-02 1.117e-01 8.941e-01 0.000e+00
1.296e-01 5.689e-02 1.099e-01 6.748e-01 0.000e+00
1.431e-01 4.761e-02 1.079e-01 5.087e-01 0.000e+00
1.500e-01 4.373e-02 1.069e-01 4.448e-01 0.000e+00
1.579e-01 3.984e-02 1.057e-01 3.842e-01 0.000e+00
1.743e-01 3.327e-02 1.033e-01 2.899e-01 0.000e+00
1.925e-01 2.772e-02 1.008e-01 2.186e-01 0.000e+00
2.000e-01 2.583e-02 9.983e-02 1.961e-01 0.000e+00
2.125e-01 2.308e-02 9.821e-02 1.652e-01 0.000e+00
2.345e-01 1.920e-02 9.550e-02 1.251e-01 0.000e+00
2.589e-01 1.594e-02 9.271e-02 9.489e-02 0.000e+00
