# LANTHANUM OXYSULFIDE from NIST Database
5.860e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 5.850e-03 3.500e+00 0.000e+00 0.000e+00
1.600e+01 2.924e-03 3.500e+00 0.000e+00 0.000e+00
5.700e+01 5.850e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.516e+00 7.340e-03 8.034e+03 0.000e+00
1.020e-03 7.497e+00 7.544e-03 7.680e+03 0.000e+00
1.123e-03 7.402e+00 8.617e-03 6.165e+03 0.000e+00
1.123e-03 7.402e+00 8.617e-03 6.997e+03 0.000e+00
1.126e-03 7.399e+00 8.644e-03 6.962e+03 0.000e+00
1.204e-03 7.326e+00 9.458e-03 6.010e+03 0.000e+00
1.204e-03 7.326e+00 9.458e-03 6.345e+03 0.000e+00
1.243e-03 7.290e+00 9.853e-03 5.928e+03 0.000e+00
1.361e-03 7.182e+00 1.106e-02 4.876e+03 0.000e+00
1.361e-03 7.182e+00 1.106e-02 5.081e+03 0.000e+00
1.372e-03 7.171e+00 1.117e-02 4.993e+03 0.000e+00
1.500e-03 7.049e+00 1.251e-02 4.095e+03 0.000e+00
1.515e-03 7.034e+00 1.266e-02 4.001e+03 0.000e+00
1.672e-03 6.886e+00 1.431e-02 3.181e+03 0.000e+00
1.846e-03 6.724e+00 1.610e-02 2.527e+03 0.000e+00
2.000e-03 6.582e+00 1.769e-02 2.097e+03 0.000e+00
2.038e-03 6.547e+00 1.808e-02 2.003e+03 0.000e+00
2.250e-03 6.354e+00 2.024e-02 1.573e+03 0.000e+00
2.472e-03 6.157e+00 2.247e-02 1.250e+03 0.000e+00
2.472e-03 6.157e+00 2.247e-02 1.424e+03 0.000e+00
2.483e-03 6.147e+00 2.258e-02 1.409e+03 0.000e+00
2.741e-03 5.926e+00 2.513e-02 1.111e+03 0.000e+00
3.000e-03 5.713e+00 2.762e-02 8.932e+02 0.000e+00
3.026e-03 5.692e+00 2.787e-02 8.741e+02 0.000e+00
3.341e-03 5.446e+00 3.079e-02 6.811e+02 0.000e+00
3.688e-03 5.190e+00 3.387e-02 5.301e+02 0.000e+00
4.000e-03 4.972e+00 3.651e-02 4.311e+02 0.000e+00
4.071e-03 4.925e+00 3.710e-02 4.120e+02 0.000e+00
4.494e-03 4.653e+00 4.046e-02 3.192e+02 0.000e+00
4.961e-03 4.378e+00 4.392e-02 2.473e+02 0.000e+00
5.000e-03 4.356e+00 4.419e-02 2.423e+02 0.000e+00
5.477e-03 4.105e+00 4.743e-02 1.909e+02 0.000e+00
5.483e-03 4.102e+00 4.746e-02 1.904e+02 0.000e+00
5.483e-03 4.102e+00 4.746e-02 4.930e+02 0.000e+00
5.683e-03 4.004e+00 4.874e-02 4.516e+02 0.000e+00
5.891e-03 3.904e+00 5.002e-02 4.134e+02 0.000e+00
5.891e-03 3.904e+00 5.002e-02 5.519e+02 0.000e+00
6.000e-03 3.852e+00 5.069e-02 5.320e+02 0.000e+00
6.046e-03 3.831e+00 5.097e-02 5.217e+02 0.000e+00
6.266e-03 3.733e+00 5.226e-02 4.756e+02 0.000e+00
6.266e-03 3.733e+00 5.226e-02 5.457e+02 0.000e+00
6.675e-03 3.562e+00 5.454e-02 4.649e+02 0.000e+00
7.368e-03 3.294e+00 5.812e-02 3.618e+02 0.000e+00
8.000e-03 3.074e+00 6.113e-02 2.936e+02 0.000e+00
8.134e-03 3.030e+00 6.174e-02 2.809e+02 0.000e+00
8.979e-03 2.773e+00 6.543e-02 2.162e+02 0.000e+00
9.912e-03 2.527e+00 6.919e-02 1.664e+02 0.000e+00
1.000e-02 2.505e+00 6.953e-02 1.626e+02 0.000e+00
1.094e-02 2.292e+00 7.300e-02 1.277e+02 0.000e+00
1.208e-02 2.071e+00 7.687e-02 9.777e+01 0.000e+00
1.334e-02 1.864e+00 8.074e-02 7.487e+01 0.000e+00
1.472e-02 1.675e+00 8.455e-02 5.744e+01 0.000e+00
1.500e-02 1.641e+00 8.526e-02 5.460e+01 0.000e+00
1.625e-02 1.501e+00 8.827e-02 4.383e+01 0.000e+00
1.794e-02 1.340e+00 9.187e-02 3.340e+01 0.000e+00
1.980e-02 1.191e+00 9.529e-02 2.547e+01 0.000e+00
2.000e-02 1.176e+00 9.563e-02 2.478e+01 0.000e+00
2.186e-02 1.051e+00 9.852e-02 1.934e+01 0.000e+00
2.413e-02 9.225e-01 1.015e-01 1.468e+01 0.000e+00
2.664e-02 8.047e-01 1.043e-01 1.114e+01 0.000e+00
2.941e-02 6.985e-01 1.068e-01 8.455e+00 0.000e+00
3.000e-02 6.786e-01 1.072e-01 8.000e+00 0.000e+00
3.247e-02 6.038e-01 1.090e-01 6.398e+00 0.000e+00
3.584e-02 5.206e-01 1.110e-01 4.841e+00 0.000e+00
3.892e-02 4.596e-01 1.125e-01 3.834e+00 0.000e+00
3.892e-02 4.596e-01 1.125e-01 2.208e+01 0.000e+00
3.957e-02 4.483e-01 1.128e-01 2.112e+01 0.000e+00
4.000e-02 4.411e-01 1.129e-01 2.052e+01 0.000e+00
4.368e-02 3.859e-01 1.142e-01 1.625e+01 0.000e+00
4.822e-02 3.316e-01 1.153e-01 1.255e+01 0.000e+00
5.000e-02 3.135e-01 1.157e-01 1.141e+01 0.000e+00
5.323e-02 2.842e-01 1.162e-01 9.656e+00 0.000e+00
5.876e-02 2.429e-01 1.167e-01 7.394e+00 0.000e+00
6.000e-02 2.349e-01 1.168e-01 6.986e+00 0.000e+00
6.486e-02 2.068e-01 1.170e-01 5.650e+00 0.000e+00
7.161e-02 1.754e-01 1.169e-01 4.307e+00 0.000e+00
7.905e-02 1.483e-01 1.165e-01 3.279e+00 0.000e+00
8.000e-02 1.453e-01 1.164e-01 3.172e+00 0.000e+00
8.726e-02 1.250e-01 1.157e-01 2.492e+00 0.000e+00
9.633e-02 1.052e-01 1.147e-01 1.890e+00 0.000e+00
1.000e-01 9.848e-02 1.143e-01 1.702e+00 0.000e+00
1.063e-01 8.844e-02 1.134e-01 1.434e+00 0.000e+00
1.174e-01 7.420e-02 1.119e-01 1.084e+00 0.000e+00
1.296e-01 6.224e-02 1.100e-01 8.194e-01 0.000e+00
1.431e-01 5.213e-02 1.080e-01 6.189e-01 0.000e+00
1.500e-01 4.790e-02 1.070e-01 5.416e-01 0.000e+00
1.579e-01 4.367e-02 1.058e-01 4.682e-01 0.000e+00
1.743e-01 3.651e-02 1.035e-01 3.539e-01 0.000e+00
1.925e-01 3.045e-02 1.009e-01 2.673e-01 0.000e+00
2.000e-01 2.838e-02 9.993e-02 2.400e-01 0.000e+00
2.125e-01 2.537e-02 9.832e-02 2.023e-01 0.000e+00
2.345e-01 2.113e-02 9.562e-02 1.535e-01 0.000e+00
2.589e-01 1.755e-02 9.283e-02 1.166e-01 0.000e+00
2.858e-01 1.456e-02 8.998e-02 8.877e-02 0.000e+00
3.000e-01 1.328e-02 8.857e-02 7.774e-02 0.000e+00
3.155e-01 1.207e-02 8.709e-02 6.780e-02 0.000e+00
3.483e-01 9.987e-03 8.416e-02 5.196e-02 0.000e+00
3.845e-01 8.261e-03 8.123e-02 3.999e-02 0.000e+00
4.000e-01 7.656e-03 8.005e-02 3.606e-02 0.000e+00
4.245e-01 6.827e-03 7.830e-02 3.091e-02 0.000e+00
4.686e-01 5.641e-03 7.539e-02 2.403e-02 0.000e+00
5.000e-01 4.974e-03 7.349e-02 2.043e-02 0.000e+00
5.173e-01 4.656e-03 7.249e-02 1.878e-02 0.000e+00
5.710e-01 3.841e-03 6.962e-02 1.477e-02 0.000e+00
6.000e-01 3.486e-03 6.819e-02 1.312e-02 0.000e+00
6.304e-01 3.165e-03 6.677e-02 1.168e-02 0.000e+00
6.959e-01 2.609e-03 6.395e-02 9.292e-03 0.000e+00
7.682e-01 2.149e-03 6.120e-02 7.448e-03 0.000e+00
8.000e-01 1.984e-03 6.010e-02 6.816e-03 0.000e+00
8.480e-01 1.768e-03 5.853e-02 6.015e-03 0.000e+00
9.361e-01 1.455e-03 5.591e-02 4.887e-03 0.000e+00
1.000e+00 1.277e-03 5.415e-02 4.262e-03 0.000e+00
1.022e+00 1.223e-03 5.357e-02 4.075e-03 0.000e+00
1.033e+00 1.198e-03 5.328e-02 3.987e-03 4.345e-08
1.141e+00 9.840e-04 5.071e-02 3.272e-03 3.627e-05
1.250e+00 8.210e-04 4.845e-02 2.749e-03 1.759e-04
1.259e+00 8.094e-04 4.828e-02 2.712e-03 1.920e-04
