# LEAD OXIDE from NIST Database
9.530e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 4.480e-03 3.500e+00 0.000e+00 0.000e+00
8.200e+01 4.480e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.172e+01 3.940e-03 5.153e+03 0.000e+00
1.020e-03 1.170e+01 4.066e-03 4.952e+03 0.000e+00
1.126e-03 1.160e+01 4.760e-03 4.062e+03 0.000e+00
1.243e-03 1.150e+01 5.562e-03 3.332e+03 0.000e+00
1.372e-03 1.137e+01 6.474e-03 2.734e+03 0.000e+00
1.500e-03 1.125e+01 7.395e-03 2.287e+03 0.000e+00
1.515e-03 1.123e+01 7.503e-03 2.239e+03 0.000e+00
1.672e-03 1.107e+01 8.633e-03 1.811e+03 0.000e+00
1.846e-03 1.088e+01 9.879e-03 1.464e+03 0.000e+00
2.000e-03 1.071e+01 1.097e-02 1.232e+03 0.000e+00
2.038e-03 1.067e+01 1.124e-02 1.182e+03 0.000e+00
2.250e-03 1.043e+01 1.272e-02 9.477e+02 0.000e+00
2.483e-03 1.018e+01 1.433e-02 7.608e+02 0.000e+00
2.484e-03 1.018e+01 1.433e-02 7.601e+02 0.000e+00
2.484e-03 1.018e+01 1.433e-02 1.312e+03 0.000e+00
2.534e-03 1.012e+01 1.468e-02 1.544e+03 0.000e+00
2.586e-03 1.007e+01 1.503e-02 1.818e+03 0.000e+00
2.586e-03 1.007e+01 1.503e-02 2.288e+03 0.000e+00
2.741e-03 9.891e+00 1.608e-02 2.096e+03 0.000e+00
3.000e-03 9.604e+00 1.780e-02 1.830e+03 0.000e+00
3.026e-03 9.576e+00 1.797e-02 1.789e+03 0.000e+00
3.066e-03 9.533e+00 1.824e-02 1.729e+03 0.000e+00
3.066e-03 9.533e+00 1.824e-02 1.997e+03 0.000e+00
3.341e-03 9.243e+00 1.999e-02 1.617e+03 0.000e+00
3.554e-03 9.023e+00 2.131e-02 1.389e+03 0.000e+00
3.554e-03 9.023e+00 2.131e-02 1.471e+03 0.000e+00
3.688e-03 8.887e+00 2.213e-02 1.348e+03 0.000e+00
3.851e-03 8.725e+00 2.311e-02 1.216e+03 0.000e+00
3.851e-03 8.725e+00 2.311e-02 1.269e+03 0.000e+00
4.000e-03 8.577e+00 2.400e-02 1.160e+03 0.000e+00
4.071e-03 8.507e+00 2.442e-02 1.111e+03 0.000e+00
4.494e-03 8.110e+00 2.684e-02 8.735e+02 0.000e+00
4.961e-03 7.697e+00 2.941e-02 6.868e+02 0.000e+00
5.000e-03 7.664e+00 2.962e-02 6.739e+02 0.000e+00
5.477e-03 7.271e+00 3.213e-02 5.376e+02 0.000e+00
6.000e-03 6.870e+00 3.476e-02 4.288e+02 0.000e+00
