# LITHIUM AMIDE from NIST Database
1.178e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 8.709e-02 3.500e+00 0.000e+00 0.000e+00
3.000e+00 4.343e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 4.355e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.421e-01 2.044e-02 2.090e+03 0.000e+00
1.020e-03 9.379e-01 2.103e-02 1.980e+03 0.000e+00
1.126e-03 9.170e-01 2.426e-02 1.508e+03 0.000e+00
1.243e-03 8.950e-01 2.794e-02 1.148e+03 0.000e+00
1.372e-03 8.709e-01 3.206e-02 8.728e+02 0.000e+00
1.500e-03 8.465e-01 3.611e-02 6.797e+02 0.000e+00
1.515e-03 8.436e-01 3.658e-02 6.609e+02 0.000e+00
1.672e-03 8.126e-01 4.142e-02 4.997e+02 0.000e+00
1.846e-03 7.780e-01 4.664e-02 3.762e+02 0.000e+00
2.000e-03 7.478e-01 5.114e-02 2.984e+02 0.000e+00
2.038e-03 7.404e-01 5.223e-02 2.826e+02 0.000e+00
2.250e-03 7.001e-01 5.821e-02 2.118e+02 0.000e+00
2.483e-03 6.579e-01 6.453e-02 1.586e+02 0.000e+00
2.741e-03 6.138e-01 7.117e-02 1.184e+02 0.000e+00
3.000e-03 5.725e-01 7.745e-02 9.050e+01 0.000e+00
3.026e-03 5.686e-01 7.806e-02 8.820e+01 0.000e+00
3.341e-03 5.228e-01 8.511e-02 6.556e+01 0.000e+00
3.688e-03 4.774e-01 9.220e-02 4.867e+01 0.000e+00
4.000e-03 4.410e-01 9.800e-02 3.805e+01 0.000e+00
4.071e-03 4.333e-01 9.925e-02 3.607e+01 0.000e+00
4.494e-03 3.908e-01 1.062e-01 2.669e+01 0.000e+00
4.961e-03 3.507e-01 1.129e-01 1.971e+01 0.000e+00
5.000e-03 3.477e-01 1.134e-01 1.924e+01 0.000e+00
5.477e-03 3.133e-01 1.194e-01 1.453e+01 0.000e+00
6.000e-03 2.814e-01 1.251e-01 1.096e+01 0.000e+00
6.046e-03 2.788e-01 1.256e-01 1.070e+01 0.000e+00
6.675e-03 2.473e-01 1.314e-01 7.864e+00 0.000e+00
7.368e-03 2.190e-01 1.369e-01 5.774e+00 0.000e+00
8.000e-03 1.975e-01 1.412e-01 4.459e+00 0.000e+00
8.134e-03 1.934e-01 1.420e-01 4.232e+00 0.000e+00
8.979e-03 1.706e-01 1.467e-01 3.098e+00 0.000e+00
9.912e-03 1.503e-01 1.511e-01 2.265e+00 0.000e+00
1.000e-02 1.486e-01 1.514e-01 2.203e+00 0.000e+00
1.094e-02 1.323e-01 1.551e-01 1.655e+00 0.000e+00
1.208e-02 1.162e-01 1.587e-01 1.205e+00 0.000e+00
1.334e-02 1.018e-01 1.620e-01 8.765e-01 0.000e+00
1.472e-02 8.900e-02 1.650e-01 6.383e-01 0.000e+00
1.500e-02 8.671e-02 1.655e-01 6.006e-01 0.000e+00
1.625e-02 7.748e-02 1.676e-01 4.637e-01 0.000e+00
1.794e-02 6.717e-02 1.699e-01 3.364e-01 0.000e+00
1.980e-02 5.798e-02 1.719e-01 2.441e-01 0.000e+00
2.000e-02 5.710e-02 1.720e-01 2.362e-01 0.000e+00
2.186e-02 4.978e-02 1.734e-01 1.768e-01 0.000e+00
2.413e-02 4.256e-02 1.746e-01 1.280e-01 0.000e+00
2.664e-02 3.622e-02 1.754e-01 9.249e-02 0.000e+00
2.941e-02 3.071e-02 1.757e-01 6.682e-02 0.000e+00
3.000e-02 2.969e-02 1.758e-01 6.259e-02 0.000e+00
3.247e-02 2.594e-02 1.757e-01 4.822e-02 0.000e+00
3.584e-02 2.187e-02 1.754e-01 3.481e-02 0.000e+00
3.957e-02 1.837e-02 1.746e-01 2.509e-02 0.000e+00
4.000e-02 1.803e-02 1.745e-01 2.421e-02 0.000e+00
4.368e-02 1.541e-02 1.735e-01 1.809e-02 0.000e+00
4.822e-02 1.290e-02 1.721e-01 1.304e-02 0.000e+00
5.000e-02 1.208e-02 1.715e-01 1.156e-02 0.000e+00
5.323e-02 1.078e-02 1.704e-01 9.391e-03 0.000e+00
5.876e-02 8.986e-03 1.684e-01 6.762e-03 0.000e+00
6.000e-02 8.646e-03 1.680e-01 6.309e-03 0.000e+00
6.486e-02 7.481e-03 1.662e-01 4.870e-03 0.000e+00
7.161e-02 6.215e-03 1.637e-01 3.505e-03 0.000e+00
7.905e-02 5.156e-03 1.609e-01 2.525e-03 0.000e+00
8.000e-02 5.040e-03 1.606e-01 2.426e-03 0.000e+00
8.726e-02 4.272e-03 1.580e-01 1.818e-03 0.000e+00
9.633e-02 3.534e-03 1.549e-01 1.310e-03 0.000e+00
1.000e-01 3.288e-03 1.536e-01 1.157e-03 0.000e+00
1.063e-01 2.922e-03 1.516e-01 9.451e-04 0.000e+00
1.174e-01 2.410e-03 1.481e-01 6.806e-04 0.000e+00
1.296e-01 1.988e-03 1.445e-01 4.914e-04 0.000e+00
1.431e-01 1.638e-03 1.408e-01 3.550e-04 0.000e+00
1.500e-01 1.493e-03 1.390e-01 3.044e-04 0.000e+00
1.579e-01 1.350e-03 1.370e-01 2.575e-04 0.000e+00
1.743e-01 1.111e-03 1.331e-01 1.870e-04 0.000e+00
1.925e-01 9.129e-04 1.291e-01 1.358e-04 0.000e+00
2.000e-01 8.464e-04 1.276e-01 1.201e-04 0.000e+00
2.125e-01 7.507e-04 1.251e-01 9.900e-05 0.000e+00
2.345e-01 6.175e-04 1.211e-01 7.246e-05 0.000e+00
2.589e-01 5.073e-04 1.171e-01 5.315e-05 0.000e+00
2.858e-01 4.168e-04 1.131e-01 3.917e-05 0.000e+00
3.000e-01 3.785e-04 1.111e-01 3.378e-05 0.000e+00
3.155e-01 3.424e-04 1.091e-01 2.901e-05 0.000e+00
3.483e-01 2.811e-04 1.051e-01 2.160e-05 0.000e+00
3.845e-01 2.308e-04 1.012e-01 1.618e-05 0.000e+00
4.000e-01 2.133e-04 9.961e-02 1.444e-05 0.000e+00
4.245e-01 1.895e-04 9.728e-02 1.219e-05 0.000e+00
