# LITHIUM CARBONATE from NIST Database
2.110e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+00 2.699e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 1.353e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.060e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.228e+00 1.337e-02 3.383e+03 0.000e+00
1.020e-03 1.223e+00 1.377e-02 3.209e+03 0.000e+00
1.126e-03 1.201e+00 1.596e-02 2.463e+03 0.000e+00
1.243e-03 1.178e+00 1.847e-02 1.888e+03 0.000e+00
1.372e-03 1.151e+00 2.131e-02 1.444e+03 0.000e+00
1.500e-03 1.124e+00 2.415e-02 1.131e+03 0.000e+00
1.515e-03 1.121e+00 2.449e-02 1.101e+03 0.000e+00
1.672e-03 1.086e+00 2.796e-02 8.368e+02 0.000e+00
1.846e-03 1.046e+00 3.178e-02 6.335e+02 0.000e+00
2.000e-03 1.011e+00 3.516e-02 5.047e+02 0.000e+00
2.038e-03 1.002e+00 3.599e-02 4.783e+02 0.000e+00
2.250e-03 9.536e-01 4.062e-02 3.604e+02 0.000e+00
2.483e-03 9.019e-01 4.566e-02 2.712e+02 0.000e+00
2.741e-03 8.468e-01 5.113e-02 2.035e+02 0.000e+00
3.000e-03 7.942e-01 5.646e-02 1.563e+02 0.000e+00
3.026e-03 7.891e-01 5.699e-02 1.523e+02 0.000e+00
3.341e-03 7.294e-01 6.319e-02 1.137e+02 0.000e+00
3.688e-03 6.692e-01 6.965e-02 8.481e+01 0.000e+00
4.000e-03 6.200e-01 7.510e-02 6.654e+01 0.000e+00
4.071e-03 6.094e-01 7.630e-02 6.312e+01 0.000e+00
4.494e-03 5.510e-01 8.304e-02 4.689e+01 0.000e+00
4.961e-03 4.950e-01 8.976e-02 3.477e+01 0.000e+00
5.000e-03 4.907e-01 9.029e-02 3.395e+01 0.000e+00
5.477e-03 4.423e-01 9.638e-02 2.572e+01 0.000e+00
6.000e-03 3.970e-01 1.023e-01 1.946e+01 0.000e+00
6.046e-03 3.934e-01 1.028e-01 1.900e+01 0.000e+00
6.675e-03 3.484e-01 1.089e-01 1.402e+01 0.000e+00
7.368e-03 3.077e-01 1.147e-01 1.033e+01 0.000e+00
8.000e-03 2.769e-01 1.192e-01 7.998e+00 0.000e+00
8.134e-03 2.711e-01 1.201e-01 7.595e+00 0.000e+00
8.979e-03 2.384e-01 1.252e-01 5.578e+00 0.000e+00
9.912e-03 2.094e-01 1.298e-01 4.091e+00 0.000e+00
1.000e-02 2.070e-01 1.302e-01 3.979e+00 0.000e+00
1.094e-02 1.838e-01 1.342e-01 2.998e+00 0.000e+00
1.208e-02 1.611e-01 1.382e-01 2.190e+00 0.000e+00
1.334e-02 1.409e-01 1.419e-01 1.598e+00 0.000e+00
1.472e-02 1.231e-01 1.452e-01 1.167e+00 0.000e+00
1.500e-02 1.200e-01 1.458e-01 1.099e+00 0.000e+00
1.625e-02 1.073e-01 1.483e-01 8.502e-01 0.000e+00
1.794e-02 9.315e-02 1.511e-01 6.186e-01 0.000e+00
1.980e-02 8.061e-02 1.535e-01 4.500e-01 0.000e+00
2.000e-02 7.941e-02 1.537e-01 4.357e-01 0.000e+00
2.186e-02 6.941e-02 1.556e-01 3.267e-01 0.000e+00
2.413e-02 5.952e-02 1.573e-01 2.370e-01 0.000e+00
2.664e-02 5.082e-02 1.586e-01 1.717e-01 0.000e+00
2.941e-02 4.321e-02 1.596e-01 1.243e-01 0.000e+00
3.000e-02 4.181e-02 1.597e-01 1.165e-01 0.000e+00
3.247e-02 3.660e-02 1.601e-01 8.992e-02 0.000e+00
3.584e-02 3.090e-02 1.602e-01 6.504e-02 0.000e+00
3.957e-02 2.601e-02 1.600e-01 4.698e-02 0.000e+00
4.000e-02 2.552e-02 1.599e-01 4.534e-02 0.000e+00
4.368e-02 2.185e-02 1.594e-01 3.394e-02 0.000e+00
4.822e-02 1.831e-02 1.584e-01 2.450e-02 0.000e+00
5.000e-02 1.716e-02 1.580e-01 2.173e-02 0.000e+00
5.323e-02 1.532e-02 1.572e-01 1.767e-02 0.000e+00
5.876e-02 1.280e-02 1.556e-01 1.275e-02 0.000e+00
6.000e-02 1.231e-02 1.552e-01 1.190e-02 0.000e+00
6.486e-02 1.067e-02 1.537e-01 9.196e-03 0.000e+00
7.161e-02 8.874e-03 1.516e-01 6.628e-03 0.000e+00
7.905e-02 7.372e-03 1.492e-01 4.780e-03 0.000e+00
8.000e-02 7.208e-03 1.489e-01 4.595e-03 0.000e+00
8.726e-02 6.116e-03 1.466e-01 3.448e-03 0.000e+00
9.633e-02 5.065e-03 1.438e-01 2.487e-03 0.000e+00
1.000e-01 4.716e-03 1.427e-01 2.199e-03 0.000e+00
1.063e-01 4.194e-03 1.408e-01 1.798e-03 0.000e+00
1.174e-01 3.462e-03 1.377e-01 1.296e-03 0.000e+00
1.296e-01 2.858e-03 1.344e-01 9.371e-04 0.000e+00
1.431e-01 2.356e-03 1.310e-01 6.777e-04 0.000e+00
1.500e-01 2.149e-03 1.293e-01 5.812e-04 0.000e+00
1.579e-01 1.943e-03 1.275e-01 4.918e-04 0.000e+00
1.743e-01 1.600e-03 1.239e-01 3.570e-04 0.000e+00
1.925e-01 1.316e-03 1.202e-01 2.594e-04 0.000e+00
2.000e-01 1.220e-03 1.188e-01 2.295e-04 0.000e+00
2.125e-01 1.082e-03 1.165e-01 1.892e-04 0.000e+00
2.345e-01 8.906e-04 1.128e-01 1.387e-04 0.000e+00
2.589e-01 7.319e-04 1.091e-01 1.018e-04 0.000e+00
2.858e-01 6.014e-04 1.053e-01 7.512e-05 0.000e+00
3.000e-01 5.462e-04 1.035e-01 6.482e-05 0.000e+00
3.155e-01 4.941e-04 1.016e-01 5.568e-05 0.000e+00
3.483e-01 4.058e-04 9.792e-02 4.148e-05 0.000e+00
3.845e-01 3.333e-04 9.427e-02 3.108e-05 0.000e+00
4.000e-01 3.080e-04 9.282e-02 2.774e-05 0.000e+00
4.245e-01 2.736e-04 9.066e-02 2.343e-05 0.000e+00
4.686e-01 2.246e-04 8.711e-02 1.781e-05 0.000e+00
5.000e-01 1.974e-04 8.481e-02 1.495e-05 0.000e+00
5.173e-01 1.844e-04 8.361e-02 1.367e-05 0.000e+00
5.710e-01 1.514e-04 8.017e-02 1.058e-05 0.000e+00
6.000e-01 1.372e-04 7.846e-02 9.312e-06 0.000e+00
6.304e-01 1.243e-04 7.678e-02 8.191e-06 0.000e+00
6.959e-01 1.020e-04 7.348e-02 6.379e-06 0.000e+00
7.682e-01 8.373e-05 7.026e-02 5.093e-06 0.000e+00
8.000e-01 7.720e-05 6.895e-02 4.699e-06 0.000e+00
