# LITHIUM FLUORIDE from NIST Database
2.635e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+00 3.845e-02 3.500e+00 0.000e+00 0.000e+00
9.000e+00 3.855e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.296e+00 1.295e-02 4.200e+03 0.000e+00
1.020e-03 1.293e+00 1.330e-02 3.992e+03 0.000e+00
1.126e-03 1.273e+00 1.522e-02 3.098e+03 0.000e+00
1.243e-03 1.253e+00 1.738e-02 2.400e+03 0.000e+00
1.372e-03 1.230e+00 1.979e-02 1.856e+03 0.000e+00
1.500e-03 1.206e+00 2.216e-02 1.466e+03 0.000e+00
1.515e-03 1.203e+00 2.243e-02 1.427e+03 0.000e+00
1.672e-03 1.173e+00 2.525e-02 1.094e+03 0.000e+00
1.846e-03 1.138e+00 2.832e-02 8.347e+02 0.000e+00
2.000e-03 1.106e+00 3.103e-02 6.688e+02 0.000e+00
2.038e-03 1.098e+00 3.170e-02 6.347e+02 0.000e+00
2.250e-03 1.054e+00 3.543e-02 4.814e+02 0.000e+00
2.483e-03 1.007e+00 3.953e-02 3.647e+02 0.000e+00
2.741e-03 9.546e-01 4.404e-02 2.754e+02 0.000e+00
3.000e-03 9.036e-01 4.852e-02 2.126e+02 0.000e+00
3.026e-03 8.985e-01 4.897e-02 2.074e+02 0.000e+00
3.341e-03 8.390e-01 5.431e-02 1.557e+02 0.000e+00
3.688e-03 7.773e-01 6.001e-02 1.168e+02 0.000e+00
4.000e-03 7.255e-01 6.494e-02 9.202e+01 0.000e+00
4.071e-03 7.142e-01 6.603e-02 8.738e+01 0.000e+00
4.494e-03 6.509e-01 7.233e-02 6.522e+01 0.000e+00
4.961e-03 5.885e-01 7.881e-02 4.859e+01 0.000e+00
5.000e-03 5.836e-01 7.933e-02 4.747e+01 0.000e+00
5.477e-03 5.281e-01 8.540e-02 3.613e+01 0.000e+00
6.000e-03 4.750e-01 9.145e-02 2.746e+01 0.000e+00
6.046e-03 4.708e-01 9.195e-02 2.683e+01 0.000e+00
6.675e-03 4.172e-01 9.835e-02 1.987e+01 0.000e+00
7.368e-03 3.680e-01 1.045e-01 1.470e+01 0.000e+00
8.000e-03 3.304e-01 1.093e-01 1.142e+01 0.000e+00
8.134e-03 3.232e-01 1.103e-01 1.086e+01 0.000e+00
8.979e-03 2.829e-01 1.157e-01 8.006e+00 0.000e+00
9.912e-03 2.470e-01 1.207e-01 5.896e+00 0.000e+00
1.000e-02 2.440e-01 1.211e-01 5.736e+00 0.000e+00
1.094e-02 2.154e-01 1.253e-01 4.337e+00 0.000e+00
1.208e-02 1.874e-01 1.294e-01 3.181e+00 0.000e+00
1.334e-02 1.628e-01 1.331e-01 2.329e+00 0.000e+00
1.472e-02 1.415e-01 1.364e-01 1.708e+00 0.000e+00
1.500e-02 1.377e-01 1.370e-01 1.609e+00 0.000e+00
1.625e-02 1.227e-01 1.394e-01 1.249e+00 0.000e+00
1.794e-02 1.063e-01 1.420e-01 9.116e-01 0.000e+00
1.980e-02 9.182e-02 1.443e-01 6.653e-01 0.000e+00
2.000e-02 9.045e-02 1.445e-01 6.443e-01 0.000e+00
2.186e-02 7.905e-02 1.463e-01 4.845e-01 0.000e+00
2.413e-02 6.784e-02 1.480e-01 3.526e-01 0.000e+00
2.664e-02 5.800e-02 1.493e-01 2.563e-01 0.000e+00
2.941e-02 4.940e-02 1.502e-01 1.861e-01 0.000e+00
3.000e-02 4.781e-02 1.504e-01 1.745e-01 0.000e+00
3.247e-02 4.190e-02 1.508e-01 1.349e-01 0.000e+00
3.584e-02 3.543e-02 1.511e-01 9.788e-02 0.000e+00
3.957e-02 2.985e-02 1.509e-01 7.088e-02 0.000e+00
4.000e-02 2.929e-02 1.509e-01 6.843e-02 0.000e+00
4.368e-02 2.509e-02 1.505e-01 5.134e-02 0.000e+00
4.822e-02 2.104e-02 1.497e-01 3.715e-02 0.000e+00
5.000e-02 1.972e-02 1.493e-01 3.298e-02 0.000e+00
5.323e-02 1.761e-02 1.486e-01 2.686e-02 0.000e+00
5.876e-02 1.472e-02 1.471e-01 1.941e-02 0.000e+00
6.000e-02 1.416e-02 1.468e-01 1.812e-02 0.000e+00
6.486e-02 1.228e-02 1.454e-01 1.403e-02 0.000e+00
7.161e-02 1.022e-02 1.435e-01 1.013e-02 0.000e+00
