# LITHIUM HYDRIDE from NIST Database
8.200e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.258e-01 3.500e+00 0.000e+00 0.000e+00
3.000e+00 1.255e-01 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 4.026e-01 3.327e-02 2.047e+02 0.000e+00
1.020e-03 3.994e-01 3.406e-02 1.925e+02 0.000e+00
1.126e-03 3.833e-01 3.830e-02 1.418e+02 0.000e+00
1.243e-03 3.674e-01 4.295e-02 1.044e+02 0.000e+00
1.372e-03 3.513e-01 4.788e-02 7.678e+01 0.000e+00
1.500e-03 3.363e-01 5.245e-02 5.811e+01 0.000e+00
1.515e-03 3.346e-01 5.296e-02 5.633e+01 0.000e+00
1.672e-03 3.175e-01 5.797e-02 4.132e+01 0.000e+00
1.846e-03 3.001e-01 6.299e-02 3.021e+01 0.000e+00
2.000e-03 2.864e-01 6.709e-02 2.342e+01 0.000e+00
2.038e-03 2.832e-01 6.807e-02 2.205e+01 0.000e+00
2.250e-03 2.669e-01 7.330e-02 1.607e+01 0.000e+00
2.483e-03 2.514e-01 7.866e-02 1.171e+01 0.000e+00
2.741e-03 2.364e-01 8.418e-02 8.507e+00 0.000e+00
3.000e-03 2.231e-01 8.934e-02 6.350e+00 0.000e+00
3.026e-03 2.219e-01 8.983e-02 6.175e+00 0.000e+00
3.341e-03 2.079e-01 9.561e-02 4.477e+00 0.000e+00
3.688e-03 1.943e-01 1.015e-01 3.244e+00 0.000e+00
4.000e-03 1.833e-01 1.063e-01 2.488e+00 0.000e+00
4.071e-03 1.809e-01 1.074e-01 2.348e+00 0.000e+00
4.494e-03 1.676e-01 1.134e-01 1.697e+00 0.000e+00
4.961e-03 1.543e-01 1.194e-01 1.225e+00 0.000e+00
5.000e-03 1.533e-01 1.198e-01 1.194e+00 0.000e+00
5.477e-03 1.411e-01 1.254e-01 8.839e-01 0.000e+00
6.000e-03 1.289e-01 1.309e-01 6.538e-01 0.000e+00
6.046e-03 1.279e-01 1.313e-01 6.375e-01 0.000e+00
6.675e-03 1.151e-01 1.371e-01 4.590e-01 0.000e+00
7.368e-03 1.027e-01 1.426e-01 3.304e-01 0.000e+00
8.000e-03 9.275e-02 1.470e-01 2.511e-01 0.000e+00
8.134e-03 9.080e-02 1.479e-01 2.376e-01 0.000e+00
8.979e-03 7.965e-02 1.529e-01 1.708e-01 0.000e+00
9.912e-03 6.936e-02 1.574e-01 1.227e-01 0.000e+00
1.000e-02 6.848e-02 1.578e-01 1.191e-01 0.000e+00
1.094e-02 6.002e-02 1.614e-01 8.815e-02 0.000e+00
1.208e-02 5.162e-02 1.649e-01 6.318e-02 0.000e+00
1.334e-02 4.416e-02 1.679e-01 4.524e-02 0.000e+00
1.472e-02 3.766e-02 1.703e-01 3.246e-02 0.000e+00
1.500e-02 3.652e-02 1.707e-01 3.046e-02 0.000e+00
1.625e-02 3.198e-02 1.723e-01 2.324e-02 0.000e+00
1.794e-02 2.706e-02 1.738e-01 1.663e-02 0.000e+00
1.980e-02 2.284e-02 1.748e-01 1.192e-02 0.000e+00
2.000e-02 2.245e-02 1.749e-01 1.152e-02 0.000e+00
2.186e-02 1.921e-02 1.755e-01 8.525e-03 0.000e+00
2.413e-02 1.612e-02 1.757e-01 6.102e-03 0.000e+00
2.664e-02 1.349e-02 1.756e-01 4.365e-03 0.000e+00
2.941e-02 1.126e-02 1.752e-01 3.121e-03 0.000e+00
3.000e-02 1.085e-02 1.750e-01 2.918e-03 0.000e+00
3.247e-02 9.375e-03 1.744e-01 2.230e-03 0.000e+00
3.584e-02 7.795e-03 1.733e-01 1.594e-03 0.000e+00
3.957e-02 6.466e-03 1.720e-01 1.139e-03 0.000e+00
4.000e-02 6.335e-03 1.718e-01 1.098e-03 0.000e+00
4.368e-02 5.357e-03 1.704e-01 8.138e-04 0.000e+00
4.822e-02 4.431e-03 1.686e-01 5.816e-04 0.000e+00
5.000e-02 4.132e-03 1.679e-01 5.142e-04 0.000e+00
5.323e-02 3.661e-03 1.665e-01 4.158e-04 0.000e+00
5.876e-02 3.021e-03 1.643e-01 2.972e-04 0.000e+00
6.000e-02 2.901e-03 1.637e-01 2.769e-04 0.000e+00
6.486e-02 2.491e-03 1.618e-01 2.125e-04 0.000e+00
7.161e-02 2.052e-03 1.590e-01 1.518e-04 0.000e+00
7.905e-02 1.689e-03 1.562e-01 1.086e-04 0.000e+00
8.000e-02 1.650e-03 1.558e-01 1.043e-04 0.000e+00
8.726e-02 1.391e-03 1.531e-01 7.774e-05 0.000e+00
9.633e-02 1.144e-03 1.500e-01 5.569e-05 0.000e+00
1.000e-01 1.062e-03 1.487e-01 4.910e-05 0.000e+00
1.063e-01 9.412e-04 1.467e-01 3.997e-05 0.000e+00
1.174e-01 7.728e-04 1.432e-01 2.864e-05 0.000e+00
1.296e-01 6.349e-04 1.397e-01 2.058e-05 0.000e+00
1.431e-01 5.213e-04 1.360e-01 1.479e-05 0.000e+00
1.500e-01 4.746e-04 1.342e-01 1.265e-05 0.000e+00
1.579e-01 4.285e-04 1.323e-01 1.068e-05 0.000e+00
1.743e-01 3.519e-04 1.284e-01 7.711e-06 0.000e+00
1.925e-01 2.887e-04 1.246e-01 5.573e-06 0.000e+00
2.000e-01 2.675e-04 1.231e-01 4.922e-06 0.000e+00
2.125e-01 2.370e-04 1.207e-01 4.046e-06 0.000e+00
2.345e-01 1.947e-04 1.168e-01 2.949e-06 0.000e+00
2.589e-01 1.598e-04 1.129e-01 2.156e-06 0.000e+00
2.858e-01 1.312e-04 1.090e-01 1.584e-06 0.000e+00
3.000e-01 1.190e-04 1.071e-01 1.364e-06 0.000e+00
3.155e-01 1.076e-04 1.051e-01 1.170e-06 0.000e+00
3.483e-01 8.834e-05 1.013e-01 8.688e-07 0.000e+00
3.845e-01 7.250e-05 9.747e-02 6.489e-07 0.000e+00
4.000e-01 6.699e-05 9.596e-02 5.783e-07 0.000e+00
4.245e-01 5.948e-05 9.372e-02 4.872e-07 0.000e+00
4.686e-01 4.882e-05 9.003e-02 3.691e-07 0.000e+00
5.000e-01 4.288e-05 8.765e-02 3.099e-07 0.000e+00
5.173e-01 4.006e-05 8.641e-02 2.836e-07 0.000e+00
5.710e-01 3.289e-05 8.284e-02 2.196e-07 0.000e+00
6.000e-01 2.979e-05 8.109e-02 1.924e-07 0.000e+00
6.304e-01 2.698e-05 7.935e-02 1.676e-07 0.000e+00
6.959e-01 2.214e-05 7.594e-02 1.279e-07 0.000e+00
7.682e-01 1.817e-05 7.260e-02 1.030e-07 0.000e+00
8.000e-01 1.675e-05 7.124e-02 9.691e-08 0.000e+00
8.480e-01 1.491e-05 6.932e-02 9.131e-08 0.000e+00
9.361e-01 1.223e-05 6.613e-02 7.810e-08 0.000e+00
1.000e+00 1.072e-05 6.405e-02 6.029e-08 0.000e+00
1.022e+00 1.027e-05 6.338e-02 5.346e-08 0.000e+00
1.033e+00 1.005e-05 6.305e-02 5.069e-08 1.133e-09
1.141e+00 8.240e-06 6.000e-02 3.911e-08 1.087e-06
1.250e+00 6.864e-06 5.727e-02 3.637e-08 5.934e-06
1.259e+00 6.766e-06 5.706e-02 3.611e-08 6.534e-06
1.390e+00 5.551e-06 5.420e-02 3.082e-08 1.865e-05
1.500e+00 4.767e-06 5.206e-02 2.648e-08 3.327e-05
1.535e+00 4.551e-06 5.142e-02 2.536e-08 3.866e-05
1.694e+00 3.736e-06 4.874e-02 2.149e-08 6.684e-05
1.870e+00 3.065e-06 4.614e-02 1.855e-08 1.035e-04
2.000e+00 2.681e-06 4.443e-02 1.681e-08 1.332e-04
2.044e+00 2.567e-06 4.388e-02 1.627e-08 1.437e-04
2.065e+00 2.516e-06 4.363e-02 1.602e-08 1.487e-04
2.279e+00 2.066e-06 4.121e-02 1.386e-08 2.016e-04
2.516e+00 1.695e-06 3.888e-02 1.205e-08 2.631e-04
2.778e+00 1.390e-06 3.663e-02 1.053e-08 3.337e-04
3.000e+00 1.191e-06 3.495e-02 9.497e-09 3.948e-04
3.066e+00 1.140e-06 3.448e-02 9.228e-09 4.131e-04
3.385e+00 9.357e-07 3.242e-02 8.111e-09 5.020e-04
3.737e+00 7.679e-07 3.045e-02 7.150e-09 5.995e-04
4.000e+00 6.703e-07 2.915e-02 6.567e-09 6.714e-04
4.125e+00 6.304e-07 2.858e-02 6.321e-09 7.051e-04
4.554e+00 5.172e-07 2.678e-02 5.599e-09 8.190e-04
5.000e+00 4.290e-07 2.517e-02 5.004e-09 9.341e-04
5.027e+00 4.244e-07 2.508e-02 4.972e-09 9.409e-04
5.549e+00 3.483e-07 2.347e-02 4.423e-09 1.071e-03
6.000e+00 2.979e-07 2.225e-02 4.037e-09 1.179e-03
6.126e+00 2.858e-07 2.194e-02 3.940e-09 1.209e-03
6.762e+00 2.346e-07 2.049e-02 3.517e-09 1.351e-03
7.000e+00 2.189e-07 2.000e-02 3.381e-09 1.403e-03
7.465e+00 1.925e-07 1.912e-02 3.143e-09 1.501e-03
8.000e+00 1.676e-07 1.820e-02 2.907e-09 1.610e-03
8.241e+00 1.580e-07 1.782e-02 2.812e-09 1.657e-03
9.000e+00 1.324e-07 1.673e-02 2.549e-09 1.799e-03
9.097e+00 1.296e-07 1.660e-02 2.519e-09 1.817e-03
1.000e+01 1.072e-07 1.551e-02 2.269e-09 1.974e-03
1.004e+01 1.064e-07 1.546e-02 2.259e-09 1.980e-03
1.100e+01 8.866e-08 1.446e-02 2.045e-09 2.135e-03
1.109e+01 8.723e-08 1.437e-02 2.026e-09 2.149e-03
1.200e+01 7.448e-08 1.356e-02 1.860e-09 2.285e-03
1.224e+01 7.159e-08 1.336e-02 1.821e-09 2.319e-03
1.300e+01 6.346e-08 1.278e-02 1.706e-09 2.425e-03
1.351e+01 5.876e-08 1.241e-02 1.637e-09 2.492e-03
1.400e+01 5.472e-08 1.208e-02 1.576e-09 2.556e-03
1.491e+01 4.824e-08 1.153e-02 1.473e-09 2.668e-03
1.500e+01 4.767e-08 1.147e-02 1.464e-09 2.678e-03
1.600e+01 4.189e-08 1.093e-02 1.367e-09 2.796e-03
1.646e+01 3.959e-08 1.070e-02 1.326e-09 2.848e-03
1.800e+01 3.311e-08 9.987e-03 1.207e-09 3.012e-03
1.818e+01 3.245e-08 9.911e-03 1.194e-09 3.029e-03
2.000e+01 2.682e-08 9.209e-03 1.080e-09 3.206e-03
