# LITHIUM IODIDE from NIST Database
3.494e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+00 7.451e-03 3.500e+00 0.000e+00 0.000e+00
5.300e+01 7.472e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.003e+00 6.041e-03 8.628e+03 0.000e+00
1.020e-03 7.987e+00 6.227e-03 8.278e+03 0.000e+00
1.072e-03 7.944e+00 6.718e-03 7.461e+03 0.000e+00
1.072e-03 7.944e+00 6.718e-03 7.780e+03 0.000e+00
1.126e-03 7.899e+00 7.234e-03 6.983e+03 0.000e+00
1.243e-03 7.799e+00 8.368e-03 5.616e+03 0.000e+00
1.372e-03 7.683e+00 9.630e-03 4.518e+03 0.000e+00
1.500e-03 7.563e+00 1.088e-02 3.712e+03 0.000e+00
1.515e-03 7.549e+00 1.102e-02 3.626e+03 0.000e+00
1.672e-03 7.397e+00 1.253e-02 2.876e+03 0.000e+00
1.846e-03 7.226e+00 1.417e-02 2.279e+03 0.000e+00
2.000e-03 7.075e+00 1.560e-02 1.888e+03 0.000e+00
2.038e-03 7.037e+00 1.595e-02 1.802e+03 0.000e+00
2.250e-03 6.831e+00 1.788e-02 1.414e+03 0.000e+00
2.483e-03 6.608e+00 1.995e-02 1.110e+03 0.000e+00
2.741e-03 6.370e+00 2.218e-02 8.709e+02 0.000e+00
3.000e-03 6.140e+00 2.435e-02 6.978e+02 0.000e+00
3.026e-03 6.118e+00 2.456e-02 6.827e+02 0.000e+00
3.341e-03 5.852e+00 2.709e-02 5.313e+02 0.000e+00
3.688e-03 5.578e+00 2.974e-02 4.137e+02 0.000e+00
4.000e-03 5.346e+00 3.201e-02 3.368e+02 0.000e+00
4.071e-03 5.296e+00 3.251e-02 3.219e+02 0.000e+00
4.494e-03 5.008e+00 3.537e-02 2.496e+02 0.000e+00
4.557e-03 4.967e+00 3.579e-02 2.408e+02 0.000e+00
4.557e-03 4.967e+00 3.579e-02 7.110e+02 0.000e+00
4.702e-03 4.875e+00 3.673e-02 6.663e+02 0.000e+00
4.852e-03 4.782e+00 3.769e-02 6.246e+02 0.000e+00
4.852e-03 4.782e+00 3.769e-02 8.424e+02 0.000e+00
4.961e-03 4.716e+00 3.837e-02 8.068e+02 0.000e+00
5.000e-03 4.692e+00 3.861e-02 7.947e+02 0.000e+00
5.188e-03 4.580e+00 3.977e-02 7.222e+02 0.000e+00
5.188e-03 4.580e+00 3.977e-02 8.333e+02 0.000e+00
5.477e-03 4.414e+00 4.148e-02 7.287e+02 0.000e+00
6.000e-03 4.138e+00 4.444e-02 5.814e+02 0.000e+00
6.046e-03 4.114e+00 4.470e-02 5.698e+02 0.000e+00
6.675e-03 3.813e+00 4.804e-02 4.397e+02 0.000e+00
7.368e-03 3.515e+00 5.151e-02 3.395e+02 0.000e+00
8.000e-03 3.273e+00 5.452e-02 2.737e+02 0.000e+00
8.134e-03 3.224e+00 5.514e-02 2.619e+02 0.000e+00
8.979e-03 2.945e+00 5.891e-02 2.015e+02 0.000e+00
9.912e-03 2.680e+00 6.279e-02 1.550e+02 0.000e+00
1.000e-02 2.657e+00 6.314e-02 1.515e+02 0.000e+00
1.094e-02 2.433e+00 6.673e-02 1.187e+02 0.000e+00
1.208e-02 2.202e+00 7.071e-02 9.073e+01 0.000e+00
1.334e-02 1.986e+00 7.467e-02 6.933e+01 0.000e+00
1.472e-02 1.786e+00 7.853e-02 5.308e+01 0.000e+00
1.500e-02 1.750e+00 7.925e-02 5.044e+01 0.000e+00
1.625e-02 1.599e+00 8.227e-02 4.044e+01 0.000e+00
1.794e-02 1.425e+00 8.587e-02 3.077e+01 0.000e+00
1.980e-02 1.261e+00 8.930e-02 2.343e+01 0.000e+00
2.000e-02 1.245e+00 8.964e-02 2.279e+01 0.000e+00
2.186e-02 1.108e+00 9.256e-02 1.776e+01 0.000e+00
2.413e-02 9.678e-01 9.564e-02 1.347e+01 0.000e+00
2.664e-02 8.409e-01 9.852e-02 1.021e+01 0.000e+00
2.941e-02 7.283e-01 1.012e-01 7.735e+00 0.000e+00
3.000e-02 7.075e-01 1.017e-01 7.316e+00 0.000e+00
3.247e-02 6.297e-01 1.036e-01 5.849e+00 0.000e+00
3.317e-02 6.102e-01 1.041e-01 5.507e+00 0.000e+00
3.317e-02 6.102e-01 1.041e-01 3.326e+01 0.000e+00
3.584e-02 5.438e-01 1.058e-01 2.718e+01 0.000e+00
3.957e-02 4.687e-01 1.077e-01 2.098e+01 0.000e+00
4.000e-02 4.611e-01 1.079e-01 2.039e+01 0.000e+00
4.368e-02 4.035e-01 1.093e-01 1.616e+01 0.000e+00
4.822e-02 3.466e-01 1.107e-01 1.241e+01 0.000e+00
5.000e-02 3.275e-01 1.111e-01 1.125e+01 0.000e+00
