# LITHIUM OXIDE from NIST Database
2.013e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+00 6.675e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.346e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.947e-01 1.886e-02 2.565e+03 0.000e+00
1.020e-03 9.907e-01 1.934e-02 2.433e+03 0.000e+00
1.126e-03 9.707e-01 2.188e-02 1.868e+03 0.000e+00
1.243e-03 9.498e-01 2.472e-02 1.433e+03 0.000e+00
1.372e-03 9.271e-01 2.779e-02 1.097e+03 0.000e+00
1.500e-03 9.041e-01 3.072e-02 8.593e+02 0.000e+00
1.515e-03 9.014e-01 3.105e-02 8.361e+02 0.000e+00
1.672e-03 8.725e-01 3.441e-02 6.360e+02 0.000e+00
1.846e-03 8.403e-01 3.793e-02 4.816e+02 0.000e+00
2.000e-03 8.120e-01 4.094e-02 3.838e+02 0.000e+00
2.038e-03 8.051e-01 4.168e-02 3.638e+02 0.000e+00
2.250e-03 7.674e-01 4.573e-02 2.742e+02 0.000e+00
2.483e-03 7.273e-01 5.008e-02 2.065e+02 0.000e+00
2.741e-03 6.848e-01 5.478e-02 1.550e+02 0.000e+00
3.000e-03 6.443e-01 5.937e-02 1.190e+02 0.000e+00
3.026e-03 6.403e-01 5.983e-02 1.161e+02 0.000e+00
3.341e-03 5.943e-01 6.521e-02 8.668e+01 0.000e+00
3.688e-03 5.477e-01 7.089e-02 6.465e+01 0.000e+00
4.000e-03 5.093e-01 7.574e-02 5.074e+01 0.000e+00
4.071e-03 5.010e-01 7.681e-02 4.813e+01 0.000e+00
4.494e-03 4.550e-01 8.293e-02 3.577e+01 0.000e+00
4.961e-03 4.105e-01 8.917e-02 2.653e+01 0.000e+00
5.000e-03 4.071e-01 8.966e-02 2.591e+01 0.000e+00
5.477e-03 3.681e-01 9.544e-02 1.963e+01 0.000e+00
6.000e-03 3.312e-01 1.012e-01 1.486e+01 0.000e+00
6.046e-03 3.282e-01 1.016e-01 1.451e+01 0.000e+00
6.675e-03 2.912e-01 1.076e-01 1.071e+01 0.000e+00
7.368e-03 2.573e-01 1.134e-01 7.890e+00 0.000e+00
8.000e-03 2.314e-01 1.180e-01 6.113e+00 0.000e+00
8.134e-03 2.265e-01 1.189e-01 5.805e+00 0.000e+00
8.979e-03 1.988e-01 1.240e-01 4.266e+00 0.000e+00
9.912e-03 1.742e-01 1.287e-01 3.130e+00 0.000e+00
1.000e-02 1.721e-01 1.291e-01 3.044e+00 0.000e+00
1.094e-02 1.524e-01 1.330e-01 2.294e+00 0.000e+00
1.208e-02 1.330e-01 1.369e-01 1.677e+00 0.000e+00
1.334e-02 1.159e-01 1.405e-01 1.223e+00 0.000e+00
1.472e-02 1.009e-01 1.436e-01 8.939e-01 0.000e+00
1.500e-02 9.821e-02 1.441e-01 8.416e-01 0.000e+00
1.625e-02 8.757e-02 1.464e-01 6.514e-01 0.000e+00
1.794e-02 7.580e-02 1.488e-01 4.741e-01 0.000e+00
1.980e-02 6.542e-02 1.509e-01 3.450e-01 0.000e+00
2.000e-02 6.443e-02 1.511e-01 3.340e-01 0.000e+00
2.186e-02 5.621e-02 1.526e-01 2.505e-01 0.000e+00
2.413e-02 4.811e-02 1.539e-01 1.818e-01 0.000e+00
2.664e-02 4.100e-02 1.549e-01 1.318e-01 0.000e+00
2.941e-02 3.481e-02 1.555e-01 9.541e-02 0.000e+00
3.000e-02 3.366e-02 1.556e-01 8.942e-02 0.000e+00
3.247e-02 2.943e-02 1.558e-01 6.903e-02 0.000e+00
3.584e-02 2.482e-02 1.557e-01 4.994e-02 0.000e+00
