# LITHIUM TETRABORATE from NIST Database
2.440e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+00 1.179e-02 3.500e+00 0.000e+00 0.000e+00
5.000e+00 2.365e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.139e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.234e+00 1.229e-02 3.372e+03 0.000e+00
1.020e-03 1.229e+00 1.269e-02 3.197e+03 0.000e+00
1.126e-03 1.207e+00 1.489e-02 2.453e+03 0.000e+00
1.243e-03 1.183e+00 1.745e-02 1.880e+03 0.000e+00
1.372e-03 1.156e+00 2.038e-02 1.438e+03 0.000e+00
1.500e-03 1.128e+00 2.335e-02 1.126e+03 0.000e+00
1.515e-03 1.124e+00 2.370e-02 1.096e+03 0.000e+00
1.672e-03 1.088e+00 2.738e-02 8.330e+02 0.000e+00
1.846e-03 1.047e+00 3.146e-02 6.305e+02 0.000e+00
2.000e-03 1.011e+00 3.507e-02 5.023e+02 0.000e+00
2.038e-03 1.002e+00 3.595e-02 4.760e+02 0.000e+00
2.250e-03 9.522e-01 4.088e-02 3.586e+02 0.000e+00
2.483e-03 8.994e-01 4.619e-02 2.699e+02 0.000e+00
2.741e-03 8.435e-01 5.189e-02 2.025e+02 0.000e+00
3.000e-03 7.903e-01 5.738e-02 1.555e+02 0.000e+00
3.026e-03 7.851e-01 5.792e-02 1.516e+02 0.000e+00
3.341e-03 7.251e-01 6.420e-02 1.132e+02 0.000e+00
3.688e-03 6.647e-01 7.064e-02 8.436e+01 0.000e+00
4.000e-03 6.156e-01 7.601e-02 6.618e+01 0.000e+00
4.071e-03 6.050e-01 7.718e-02 6.277e+01 0.000e+00
4.494e-03 5.469e-01 8.373e-02 4.663e+01 0.000e+00
4.961e-03 4.914e-01 9.022e-02 3.457e+01 0.000e+00
5.000e-03 4.872e-01 9.073e-02 3.376e+01 0.000e+00
5.477e-03 4.393e-01 9.656e-02 2.557e+01 0.000e+00
6.000e-03 3.947e-01 1.022e-01 1.934e+01 0.000e+00
6.046e-03 3.911e-01 1.027e-01 1.889e+01 0.000e+00
6.675e-03 3.469e-01 1.085e-01 1.393e+01 0.000e+00
7.368e-03 3.068e-01 1.141e-01 1.026e+01 0.000e+00
8.000e-03 2.765e-01 1.185e-01 7.949e+00 0.000e+00
8.134e-03 2.707e-01 1.193e-01 7.548e+00 0.000e+00
8.979e-03 2.385e-01 1.242e-01 5.544e+00 0.000e+00
9.912e-03 2.098e-01 1.288e-01 4.066e+00 0.000e+00
1.000e-02 2.074e-01 1.292e-01 3.954e+00 0.000e+00
1.094e-02 1.844e-01 1.331e-01 2.979e+00 0.000e+00
1.208e-02 1.617e-01 1.371e-01 2.176e+00 0.000e+00
1.334e-02 1.415e-01 1.408e-01 1.588e+00 0.000e+00
1.472e-02 1.237e-01 1.442e-01 1.160e+00 0.000e+00
1.500e-02 1.205e-01 1.448e-01 1.092e+00 0.000e+00
1.625e-02 1.077e-01 1.473e-01 8.448e-01 0.000e+00
1.794e-02 9.352e-02 1.501e-01 6.146e-01 0.000e+00
1.980e-02 8.091e-02 1.525e-01 4.471e-01 0.000e+00
2.000e-02 7.971e-02 1.528e-01 4.328e-01 0.000e+00
2.186e-02 6.967e-02 1.546e-01 3.246e-01 0.000e+00
2.413e-02 5.974e-02 1.564e-01 2.355e-01 0.000e+00
2.664e-02 5.101e-02 1.577e-01 1.706e-01 0.000e+00
2.941e-02 4.337e-02 1.587e-01 1.235e-01 0.000e+00
3.000e-02 4.197e-02 1.588e-01 1.157e-01 0.000e+00
3.247e-02 3.674e-02 1.592e-01 8.933e-02 0.000e+00
3.584e-02 3.103e-02 1.594e-01 6.462e-02 0.000e+00
3.957e-02 2.611e-02 1.592e-01 4.668e-02 0.000e+00
4.000e-02 2.562e-02 1.591e-01 4.504e-02 0.000e+00
4.368e-02 2.194e-02 1.586e-01 3.371e-02 0.000e+00
4.822e-02 1.838e-02 1.576e-01 2.434e-02 0.000e+00
5.000e-02 1.722e-02 1.572e-01 2.159e-02 0.000e+00
5.323e-02 1.538e-02 1.564e-01 1.756e-02 0.000e+00
5.876e-02 1.284e-02 1.548e-01 1.267e-02 0.000e+00
6.000e-02 1.236e-02 1.544e-01 1.182e-02 0.000e+00
