# LUNG (ICRP) from NIST Database
1.050e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.005e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 8.519e-03 3.500e+00 0.000e+00 0.000e+00
7.000e+00 2.046e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.732e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 8.003e-05 3.500e+00 0.000e+00 0.000e+00
1.200e+01 3.003e-05 3.500e+00 0.000e+00 0.000e+00
1.500e+01 2.583e-05 3.500e+00 0.000e+00 0.000e+00
1.600e+01 7.016e-05 3.500e+00 0.000e+00 0.000e+00
1.700e+01 7.504e-05 3.500e+00 0.000e+00 0.000e+00
1.900e+01 4.962e-05 3.500e+00 0.000e+00 0.000e+00
2.600e+01 6.625e-06 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.349e+00 1.327e-02 3.823e+03 0.000e+00
1.020e-03 1.345e+00 1.374e-02 3.627e+03 0.000e+00
1.072e-03 1.334e+00 1.501e-02 3.176e+03 0.000e+00
1.072e-03 1.334e+00 1.501e-02 3.187e+03 0.000e+00
1.126e-03 1.323e+00 1.637e-02 2.796e+03 0.000e+00
1.243e-03 1.299e+00 1.947e-02 2.146e+03 0.000e+00
1.305e-03 1.286e+00 2.118e-02 1.883e+03 0.000e+00
1.305e-03 1.286e+00 2.118e-02 1.887e+03 0.000e+00
1.372e-03 1.272e+00 2.307e-02 1.648e+03 0.000e+00
1.500e-03 1.243e+00 2.678e-02 1.292e+03 0.000e+00
1.515e-03 1.240e+00 2.722e-02 1.257e+03 0.000e+00
1.672e-03 1.203e+00 3.189e-02 9.570e+02 0.000e+00
1.846e-03 1.160e+00 3.713e-02 7.252e+02 0.000e+00
2.000e-03 1.122e+00 4.179e-02 5.782e+02 0.000e+00
2.038e-03 1.112e+00 4.294e-02 5.481e+02 0.000e+00
2.145e-03 1.085e+00 4.617e-02 4.735e+02 0.000e+00
2.145e-03 1.085e+00 4.617e-02 4.753e+02 0.000e+00
2.250e-03 1.059e+00 4.929e-02 4.149e+02 0.000e+00
2.472e-03 1.005e+00 5.580e-02 3.167e+02 0.000e+00
2.472e-03 1.005e+00 5.580e-02 3.209e+02 0.000e+00
2.483e-03 1.002e+00 5.612e-02 3.168e+02 0.000e+00
2.741e-03 9.407e-01 6.341e-02 2.382e+02 0.000e+00
2.822e-03 9.219e-01 6.564e-02 2.188e+02 0.000e+00
2.822e-03 9.219e-01 6.564e-02 2.227e+02 0.000e+00
3.000e-03 8.819e-01 7.038e-02 1.867e+02 0.000e+00
3.026e-03 8.762e-01 7.106e-02 1.821e+02 0.000e+00
3.341e-03 8.092e-01 7.896e-02 1.364e+02 0.000e+00
3.607e-03 7.567e-01 8.518e-02 1.088e+02 0.000e+00
3.607e-03 7.567e-01 8.518e-02 1.109e+02 0.000e+00
3.688e-03 7.415e-01 8.697e-02 1.039e+02 0.000e+00
4.000e-03 6.861e-01 9.358e-02 8.167e+01 0.000e+00
4.071e-03 6.742e-01 9.500e-02 7.751e+01 0.000e+00
4.494e-03 6.085e-01 1.029e-01 5.775e+01 0.000e+00
4.961e-03 5.457e-01 1.106e-01 4.296e+01 0.000e+00
5.000e-03 5.409e-01 1.112e-01 4.196e+01 0.000e+00
5.477e-03 4.867e-01 1.180e-01 3.189e+01 0.000e+00
6.000e-03 4.362e-01 1.244e-01 2.419e+01 0.000e+00
6.046e-03 4.322e-01 1.250e-01 2.363e+01 0.000e+00
6.675e-03 3.822e-01 1.315e-01 1.748e+01 0.000e+00
7.112e-03 3.527e-01 1.354e-01 1.440e+01 0.000e+00
7.112e-03 3.527e-01 1.354e-01 1.453e+01 0.000e+00
7.368e-03 3.371e-01 1.375e-01 1.304e+01 0.000e+00
8.000e-03 3.032e-01 1.421e-01 1.013e+01 0.000e+00
8.134e-03 2.967e-01 1.430e-01 9.624e+00 0.000e+00
8.979e-03 2.608e-01 1.480e-01 7.094e+00 0.000e+00
9.912e-03 2.291e-01 1.526e-01 5.220e+00 0.000e+00
1.000e-02 2.265e-01 1.530e-01 5.079e+00 0.000e+00
1.094e-02 2.012e-01 1.568e-01 3.838e+00 0.000e+00
1.208e-02 1.764e-01 1.607e-01 2.814e+00 0.000e+00
1.334e-02 1.544e-01 1.642e-01 2.059e+00 0.000e+00
1.472e-02 1.350e-01 1.674e-01 1.509e+00 0.000e+00
1.500e-02 1.316e-01 1.680e-01 1.422e+00 0.000e+00
1.625e-02 1.178e-01 1.704e-01 1.103e+00 0.000e+00
1.794e-02 1.024e-01 1.730e-01 8.052e-01 0.000e+00
1.980e-02 8.871e-02 1.754e-01 5.876e-01 0.000e+00
2.000e-02 8.740e-02 1.756e-01 5.690e-01 0.000e+00
2.186e-02 7.649e-02 1.773e-01 4.279e-01 0.000e+00
2.413e-02 6.568e-02 1.790e-01 3.114e-01 0.000e+00
2.664e-02 5.614e-02 1.802e-01 2.263e-01 0.000e+00
2.941e-02 4.780e-02 1.810e-01 1.644e-01 0.000e+00
3.000e-02 4.626e-02 1.811e-01 1.541e-01 0.000e+00
3.247e-02 4.053e-02 1.814e-01 1.192e-01 0.000e+00
3.584e-02 3.427e-02 1.815e-01 8.650e-02 0.000e+00
3.957e-02 2.887e-02 1.811e-01 6.266e-02 0.000e+00
4.000e-02 2.834e-02 1.810e-01 6.049e-02 0.000e+00
4.368e-02 2.428e-02 1.803e-01 4.539e-02 0.000e+00
4.822e-02 2.037e-02 1.791e-01 3.285e-02 0.000e+00
5.000e-02 1.909e-02 1.786e-01 2.918e-02 0.000e+00
5.323e-02 1.706e-02 1.776e-01 2.377e-02 0.000e+00
5.876e-02 1.426e-02 1.757e-01 1.719e-02 0.000e+00
6.000e-02 1.373e-02 1.753e-01 1.605e-02 0.000e+00
6.486e-02 1.190e-02 1.736e-01 1.243e-02 0.000e+00
7.161e-02 9.907e-03 1.711e-01 8.984e-03 0.000e+00
7.905e-02 8.237e-03 1.684e-01 6.495e-03 0.000e+00
8.000e-02 8.054e-03 1.681e-01 6.245e-03 0.000e+00
8.726e-02 6.837e-03 1.655e-01 4.696e-03 0.000e+00
9.633e-02 5.667e-03 1.623e-01 3.395e-03 0.000e+00
1.000e-01 5.277e-03 1.610e-01 3.004e-03 0.000e+00
1.063e-01 4.694e-03 1.589e-01 2.459e-03 0.000e+00
1.174e-01 3.878e-03 1.554e-01 1.777e-03 0.000e+00
1.296e-01 3.202e-03 1.516e-01 1.287e-03 0.000e+00
1.431e-01 2.641e-03 1.478e-01 9.329e-04 0.000e+00
1.500e-01 2.409e-03 1.459e-01 8.008e-04 0.000e+00
1.579e-01 2.179e-03 1.438e-01 6.783e-04 0.000e+00
1.743e-01 1.795e-03 1.398e-01 4.934e-04 0.000e+00
1.925e-01 1.476e-03 1.356e-01 3.591e-04 0.000e+00
2.000e-01 1.369e-03 1.340e-01 3.180e-04 0.000e+00
2.125e-01 1.215e-03 1.315e-01 2.624e-04 0.000e+00
2.345e-01 9.998e-04 1.273e-01 1.926e-04 0.000e+00
2.589e-01 8.218e-04 1.231e-01 1.416e-04 0.000e+00
2.858e-01 6.754e-04 1.188e-01 1.046e-04 0.000e+00
3.000e-01 6.134e-04 1.168e-01 9.035e-05 0.000e+00
3.155e-01 5.550e-04 1.146e-01 7.766e-05 0.000e+00
3.483e-01 4.559e-04 1.105e-01 5.792e-05 0.000e+00
3.845e-01 3.744e-04 1.064e-01 4.345e-05 0.000e+00
4.000e-01 3.461e-04 1.047e-01 3.880e-05 0.000e+00
4.245e-01 3.074e-04 1.023e-01 3.279e-05 0.000e+00
4.686e-01 2.524e-04 9.828e-02 2.495e-05 0.000e+00
5.000e-01 2.218e-04 9.568e-02 2.096e-05 0.000e+00
5.173e-01 2.072e-04 9.433e-02 1.916e-05 0.000e+00
5.710e-01 1.702e-04 9.044e-02 1.484e-05 0.000e+00
6.000e-01 1.541e-04 8.852e-02 1.307e-05 0.000e+00
6.304e-01 1.397e-04 8.663e-02 1.150e-05 0.000e+00
6.959e-01 1.146e-04 8.290e-02 8.974e-06 0.000e+00
7.682e-01 9.410e-05 7.926e-02 7.164e-06 0.000e+00
8.000e-01 8.677e-05 7.779e-02 6.601e-06 0.000e+00
8.480e-01 7.722e-05 7.570e-02 5.933e-06 0.000e+00
9.361e-01 6.337e-05 7.223e-02 4.889e-06 0.000e+00
