# M3 WAX from NIST Database
1.050e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.134e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 5.461e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 5.761e-03 3.500e+00 0.000e+00 0.000e+00
1.200e+01 5.545e-03 3.500e+00 0.000e+00 0.000e+00
2.000e+01 7.193e-05 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.185e+00 1.694e-02 2.011e+03 0.000e+00
1.020e-03 1.180e+00 1.752e-02 1.904e+03 0.000e+00
1.126e-03 1.154e+00 2.068e-02 1.447e+03 0.000e+00
1.243e-03 1.126e+00 2.436e-02 1.099e+03 0.000e+00
1.305e-03 1.112e+00 2.637e-02 9.595e+02 0.000e+00
1.305e-03 1.112e+00 2.637e-02 1.632e+03 0.000e+00
1.372e-03 1.095e+00 2.857e-02 1.439e+03 0.000e+00
1.500e-03 1.064e+00 3.283e-02 1.146e+03 0.000e+00
1.515e-03 1.060e+00 3.333e-02 1.117e+03 0.000e+00
1.672e-03 1.021e+00 3.858e-02 8.589e+02 0.000e+00
1.846e-03 9.770e-01 4.437e-02 6.549e+02 0.000e+00
2.000e-03 9.388e-01 4.943e-02 5.243e+02 0.000e+00
2.038e-03 9.295e-01 5.066e-02 4.976e+02 0.000e+00
2.250e-03 8.790e-01 5.742e-02 3.777e+02 0.000e+00
2.483e-03 8.265e-01 6.455e-02 2.867e+02 0.000e+00
2.741e-03 7.724e-01 7.205e-02 2.171e+02 0.000e+00
3.000e-03 7.223e-01 7.910e-02 1.680e+02 0.000e+00
3.026e-03 7.175e-01 7.978e-02 1.639e+02 0.000e+00
3.341e-03 6.625e-01 8.762e-02 1.234e+02 0.000e+00
3.688e-03 6.084e-01 9.544e-02 9.273e+01 0.000e+00
4.000e-03 5.651e-01 1.018e-01 7.319e+01 0.000e+00
4.038e-03 5.601e-01 1.025e-01 7.119e+01 0.000e+00
