# MAGNESIUM CARBONATE from NIST Database
2.958e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 1.186e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.558e-02 3.500e+00 0.000e+00 0.000e+00
1.200e+01 1.186e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.627e+00 1.109e-02 3.192e+03 0.000e+00
1.020e-03 1.621e+00 1.146e-02 3.028e+03 0.000e+00
1.126e-03 1.593e+00 1.344e-02 2.324e+03 0.000e+00
1.243e-03 1.562e+00 1.573e-02 1.783e+03 0.000e+00
1.305e-03 1.546e+00 1.697e-02 1.563e+03 0.000e+00
1.305e-03 1.546e+00 1.697e-02 3.002e+03 0.000e+00
1.372e-03 1.528e+00 1.833e-02 2.659e+03 0.000e+00
1.500e-03 1.493e+00 2.094e-02 2.134e+03 0.000e+00
1.515e-03 1.489e+00 2.125e-02 2.081e+03 0.000e+00
1.672e-03 1.444e+00 2.448e-02 1.612e+03 0.000e+00
1.846e-03 1.395e+00 2.807e-02 1.236e+03 0.000e+00
2.000e-03 1.351e+00 3.124e-02 9.942e+02 0.000e+00
2.038e-03 1.340e+00 3.203e-02 9.444e+02 0.000e+00
2.250e-03 1.281e+00 3.637e-02 7.206e+02 0.000e+00
2.483e-03 1.219e+00 4.110e-02 5.498e+02 0.000e+00
2.741e-03 1.153e+00 4.623e-02 4.183e+02 0.000e+00
3.000e-03 1.090e+00 5.125e-02 3.251e+02 0.000e+00
3.026e-03 1.084e+00 5.174e-02 3.173e+02 0.000e+00
3.341e-03 1.013e+00 5.760e-02 2.399e+02 0.000e+00
3.688e-03 9.401e-01 6.374e-02 1.809e+02 0.000e+00
4.000e-03 8.800e-01 6.895e-02 1.432e+02 0.000e+00
4.071e-03 8.670e-01 7.010e-02 1.361e+02 0.000e+00
4.494e-03 7.943e-01 7.660e-02 1.022e+02 0.000e+00
4.961e-03 7.231e-01 8.316e-02 7.656e+01 0.000e+00
5.000e-03 7.175e-01 8.367e-02 7.482e+01 0.000e+00
5.477e-03 6.541e-01 8.967e-02 5.722e+01 0.000e+00
6.000e-03 5.930e-01 9.557e-02 4.368e+01 0.000e+00
6.046e-03 5.881e-01 9.605e-02 4.270e+01 0.000e+00
6.675e-03 5.255e-01 1.023e-01 3.178e+01 0.000e+00
7.368e-03 4.673e-01 1.082e-01 2.363e+01 0.000e+00
8.000e-03 4.222e-01 1.130e-01 1.844e+01 0.000e+00
8.134e-03 4.135e-01 1.139e-01 1.754e+01 0.000e+00
8.979e-03 3.645e-01 1.193e-01 1.299e+01 0.000e+00
9.912e-03 3.203e-01 1.244e-01 9.612e+00 0.000e+00
1.000e-02 3.166e-01 1.249e-01 9.355e+00 0.000e+00
1.094e-02 2.808e-01 1.292e-01 7.101e+00 0.000e+00
1.208e-02 2.455e-01 1.337e-01 5.230e+00 0.000e+00
1.334e-02 2.141e-01 1.378e-01 3.846e+00 0.000e+00
1.472e-02 1.866e-01 1.416e-01 2.830e+00 0.000e+00
1.500e-02 1.817e-01 1.423e-01 2.669e+00 0.000e+00
1.625e-02 1.621e-01 1.451e-01 2.078e+00 0.000e+00
1.794e-02 1.405e-01 1.483e-01 1.523e+00 0.000e+00
1.980e-02 1.215e-01 1.511e-01 1.116e+00 0.000e+00
2.000e-02 1.197e-01 1.514e-01 1.081e+00 0.000e+00
2.186e-02 1.047e-01 1.536e-01 8.157e-01 0.000e+00
2.413e-02 8.997e-02 1.558e-01 5.959e-01 0.000e+00
2.664e-02 7.703e-02 1.575e-01 4.346e-01 0.000e+00
2.941e-02 6.572e-02 1.589e-01 3.166e-01 0.000e+00
3.000e-02 6.363e-02 1.591e-01 2.971e-01 0.000e+00
3.247e-02 5.587e-02 1.598e-01 2.305e-01 0.000e+00
3.584e-02 4.736e-02 1.604e-01 1.677e-01 0.000e+00
3.957e-02 4.000e-02 1.605e-01 1.219e-01 0.000e+00
4.000e-02 3.926e-02 1.605e-01 1.177e-01 0.000e+00
4.368e-02 3.370e-02 1.603e-01 8.852e-02 0.000e+00
4.822e-02 2.831e-02 1.596e-01 6.424e-02 0.000e+00
5.000e-02 2.655e-02 1.593e-01 5.711e-02 0.000e+00
5.323e-02 2.374e-02 1.586e-01 4.659e-02 0.000e+00
5.876e-02 1.986e-02 1.573e-01 3.377e-02 0.000e+00
6.000e-02 1.912e-02 1.570e-01 3.155e-02 0.000e+00
6.486e-02 1.659e-02 1.556e-01 2.448e-02 0.000e+00
7.161e-02 1.382e-02 1.537e-01 1.773e-02 0.000e+00
7.905e-02 1.150e-02 1.514e-01 1.284e-02 0.000e+00
8.000e-02 1.125e-02 1.511e-01 1.235e-02 0.000e+00
8.726e-02 9.559e-03 1.489e-01 9.300e-03 0.000e+00
9.633e-02 7.932e-03 1.462e-01 6.734e-03 0.000e+00
1.000e-01 7.389e-03 1.451e-01 5.961e-03 0.000e+00
1.063e-01 6.578e-03 1.433e-01 4.884e-03 0.000e+00
1.174e-01 5.440e-03 1.402e-01 3.535e-03 0.000e+00
1.296e-01 4.498e-03 1.369e-01 2.564e-03 0.000e+00
1.431e-01 3.713e-03 1.335e-01 1.861e-03 0.000e+00
1.500e-01 3.389e-03 1.318e-01 1.598e-03 0.000e+00
1.579e-01 3.066e-03 1.300e-01 1.355e-03 0.000e+00
1.743e-01 2.528e-03 1.264e-01 9.867e-04 0.000e+00
1.925e-01 2.081e-03 1.227e-01 7.188e-04 0.000e+00
2.000e-01 1.930e-03 1.212e-01 6.368e-04 0.000e+00
2.125e-01 1.713e-03 1.189e-01 5.258e-04 0.000e+00
2.345e-01 1.411e-03 1.152e-01 3.861e-04 0.000e+00
2.589e-01 1.160e-03 1.114e-01 2.841e-04 0.000e+00
2.858e-01 9.539e-04 1.076e-01 2.100e-04 0.000e+00
3.000e-01 8.665e-04 1.057e-01 1.813e-04 0.000e+00
3.155e-01 7.841e-04 1.038e-01 1.559e-04 0.000e+00
3.483e-01 6.442e-04 1.000e-01 1.163e-04 0.000e+00
3.845e-01 5.292e-04 9.633e-02 8.734e-05 0.000e+00
4.000e-01 4.892e-04 9.485e-02 7.801e-05 0.000e+00
4.245e-01 4.346e-04 9.265e-02 6.596e-05 0.000e+00
4.686e-01 3.569e-04 8.903e-02 5.022e-05 0.000e+00
5.000e-01 3.136e-04 8.668e-02 4.220e-05 0.000e+00
5.173e-01 2.931e-04 8.546e-02 3.859e-05 0.000e+00
5.710e-01 2.406e-04 8.194e-02 2.989e-05 0.000e+00
6.000e-01 2.180e-04 8.020e-02 2.633e-05 0.000e+00
6.304e-01 1.975e-04 7.849e-02 2.320e-05 0.000e+00
6.959e-01 1.622e-04 7.512e-02 1.813e-05 0.000e+00
7.682e-01 1.331e-04 7.182e-02 1.446e-05 0.000e+00
8.000e-01 1.227e-04 7.049e-02 1.330e-05 0.000e+00
8.480e-01 1.092e-04 6.860e-02 1.191e-05 0.000e+00
9.361e-01 8.965e-05 6.546e-02 9.785e-06 0.000e+00
1.000e+00 7.858e-05 6.340e-02 8.270e-06 0.000e+00
1.022e+00 7.525e-05 6.273e-02 7.758e-06 0.000e+00
1.033e+00 7.366e-05 6.240e-02 7.530e-06 4.240e-09
1.141e+00 6.040e-05 5.939e-02 6.090e-06 4.004e-06
1.250e+00 5.032e-05 5.669e-02 5.262e-06 2.157e-05
1.259e+00 4.960e-05 5.648e-02 5.201e-06 2.373e-05
1.390e+00 4.069e-05 5.364e-02 4.376e-06 6.699e-05
1.500e+00 3.494e-05 5.153e-02 3.815e-06 1.188e-04
1.535e+00 3.337e-05 5.090e-02 3.664e-06 1.378e-04
1.694e+00 2.739e-05 4.827e-02 3.105e-06 2.374e-04
1.870e+00 2.248e-05 4.571e-02 2.653e-06 3.671e-04
2.000e+00 1.966e-05 4.398e-02 2.390e-06 4.719e-04
2.044e+00 1.882e-05 4.342e-02 2.311e-06 5.086e-04
2.065e+00 1.844e-05 4.317e-02 2.275e-06 5.262e-04
2.279e+00 1.515e-05 4.075e-02 1.961e-06 7.111e-04
2.516e+00 1.243e-05 3.845e-02 1.698e-06 9.222e-04
2.778e+00 1.019e-05 3.625e-02 1.477e-06 1.159e-03
3.000e+00 8.738e-06 3.460e-02 1.328e-06 1.359e-03
3.066e+00 8.366e-06 3.414e-02 1.289e-06 1.418e-03
3.385e+00 6.863e-06 3.210e-02 1.129e-06 1.703e-03
3.737e+00 5.632e-06 3.015e-02 9.916e-07 2.010e-03
4.000e+00 4.916e-06 2.886e-02 9.084e-07 2.232e-03
4.125e+00 4.622e-06 2.829e-02 8.734e-07 2.336e-03
4.554e+00 3.792e-06 2.651e-02 7.712e-07 2.682e-03
5.000e+00 3.146e-06 2.492e-02 6.872e-07 3.025e-03
5.027e+00 3.112e-06 2.483e-02 6.827e-07 3.046e-03
5.549e+00 2.554e-06 2.323e-02 6.056e-07 3.430e-03
6.000e+00 2.184e-06 2.203e-02 5.516e-07 3.746e-03
6.126e+00 2.095e-06 2.171e-02 5.381e-07 3.832e-03
6.762e+00 1.720e-06 2.028e-02 4.791e-07 4.246e-03
7.000e+00 1.605e-06 1.980e-02 4.602e-07 4.394e-03
7.465e+00 1.411e-06 1.892e-02 4.271e-07 4.673e-03
8.000e+00 1.229e-06 1.802e-02 3.945e-07 4.980e-03
8.241e+00 1.158e-06 1.764e-02 3.814e-07 5.114e-03
9.000e+00 9.710e-07 1.656e-02 3.451e-07 5.517e-03
9.097e+00 9.504e-07 1.644e-02 3.410e-07 5.566e-03
1.000e+01 7.865e-07 1.535e-02 3.067e-07 6.004e-03
1.004e+01 7.802e-07 1.530e-02 3.053e-07 6.023e-03
1.100e+01 6.499e-07 1.431e-02 2.759e-07 6.449e-03
1.109e+01 6.394e-07 1.423e-02 2.734e-07 6.488e-03
1.200e+01 5.461e-07 1.342e-02 2.506e-07 6.859e-03
1.224e+01 5.249e-07 1.323e-02 2.453e-07 6.954e-03
1.300e+01 4.653e-07 1.265e-02 2.297e-07 7.242e-03
1.351e+01 4.309e-07 1.229e-02 2.202e-07 7.427e-03
1.400e+01 4.012e-07 1.196e-02 2.119e-07 7.599e-03
1.491e+01 3.538e-07 1.141e-02 1.979e-07 7.902e-03
1.500e+01 3.495e-07 1.136e-02 1.966e-07 7.931e-03
1.600e+01 3.072e-07 1.082e-02 1.834e-07 8.247e-03
1.646e+01 2.902e-07 1.059e-02 1.779e-07 8.385e-03
1.800e+01 2.427e-07 9.885e-03 1.617e-07 8.823e-03
1.818e+01 2.379e-07 9.810e-03 1.600e-07 8.871e-03
2.000e+01 1.966e-07 9.116e-03 1.446e-07 9.339e-03
